RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,40.0,0
1.0,0.0,1.0,82.0,0
1.0,0.0,1.0,91.0,0
1.0,0.0,1.0,90.0,0
2.0,0.0,2.0,180.0,0
1.5,0.0,1.5,350.0,0
1.5,0.0,1.5,350.0,0
3.0,0.0,3.0,390.0,0
2.5,0.0,2.5,600.0,0
2.5,0.0,2.5,600.0,0
4.0,0.0,4.0,410.0,0
2.0,0.0,2.0,680.0,0
6.0,0.0,6.0,410.0,0
4.5,0.0,4.5,380.0,0
5.0,0.0,5.0,480.0,0
5.0,0.0,5.0,650.0,0
5.5,0.0,5.5,720.0,0
5.0,0.0,5.0,880.0,0
6.0,0.0,6.0,880.0,0
5.0,0.0,5.0,1200.0,0
7.0,1.5,5.5,1200.0,0
8.0,1.5,6.5,980.0,0
4.5,0.0,4.5,980.0,0
3.0,0.0,3.0,1700.0,0
13.0,5.0,8.0,1300.0,0
8.0,1.0,7.0,1000.0,0
9.0,0.5,8.5,1300.0,0
11.0,1.0,10.0,400.0,0
5.5,3.0,2.5,1500.0,0
9.5,3.0,6.5,900.0,0
10.5,3.5,7.0,1200.0,0
9.0,3.5,5.5,1500.0,0
7.0,0.0,7.0,1500.0,0
7.5,6.0,1.5,1300.0,0
10.0,4.5,5.5,1500.0,0
5.0,3.0,2.0,1600.0,0
10.0,6.0,4.0,2000.0,0
12.5,4.5,8.0,2100.0,0
14.0,2.0,12.0,580.0,0
7.0,6.5,0.5,1700.0,0
13.0,13.0,0.0,900.0,0
6.5,1.5,5.0,2200.0,0
8.0,7.0,1.0,1800.0,0
12.0,9.5,2.5,2000.0,0
11.0,8.0,3.0,2200.0,0
7.0,3.0,4.0,2000.0,0
5.5,5.5,0.0,2500.0,0
14.0,14.0,0.0,2000.0,0
12.5,11.5,1.0,1400.0,0
9.0,8.0,1.0,2200.0,0
10.5,3.5,7.0,3300.0,0
11.5,4.5,7.0,3300.0,0
6.5,3.0,3.5,2600.0,0
8.0,8.0,0.0,2600.0,0
14.5,7.5,7.0,1300.0,0
11.5,4.5,7.0,2000.0,0
13.5,11.0,2.5,2000.0,0
10.0,7.5,2.5,2500.0,0
6.0,6.0,0.0,2500.0,0
15.0,7.5,7.5,2300.0,0
2.0,2.0,0.0,1700.0,0
16.0,12.0,4.0,1500.0,0
1.0,1.0,0.0,2200.0,0
15.0,15.0,0.0,710.0,0
7.5,0.0,7.5,1700.0,0
7.5,7.5,0.0,1700.0,0
14.0,7.5,6.5,2100.0,0
7.5,1.0,6.5,2200.0,0
2.0,2.0,0.0,2200.0,0
7.5,6.5,1.0,2300.0,0
0.0,0.0,0.0,2300.0,0
0.0,0.0,0.0,2300.0,0
7.0,7.0,0.0,1600.0,0
11.5,4.0,7.5,1600.0,0
0.0,0.0,0.0,1400.0,0
16.0,15.0,1.0,1300.0,0
9.0,9.0,0.0,2300.0,0
13.0,10.5,2.5,2000.0,0
12.5,7.0,5.5,2500.0,0
13.0,7.5,5.5,2500.0,0
15.0,10.0,5.0,1500.0,0
5.5,0.5,5.0,2800.0,0
9.5,7.5,2.0,2800.0,0
14.0,10.5,3.5,2000.0,0
7.5,6.0,1.5,2000.0,0
13.0,9.0,4.0,1300.0,0
12.0,2.0,10.0,1900.0,0
10.0,10.0,0.0,1900.0,0
6.0,5.0,1.0,2200.0,0
15.0,15.0,0.0,700.0,0
14.0,6.5,7.5,1600.0,0
7.5,7.5,0.0,2100.0,0
5.0,5.0,0.0,2400.0,0
8.5,8.5,0.0,3000.0,0
9.0,9.0,0.0,2700.0,0
10.5,3.5,7.0,1800.0,0
0.0,0.0,0.0,1800.0,0
0.0,0.0,0.0,2200.0,0
15.0,15.0,0.0,1100.0,0
7.5,0.5,7.0,1500.0,0
13.0,7.0,6.0,2300.0,0
26.0,14.0,12.0,2400.0,0
5.5,5.0,0.5,2000.0,0
11.5,10.0,1.5,2000.0,0
10.5,7.0,3.5,1600.0,0
12.5,8.5,4.0,1600.0,0
11.5,9.5,2.0,2400.0,0
8.0,8.0,0.0,2200.0,0
15.0,4.0,11.0,1800.0,0
9.0,4.0,5.0,1600.0,0
16.0,11.0,5.0,1200.0,0
5.0,5.0,0.0,2300.0,0
12.5,11.0,1.5,1800.0,0
8.0,6.5,1.5,1900.0,0
2.0,1.0,1.0,2100.0,0
0.0,0.0,0.0,2100.0,0
6.5,6.5,0.0,2400.0,0
13.0,9.5,3.5,2500.0,0
7.0,3.5,3.5,2800.0,0
7.5,7.5,0.0,2300.0,0
14.0,3.0,11.0,1900.0,0
14.0,8.5,5.5,2000.0,0
15.0,4.0,11.0,1300.0,0
8.5,8.5,0.0,1700.0,0
15.0,15.0,0.0,1100.0,0
9.5,2.5,7.0,1500.0,0
4.0,4.0,0.0,1500.0,0
13.0,5.5,7.5,1500.0,0
8.0,7.5,0.5,1500.0,0
10.5,10.0,0.5,2000.0,0
14.0,10.0,4.0,2000.0,0
12.5,7.5,5.0,1800.0,0
0.0,0.0,0.0,1800.0,0
2.5,2.5,0.0,2500.0,0
5.0,5.0,0.0,2500.0,0
21.0,12.0,9.0,1800.0,0
5.0,4.0,1.0,2300.0,0
8.0,7.0,1.0,2300.0,0
8.5,8.0,0.5,2100.0,0
14.0,10.5,3.5,2100.0,0
12.5,9.0,3.5,1900.0,0
4.0,4.0,0.0,1900.0,0
6.0,6.0,0.0,3100.0,0
7.5,7.5,0.0,3100.0,0
0.0,0.0,0.0,1000.0,0
0.0,0.0,0.0,1800.0,0
10.0,7.5,2.5,1900.0,0
7.5,5.0,2.5,2300.0,0
12.5,10.5,2.0,1800.0,0
11.0,7.5,3.5,2100.0,0
14.0,7.0,7.0,1900.0,0
14.0,8.0,6.0,1600.0,0
9.0,8.5,0.5,2200.0,0
11.0,11.0,0.0,2200.0,0
4.0,4.0,0.0,2200.0,0
7.5,7.5,0.0,2200.0,0
15.0,2.0,13.0,1500.0,0
9.0,7.5,1.5,2000.0,0
16.0,13.0,3.0,1800.0,0
15.5,8.0,7.5,1700.0,0
10.0,2.5,7.5,1300.0,0
1.0,0.0,1.0,1700.0,0
9.0,8.0,1.0,1800.0,0
8.0,7.5,0.5,1900.0,0
15.0,7.0,8.0,1200.0,0
10.0,2.5,7.5,1800.0,0
10.0,7.5,2.5,1800.0,0
13.0,9.5,3.5,1700.0,0
19.0,5.0,14.0,990.0,0
2.0,0.0,2.0,1700.0,0
0.0,0.0,0.0,1700.0,0
10.0,7.5,2.5,2300.0,0
20.0,15.0,5.0,610.0,0
10.0,0.0,10.0,1600.0,0
14.0,14.0,0.0,2100.0,0
7.5,1.0,6.5,2000.0,0
1.0,1.0,0.0,1800.0,0
7.5,7.0,0.5,1900.0,0
12.0,7.5,4.5,1900.0,0
14.5,8.0,6.5,1700.0,0
15.0,15.0,0.0,900.0,0
15.0,0.0,15.0,1200.0,0
8.0,8.0,0.0,1800.0,0
9.0,7.0,2.0,1400.0,0
12.5,9.0,3.5,1700.0,0
10.0,8.0,2.0,2600.0,0
7.5,6.0,1.5,2600.0,0
10.5,7.5,3.0,1700.0,0
21.0,15.0,6.0,600.0,0
12.0,7.5,4.5,1500.0,0
12.5,7.5,5.0,1600.0,0
6.5,1.5,5.0,2400.0,0
8.0,7.5,0.5,2500.0,0
4.0,2.0,2.0,3600.0,0
12.0,8.5,3.5,2600.0,0
11.0,4.0,7.0,1700.0,0
6.5,6.5,0.0,2500.0,0
10.5,7.5,3.0,2500.0,0
11.0,8.0,3.0,1700.0,0
13.5,8.5,5.0,1500.0,0
8.5,3.5,5.0,2300.0,0
8.0,8.0,0.0,2300.0,0
14.0,14.0,0.0,2600.0,0
11.0,9.5,1.5,1600.0,0
12.5,7.5,5.0,1500.0,0
6.0,5.5,0.5,2600.0,0
