RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,80.0,0
1.0,0.0,1.0,240.0,0
1.0,0.0,1.0,75.0,0
1.0,0.0,1.0,410.0,0
1.5,0.0,1.5,710.0,0
2.0,0.0,2.0,710.0,0
1.5,0.0,1.5,1000.0,0
1.5,0.0,1.5,1300.0,0
2.0,1.5,0.5,1400.0,0
2.5,2.5,0.0,1400.0,0
3.0,1.0,2.0,1400.0,0
2.0,2.0,0.0,1400.0,0
1.0,1.0,0.0,1500.0,0
3.0,3.0,0.0,1300.0,0
4.5,4.0,0.5,1600.0,0
2.5,2.5,0.0,1600.0,0
1.5,1.5,0.0,1900.0,0
4.0,4.0,0.0,1900.0,0
3.5,3.5,0.0,1900.0,0
2.5,2.5,0.0,2300.0,0
3.5,3.5,0.0,2300.0,0
3.0,3.0,0.0,2300.0,0
1.0,1.0,0.0,2900.0,0
2.0,2.0,0.0,3100.0,0
2.0,2.0,0.0,3100.0,0
2.0,2.0,0.0,2500.0,0
1.5,1.5,0.0,3000.0,0
1.5,1.5,0.0,3000.0,0
2.0,2.0,0.0,2400.0,0
2.0,2.0,0.0,2800.0,0
1.5,1.5,0.0,3300.0,0
1.5,1.5,0.0,3600.0,0
5.0,5.0,0.0,3600.0,0
2.0,2.0,0.0,3200.0,0
7.0,7.0,0.0,3100.0,0
1.0,1.0,0.0,3200.0,0
2.0,2.0,0.0,3800.0,0
4.0,4.0,0.0,3600.0,0
2.0,2.0,0.0,4300.0,0
0.0,0.0,0.0,4300.0,0
4.5,4.5,0.0,4700.0,0
4.5,4.5,0.0,4700.0,0
4.0,4.0,0.0,3600.0,0
2.0,2.0,0.0,3600.0,0
2.0,2.0,0.0,4200.0,0
6.0,6.0,0.0,4200.0,0
3.5,3.5,0.0,4000.0,0
4.0,4.0,0.0,4000.0,0
0.0,0.0,0.0,4000.0,0
0.0,0.0,0.0,4000.0,0
0.0,0.0,0.0,5100.0,0
1.0,1.0,0.0,5400.0,0
0.0,0.0,0.0,5900.0,0
7.5,7.5,0.0,6200.0,0
1.5,1.5,0.0,6200.0,0
3.0,3.0,0.0,4800.0,0
5.0,5.0,0.0,5100.0,0
3.5,3.5,0.0,5100.0,0
4.0,4.0,0.0,4800.0,0
2.0,2.0,0.0,4300.0,0
2.0,2.0,0.0,4300.0,0
1.5,1.5,0.0,4900.0,0
2.0,2.0,0.0,4800.0,0
2.5,2.5,0.0,5100.0,0
1.0,1.0,0.0,5100.0,0
5.0,5.0,0.0,4900.0,0
6.0,6.0,0.0,4900.0,0
1.5,1.5,0.0,4900.0,0
4.5,4.5,0.0,4200.0,0
7.0,7.0,0.0,4200.0,0
0.0,0.0,0.0,4200.0,0
1.0,1.0,0.0,4700.0,0
7.0,7.0,0.0,4900.0,0
3.0,3.0,0.0,4900.0,0
0.0,0.0,0.0,4900.0,0
0.0,0.0,0.0,4700.0,0
5.5,5.5,0.0,5000.0,0
3.0,3.0,0.0,5000.0,0
1.0,1.0,0.0,3400.0,0
2.0,2.0,0.0,4100.0,0
4.0,4.0,0.0,5100.0,0
4.5,4.5,0.0,5100.0,0
5.5,5.5,0.0,4800.0,0
3.0,3.0,0.0,4800.0,0
5.0,5.0,0.0,3600.0,0
3.0,3.0,0.0,5500.0,0
2.0,2.0,0.0,4800.0,0
5.0,5.0,0.0,4500.0,0
4.0,4.0,0.0,4700.0,0
0.0,0.0,0.0,4700.0,0
0.0,0.0,0.0,5300.0,0
0.0,0.0,0.0,5300.0,0
0.0,0.0,0.0,5300.0,0
1.5,1.5,0.0,5500.0,0
4.0,4.0,0.0,5500.0,0
0.0,0.0,0.0,4500.0,0
0.0,0.0,0.0,4500.0,0
0.0,0.0,0.0,4600.0,0
4.0,4.0,0.0,6100.0,0
1.0,1.0,0.0,5500.0,0
4.5,4.5,0.0,5500.0,0
3.5,3.5,0.0,4000.0,0
5.0,5.0,0.0,3300.0,0
3.0,3.0,0.0,4200.0,0
2.5,2.5,0.0,4400.0,0
3.5,3.5,0.0,5500.0,0
5.0,5.0,0.0,5500.0,0
0.0,0.0,0.0,3100.0,0
0.0,0.0,0.0,4200.0,0
7.0,7.0,0.0,4000.0,0
4.0,4.0,0.0,4400.0,0
0.0,0.0,0.0,4400.0,0
0.0,0.0,0.0,4700.0,0
2.5,2.5,0.0,5800.0,0
9.0,9.0,0.0,6200.0,0
1.5,1.5,0.0,6200.0,0
0.0,0.0,0.0,5700.0,0
1.0,1.0,0.0,4700.0,0
6.5,6.5,0.0,4700.0,0
0.0,0.0,0.0,4100.0,0
0.0,0.0,0.0,4100.0,0
1.5,1.5,0.0,4900.0,0
6.5,6.5,0.0,5800.0,0
8.0,8.0,0.0,5800.0,0
2.0,2.0,0.0,4800.0,0
3.5,3.5,0.0,3900.0,0
9.0,9.0,0.0,4400.0,0
1.5,1.5,0.0,4400.0,0
0.0,0.0,0.0,4200.0,0
5.5,5.5,0.0,4400.0,0
8.0,8.0,0.0,4600.0,0
2.0,2.0,0.0,3900.0,0
0.0,0.0,0.0,3900.0,0
3.0,3.0,0.0,5700.0,0
6.0,6.0,0.0,4500.0,0
1.0,1.0,0.0,4500.0,0
0.5,0.5,0.0,4500.0,0
2.0,2.0,0.0,4900.0,0
4.0,4.0,0.0,4900.0,0
2.0,2.0,0.0,4900.0,0
0.5,0.5,0.0,4400.0,0
7.0,7.0,0.0,4600.0,0
10.0,10.0,0.0,4600.0,0
1.0,1.0,0.0,3600.0,0
2.0,2.0,0.0,4500.0,0
6.0,6.0,0.0,4500.0,0
1.0,1.0,0.0,4500.0,0
1.0,1.0,0.0,4300.0,0
0.5,0.5,0.0,4300.0,0
3.5,3.5,0.0,5500.0,0
7.0,7.0,0.0,5500.0,0
0.0,0.0,0.0,5500.0,0
0.0,0.0,0.0,5200.0,0
3.5,3.5,0.0,6000.0,0
7.0,7.0,0.0,4200.0,0
0.0,0.0,0.0,3600.0,0
4.0,4.0,0.0,3800.0,0
0.0,0.0,0.0,3800.0,0
0.0,0.0,0.0,4900.0,0
1.5,1.5,0.0,4900.0,0
2.0,2.0,0.0,4300.0,0
7.0,7.0,0.0,4300.0,0
0.0,0.0,0.0,3900.0,0
1.0,1.0,0.0,4300.0,0
5.0,5.0,0.0,4900.0,0
6.0,6.0,0.0,4900.0,0
1.0,1.0,0.0,4900.0,0
5.0,5.0,0.0,4400.0,0
0.0,0.0,0.0,4400.0,0
0.0,0.0,0.0,4400.0,0
1.0,1.0,0.0,4400.0,0
5.0,5.0,0.0,4800.0,0
10.0,10.0,0.0,4100.0,0
1.0,1.0,0.0,4100.0,0
3.5,3.5,0.0,4300.0,0
6.0,6.0,0.0,4500.0,0
0.0,0.0,0.0,4500.0,0
1.5,1.5,0.0,5200.0,0
4.5,4.5,0.0,4500.0,0
2.0,2.0,0.0,4400.0,0
1.0,1.0,0.0,4400.0,0
2.0,2.0,0.0,4500.0,0
4.5,4.5,0.0,4200.0,0
2.0,2.0,0.0,5800.0,0
