timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-22T07:53:15Z,frontend,0,13021184,1
2026-09-22T07:53:15Z,cartservice,6,86380544,1
2026-09-22T07:53:15Z,checkoutservice,5,22077440,1
2026-09-22T07:53:15Z,productcatalogservice,4,16306176,1
2026-09-22T07:53:15Z,paymentservice,4,36405248,1
2026-09-22T07:53:15Z,recommendationservice,10,71421952,1
2026-09-22T07:53:15Z,shippingservice,6,46133248,1
2026-09-22T07:53:15Z,currencyservice,4,85180416,1
2026-09-22T07:53:15Z,emailservice,9,93949952,1
2026-09-22T07:53:15Z,adservice,28,281096192,1
2026-09-22T07:53:15Z,redis-cart,7,32747520,1
2026-09-22T07:53:15Z,__master_node__,1061,2752671744,1
2026-09-22T07:53:20Z,frontend,0,13021184,1
2026-09-22T07:53:20Z,cartservice,6,86417408,1
2026-09-22T07:53:20Z,checkoutservice,4,22077440,1
2026-09-22T07:53:20Z,productcatalogservice,5,16613376,1
2026-09-22T07:53:20Z,paymentservice,4,36405248,1
2026-09-22T07:53:20Z,recommendationservice,10,71421952,1
2026-09-22T07:53:20Z,shippingservice,7,46129152,1
2026-09-22T07:53:20Z,currencyservice,4,85209088,1
2026-09-22T07:53:20Z,emailservice,10,93949952,1
2026-09-22T07:53:20Z,adservice,29,281096192,1
2026-09-22T07:53:20Z,redis-cart,7,32747520,1
2026-09-22T07:53:20Z,__master_node__,3223,2757566464,1
2026-09-22T07:53:25Z,frontend,0,13025280,1
2026-09-22T07:53:25Z,cartservice,6,86417408,1
2026-09-22T07:53:25Z,checkoutservice,4,22077440,1
2026-09-22T07:53:25Z,productcatalogservice,5,16613376,1
2026-09-22T07:53:25Z,paymentservice,4,36438016,1
2026-09-22T07:53:25Z,recommendationservice,10,71421952,1
2026-09-22T07:53:25Z,shippingservice,7,46170112,1
2026-09-22T07:53:25Z,currencyservice,4,85209088,1
2026-09-22T07:53:25Z,emailservice,10,93949952,1
2026-09-22T07:53:25Z,adservice,29,281096192,1
2026-09-22T07:53:25Z,redis-cart,7,32747520,1
2026-09-22T07:53:25Z,__master_node__,3223,2757566464,1
2026-09-22T07:53:30Z,frontend,0,13025280,1
2026-09-22T07:53:30Z,cartservice,5,86421504,1
2026-09-22T07:53:30Z,checkoutservice,4,22077440,1
2026-09-22T07:53:30Z,productcatalogservice,4,16846848,1
2026-09-22T07:53:30Z,paymentservice,4,36438016,1
2026-09-22T07:53:30Z,recommendationservice,10,71421952,1
2026-09-22T07:53:30Z,shippingservice,6,46129152,1
2026-09-22T07:53:30Z,currencyservice,4,85020672,1
2026-09-22T07:53:30Z,emailservice,10,93949952,1
2026-09-22T07:53:30Z,adservice,26,281096192,1
2026-09-22T07:53:30Z,redis-cart,7,32747520,1
2026-09-22T07:53:30Z,__master_node__,1119,2774351872,1
2026-09-22T07:53:35Z,frontend,0,13029376,1
2026-09-22T07:53:35Z,cartservice,5,86421504,1
2026-09-22T07:53:35Z,checkoutservice,4,22077440,1
2026-09-22T07:53:35Z,productcatalogservice,4,16846848,1
2026-09-22T07:53:35Z,paymentservice,4,36470784,1
2026-09-22T07:53:35Z,recommendationservice,10,71421952,1
2026-09-22T07:53:35Z,shippingservice,6,46153728,1
2026-09-22T07:53:35Z,currencyservice,4,85020672,1
2026-09-22T07:53:35Z,emailservice,10,93949952,1
2026-09-22T07:53:35Z,adservice,26,281071616,1
2026-09-22T07:53:35Z,redis-cart,7,32747520,1
2026-09-22T07:53:35Z,__master_node__,1119,2774351872,1
2026-09-22T07:53:40Z,frontend,0,13029376,1
2026-09-22T07:53:40Z,cartservice,6,86458368,1
2026-09-22T07:53:40Z,checkoutservice,4,22077440,1
2026-09-22T07:53:40Z,productcatalogservice,4,16953344,1
2026-09-22T07:53:40Z,paymentservice,4,36470784,1
2026-09-22T07:53:40Z,recommendationservice,10,71421952,1
2026-09-22T07:53:40Z,shippingservice,6,46280704,1
2026-09-22T07:53:40Z,currencyservice,4,85020672,1
2026-09-22T07:53:40Z,emailservice,10,93949952,1
2026-09-22T07:53:40Z,adservice,29,281071616,1
2026-09-22T07:53:40Z,redis-cart,7,32747520,1
2026-09-22T07:53:40Z,__master_node__,1126,2763841536,1
2026-09-22T07:53:45Z,frontend,0,13037568,1
2026-09-22T07:53:45Z,cartservice,6,86458368,1
2026-09-22T07:53:45Z,checkoutservice,4,22077440,1
2026-09-22T07:53:45Z,productcatalogservice,4,16953344,1
2026-09-22T07:53:45Z,paymentservice,4,36495360,1
2026-09-22T07:53:45Z,recommendationservice,10,71421952,1
2026-09-22T07:53:45Z,shippingservice,6,46325760,1
2026-09-22T07:53:45Z,currencyservice,4,85020672,1
2026-09-22T07:53:45Z,emailservice,10,93949952,1
2026-09-22T07:53:45Z,adservice,29,281071616,1
2026-09-22T07:53:45Z,redis-cart,7,32747520,1
2026-09-22T07:53:45Z,__master_node__,1126,2763841536,1
2026-09-22T07:53:50Z,frontend,0,13037568,1
2026-09-22T07:53:50Z,cartservice,6,86470656,1
2026-09-22T07:53:50Z,checkoutservice,4,22077440,1
2026-09-22T07:53:50Z,productcatalogservice,4,16957440,1
2026-09-22T07:53:50Z,paymentservice,4,36495360,1
2026-09-22T07:53:50Z,recommendationservice,10,71421952,1
2026-09-22T07:53:50Z,shippingservice,7,46292992,1
2026-09-22T07:53:50Z,currencyservice,4,85028864,1
2026-09-22T07:53:50Z,emailservice,10,93949952,1
2026-09-22T07:53:50Z,adservice,29,281096192,1
2026-09-22T07:53:50Z,redis-cart,7,32747520,1
2026-09-22T07:53:50Z,__master_node__,2745,2761461760,1
2026-09-22T07:53:55Z,frontend,0,13205504,1
2026-09-22T07:53:55Z,cartservice,6,86470656,1
2026-09-22T07:53:55Z,checkoutservice,4,22077440,1
2026-09-22T07:53:55Z,productcatalogservice,4,16957440,1
2026-09-22T07:53:55Z,paymentservice,4,36294656,1
2026-09-22T07:53:55Z,recommendationservice,10,71421952,1
2026-09-22T07:53:55Z,shippingservice,7,46292992,1
2026-09-22T07:53:55Z,currencyservice,5,85028864,1
2026-09-22T07:53:55Z,emailservice,10,93949952,1
2026-09-22T07:53:55Z,adservice,29,281096192,1
2026-09-22T07:53:55Z,redis-cart,7,32747520,1
2026-09-22T07:53:55Z,__master_node__,2745,2761461760,1
2026-09-22T07:54:00Z,frontend,0,13205504,1
2026-09-22T07:54:00Z,cartservice,6,86409216,1
2026-09-22T07:54:00Z,checkoutservice,4,22077440,1
2026-09-22T07:54:00Z,productcatalogservice,4,16961536,1
2026-09-22T07:54:00Z,paymentservice,4,36294656,1
2026-09-22T07:54:00Z,recommendationservice,10,71421952,1
2026-09-22T07:54:00Z,shippingservice,7,46292992,1
2026-09-22T07:54:00Z,currencyservice,5,85045248,1
2026-09-22T07:54:00Z,emailservice,10,93949952,1
2026-09-22T07:54:00Z,adservice,29,281096192,1
2026-09-22T07:54:00Z,redis-cart,7,32747520,1
2026-09-22T07:54:00Z,__master_node__,1292,2763669504,1
2026-09-22T07:54:05Z,frontend,1,12521472,1
2026-09-22T07:54:05Z,cartservice,5,86409216,1
2026-09-22T07:54:05Z,checkoutservice,4,22077440,1
2026-09-22T07:54:05Z,productcatalogservice,4,16961536,1
2026-09-22T07:54:05Z,paymentservice,4,36298752,1
2026-09-22T07:54:05Z,recommendationservice,10,71421952,1
2026-09-22T07:54:05Z,shippingservice,6,46432256,1
2026-09-22T07:54:05Z,currencyservice,4,85045248,1
2026-09-22T07:54:05Z,emailservice,10,93949952,1
2026-09-22T07:54:05Z,adservice,26,281096192,1
2026-09-22T07:54:05Z,redis-cart,7,32747520,1
2026-09-22T07:54:05Z,__master_node__,1292,2763669504,1
2026-09-22T07:54:10Z,frontend,1,14192640,1
2026-09-22T07:54:10Z,cartservice,5,86446080,1
2026-09-22T07:54:10Z,checkoutservice,4,21983232,1
2026-09-22T07:54:10Z,productcatalogservice,4,16277504,1
2026-09-22T07:54:10Z,paymentservice,4,36315136,1
2026-09-22T07:54:10Z,recommendationservice,10,71454720,1
2026-09-22T07:54:10Z,shippingservice,6,46260224,1
2026-09-22T07:54:10Z,currencyservice,4,85028864,1
2026-09-22T07:54:10Z,emailservice,10,93949952,1
2026-09-22T07:54:10Z,adservice,26,281096192,1
2026-09-22T07:54:10Z,redis-cart,7,32755712,1
2026-09-22T07:54:10Z,__master_node__,1286,2766905344,1
2026-09-22T07:54:15Z,frontend,9,20156416,1
2026-09-22T07:54:15Z,cartservice,11,86446080,1
2026-09-22T07:54:15Z,checkoutservice,9,22622208,1
2026-09-22T07:54:15Z,productcatalogservice,8,16637952,1
2026-09-22T07:54:15Z,paymentservice,5,36343808,1
2026-09-22T07:54:15Z,recommendationservice,13,71454720,1
2026-09-22T07:54:15Z,shippingservice,8,46440448,1
2026-09-22T07:54:15Z,currencyservice,6,85061632,1
2026-09-22T07:54:15Z,emailservice,11,93982720,1
2026-09-22T07:54:15Z,adservice,32,281145344,1
2026-09-22T07:54:15Z,redis-cart,8,32755712,1
2026-09-22T07:54:15Z,__master_node__,1286,2766905344,1
2026-09-22T07:54:20Z,frontend,9,22331392,1
2026-09-22T07:54:20Z,cartservice,11,86446080,1
2026-09-22T07:54:20Z,checkoutservice,9,22827008,1
2026-09-22T07:54:20Z,productcatalogservice,8,17956864,1
2026-09-22T07:54:20Z,paymentservice,5,36290560,1
2026-09-22T07:54:20Z,recommendationservice,13,71454720,1
2026-09-22T07:54:20Z,shippingservice,8,46698496,1
2026-09-22T07:54:20Z,currencyservice,6,85184512,1
2026-09-22T07:54:20Z,emailservice,11,93982720,1
2026-09-22T07:54:20Z,adservice,32,281145344,1
2026-09-22T07:54:20Z,redis-cart,8,32755712,1
2026-09-22T07:54:20Z,__master_node__,2929,2768924672,1
2026-09-22T07:54:25Z,frontend,54,24903680,1
2026-09-22T07:54:25Z,cartservice,38,86482944,1
2026-09-22T07:54:25Z,checkoutservice,61,22425600,1
2026-09-22T07:54:25Z,productcatalogservice,29,18055168,1
2026-09-22T07:54:25Z,paymentservice,7,36306944,1
2026-09-22T07:54:25Z,recommendationservice,38,71487488,1
2026-09-22T07:54:25Z,shippingservice,13,46796800,1
2026-09-22T07:54:25Z,currencyservice,18,85303296,1
2026-09-22T07:54:25Z,emailservice,14,94015488,1
2026-09-22T07:54:25Z,adservice,31,281194496,1
2026-09-22T07:54:25Z,redis-cart,9,32768000,1
2026-09-22T07:54:25Z,__master_node__,2929,2768924672,1
2026-09-22T07:54:30Z,frontend,54,29233152,1
2026-09-22T07:54:30Z,cartservice,38,86523904,1
2026-09-22T07:54:30Z,checkoutservice,61,22380544,1
2026-09-22T07:54:30Z,productcatalogservice,29,17338368,1
2026-09-22T07:54:30Z,paymentservice,7,36315136,1
2026-09-22T07:54:30Z,recommendationservice,38,71487488,1
2026-09-22T07:54:30Z,shippingservice,13,46972928,1
2026-09-22T07:54:30Z,currencyservice,18,85450752,1
2026-09-22T07:54:30Z,emailservice,14,94015488,1
2026-09-22T07:54:30Z,adservice,31,281194496,1
2026-09-22T07:54:30Z,redis-cart,9,32772096,1
2026-09-22T07:54:30Z,__master_node__,1373,2770980864,1
2026-09-22T07:54:35Z,frontend,55,31248384,1
2026-09-22T07:54:35Z,cartservice,53,86712320,1
2026-09-22T07:54:35Z,checkoutservice,75,24092672,1
2026-09-22T07:54:35Z,productcatalogservice,29,18026496,1
2026-09-22T07:54:35Z,paymentservice,7,36347904,1
2026-09-22T07:54:35Z,recommendationservice,43,71491584,1
2026-09-22T07:54:35Z,shippingservice,14,47095808,1
2026-09-22T07:54:35Z,currencyservice,20,85590016,1
2026-09-22T07:54:35Z,emailservice,16,94015488,1
2026-09-22T07:54:35Z,adservice,29,281219072,1
2026-09-22T07:54:35Z,redis-cart,9,32776192,1
2026-09-22T07:54:35Z,__master_node__,1373,2770980864,1
2026-09-22T07:54:40Z,frontend,55,30642176,1
2026-09-22T07:54:40Z,cartservice,53,86712320,1
2026-09-22T07:54:40Z,checkoutservice,75,22634496,1
2026-09-22T07:54:40Z,productcatalogservice,29,18010112,1
2026-09-22T07:54:40Z,paymentservice,7,36380672,1
2026-09-22T07:54:40Z,recommendationservice,43,71491584,1
2026-09-22T07:54:40Z,shippingservice,14,47132672,1
2026-09-22T07:54:40Z,currencyservice,20,85696512,1
2026-09-22T07:54:40Z,emailservice,16,94015488,1
2026-09-22T07:54:40Z,adservice,29,281243648,1
2026-09-22T07:54:40Z,redis-cart,9,32776192,1
2026-09-22T07:54:40Z,__master_node__,1324,2779828224,1
2026-09-22T07:54:45Z,frontend,57,34127872,1
2026-09-22T07:54:45Z,cartservice,56,86953984,1
2026-09-22T07:54:45Z,checkoutservice,83,23142400,1
2026-09-22T07:54:45Z,productcatalogservice,30,18423808,1
2026-09-22T07:54:45Z,paymentservice,8,36388864,1
2026-09-22T07:54:45Z,recommendationservice,45,71491584,1
2026-09-22T07:54:45Z,shippingservice,14,46833664,1
2026-09-22T07:54:45Z,currencyservice,18,85835776,1
2026-09-22T07:54:45Z,emailservice,17,94015488,1
2026-09-22T07:54:45Z,adservice,32,281268224,1
2026-09-22T07:54:45Z,redis-cart,10,32776192,1
2026-09-22T07:54:45Z,__master_node__,1324,2779828224,1
2026-09-22T07:54:50Z,frontend,57,40751104,1
2026-09-22T07:54:50Z,cartservice,56,87433216,1
2026-09-22T07:54:50Z,checkoutservice,83,23314432,1
2026-09-22T07:54:50Z,productcatalogservice,30,18788352,1
