RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,54.8,0.0
3.0,0.0,3.0,102.0,0.0
5.0,0.0,5.0,176.2,0.0
10.5,0.0,10.5,396.0,0.0
6.0,0.0,6.0,796.0,0.0
25.0,0.0,25.0,772.0,0.0
24.0,5.0,19.0,1008.0,0.0
21.5,5.0,16.5,1294.0,0.0
23.0,8.0,15.0,1452.0,0.0
49.0,16.0,33.0,1130.0,0.0
36.0,11.0,25.0,1268.0,0.0
36.0,9.0,27.0,1426.0,0.0
36.0,11.0,25.0,1488.0,0.0
33.5,14.5,19.0,1608.0,0.0
60.0,22.5,37.5,1648.0,0.0
32.0,4.5,27.5,2180.0,0.0
61.0,20.0,41.0,2166.0,0.0
40.0,6.0,34.0,2006.0,0.0
57.0,34.5,22.5,2440.0,0.0
59.0,35.5,23.5,2300.0,0.0
70.0,22.5,47.5,2680.0,0.0
66.0,24.0,42.0,2788.0,0.0
75.5,17.5,58.0,2942.0,0.0
63.0,14.5,48.5,3200.0,0.0
61.5,19.0,42.5,3140.0,0.0
72.0,25.0,47.0,3178.0,0.0
74.5,18.5,56.0,3262.0,0.0
37.0,27.0,10.0,3580.0,0.0
75.5,43.0,32.5,3800.0,0.0
47.0,34.0,13.0,3280.0,0.0
89.5,32.0,57.5,3520.0,0.0
14.0,14.0,0.0,3400.0,0.0
71.5,60.5,11.0,4480.0,0.0
80.0,61.5,18.5,4580.0,0.0
59.5,40.5,19.0,4280.0,0.0
60.5,59.0,1.5,4380.0,0.0
102.0,62.5,39.5,3744.0,0.0
50.0,9.5,40.5,4082.0,0.0
46.0,38.0,8.0,4760.0,0.0
79.5,68.5,11.0,5220.0,0.0
8.0,8.0,0.0,5740.0,0.0
34.0,34.0,0.0,5980.0,0.0
7.5,7.5,0.0,5900.0,0.0
64.5,63.5,1.0,5760.0,0.0
111.0,109.0,2.0,4982.0,0.0
58.5,6.0,52.5,5420.0,0.0
68.0,68.0,0.0,5860.0,0.0
108.5,100.5,8.0,6320.0,0.0
52.5,44.5,8.0,7460.0,0.0
86.0,85.0,1.0,7460.0,0.0
160.5,115.5,45.0,6380.0,0.0
100.5,41.5,59.0,6000.0,0.0
6.0,6.0,0.0,6300.0,0.0
207.0,119.0,88.0,5402.0,0.0
82.0,1.0,81.0,5540.0,0.0
73.0,67.5,5.5,7560.0,0.0
158.0,156.0,2.0,6380.0,0.0
73.5,30.5,43.0,6820.0,0.0
57.0,56.0,1.0,8000.0,0.0
94.5,89.5,5.0,8200.0,0.0
56.5,51.5,5.0,8020.0,0.0
25.0,25.0,0.0,6080.0,0.0
257.0,257.0,0.0,6040.0,0.0
374.5,374.5,0.0,15.4,0.0
125.0,125.0,0.0,283.2,0.0
5.0,0.0,5.0,1202.8,0.0
27.0,27.0,0.0,1782.8,0.0
77.0,77.0,0.0,2462.8,0.0
104.5,78.0,26.5,2042.8,0.0
95.0,42.0,53.0,3062.8,0.0
41.5,40.0,1.5,5400.0,0.0
107.5,69.5,38.0,5820.0,0.0
114.5,68.0,46.5,6120.0,0.0
33.5,25.0,8.5,7500.0,0.0
126.5,99.5,27.0,7680.0,0.0
157.5,98.0,59.5,7960.0,0.0
59.5,22.5,37.0,8500.0,0.0
97.0,78.0,19.0,6660.0,0.0
50.0,36.0,14.0,6600.0,0.0
38.5,38.0,0.5,7180.0,0.0
96.5,79.0,17.5,7000.0,0.0
113.5,78.5,35.0,6620.0,0.0
72.5,55.0,17.5,7200.0,0.0
47.0,47.0,0.0,7140.0,0.0
83.0,54.5,28.5,6460.0,0.0
25.5,25.5,0.0,7100.0,0.0
104.5,83.0,21.5,7780.0,0.0
119.5,95.5,24.0,7540.0,0.0
51.0,40.5,10.5,7420.0,0.0
129.0,129.0,0.0,5300.0,0.0
14.0,14.0,0.0,5320.0,0.0
64.0,63.0,1.0,6380.0,0.0
113.0,111.0,2.0,6080.0,0.0
149.0,35.0,114.0,6520.0,0.0
15.0,15.0,0.0,7280.0,0.0
83.0,77.5,5.5,7300.0,0.0
155.0,149.5,5.5,6880.0,0.0
54.0,54.0,0.0,6980.0,0.0
18.0,18.0,0.0,6640.0,0.0
95.0,67.5,27.5,6620.0,0.0
111.5,70.0,41.5,6060.0,0.0
57.5,35.5,22.0,7400.0,0.0
142.5,113.5,29.0,7660.0,0.0
177.5,107.5,70.0,7380.0,0.0
43.0,29.0,14.0,8200.0,0.0
80.0,70.5,9.5,8060.0,0.0
72.0,66.0,6.0,5820.0,0.0
23.5,23.5,0.0,5840.0,0.0
41.5,41.5,0.0,7220.0,0.0
45.0,45.0,0.0,7000.0,0.0
122.0,119.5,2.5,6440.0,0.0
70.0,56.5,13.5,6560.0,0.0
56.0,42.5,13.5,6320.0,0.0
103.0,66.0,37.0,6020.0,0.0
7.0,1.0,6.0,5220.0,0.0
65.0,49.0,16.0,6280.0,0.0
151.5,91.0,60.5,6080.0,0.0
89.0,35.0,54.0,6380.0,0.0
18.5,18.5,0.0,6640.0,0.0
90.0,89.0,1.0,7060.0,0.0
151.0,149.0,2.0,5440.0,0.0
63.5,11.0,52.5,5900.0,0.0
31.0,31.0,0.0,7500.0,0.0
93.5,80.5,13.0,7520.0,0.0
103.0,45.0,58.0,6230.0,0.0
84.0,29.5,54.5,7640.0,0.0
99.0,94.0,5.0,6320.0,0.0
139.0,92.0,47.0,6500.0,0.0
26.5,26.5,0.0,6940.0,0.0
94.5,68.0,26.5,7360.0,0.0
133.5,77.0,56.5,6318.0,0.0
78.5,30.0,48.5,5660.0,0.0
69.0,51.0,18.0,6180.0,0.0
108.0,78.0,30.0,6680.0,0.0
113.5,85.0,28.5,6460.0,0.0
42.5,40.0,2.5,6600.0,0.0
34.5,32.0,2.5,7360.0,0.0
96.5,63.0,33.5,6880.0,0.0
119.5,86.0,33.5,6360.0,0.0
76.0,52.0,24.0,6540.0,0.0
92.0,68.0,24.0,6160.0,0.0
26.5,26.5,0.0,6440.0,0.0
11.0,11.0,0.0,6860.0,0.0
20.5,20.5,0.0,7420.0,0.0
74.5,56.5,18.0,6900.0,0.0
132.5,94.0,38.5,5260.0,0.0
91.0,50.0,41.0,5280.0,0.0
93.5,66.0,27.5,4900.0,0.0
113.0,70.0,43.0,4980.0,0.0
168.0,82.0,86.0,4800.0,0.0
76.5,41.5,35.0,7360.0,0.0
119.0,115.0,4.0,7940.0,0.0
24.0,24.0,0.0,8060.0,0.0
64.5,64.5,0.0,8580.0,0.0
70.0,70.0,0.0,5440.0,0.0
96.0,64.5,31.5,5180.0,0.0
45.5,29.5,16.0,5480.0,0.0
82.0,81.0,1.0,6560.0,0.0
122.5,74.0,48.5,5940.0,0.0
76.0,28.0,48.0,6640.0,0.0
58.5,57.0,1.5,6200.0,0.0
137.0,102.5,34.5,6220.0,0.0
51.0,17.5,33.5,6600.0,0.0
61.0,61.0,0.0,7400.0,0.0
16.0,16.0,0.0,7160.0,0.0
12.5,12.5,0.0,6700.0,0.0
45.5,29.5,16.0,6640.0,0.0
57.0,52.0,5.0,6940.0,0.0
155.5,122.5,33.0,7280.0,0.0
75.5,40.0,35.5,8040.0,0.0
36.0,27.5,8.5,6740.0,0.0
108.0,65.0,43.0,5920.0,0.0
148.5,74.0,74.5,5440.0,0.0
70.0,38.5,31.5,6140.0,0.0
73.5,73.0,0.5,7020.0,0.0
32.0,32.0,0.0,7080.0,0.0
95.0,95.0,0.0,6860.0,0.0
67.5,67.0,0.5,7300.0,0.0
132.5,77.5,55.0,7600.0,0.0
164.0,55.0,109.0,7160.0,0.0
17.5,16.5,1.0,6500.0,0.0
73.5,58.5,15.0,7560.0,0.0
139.0,122.5,16.5,7640.0,0.0
64.0,63.0,1.0,6320.0,0.0
87.0,87.0,0.0,7420.0,0.0
128.0,128.0,0.0,5420.0,0.0
65.0,18.5,46.5,5360.0,0.0
99.5,80.0,19.5,5780.0,0.0
114.0,72.5,41.5,5800.0,0.0
37.5,16.5,21.0,6240.0,0.0
74.5,74.5,0.0,7140.0,0.0
123.0,107.5,15.5,7040.0,0.0
62.5,47.0,15.5,7220.0,0.0
85.0,72.0,13.0,7620.0,0.0
124.5,69.5,55.0,7540.0,0.0
69.5,22.0,47.5,6380.0,0.0
35.0,29.5,5.5,6920.0,0.0
136.0,82.0,54.0,6320.0,0.0
137.5,77.5,60.0,6020.0,0.0
27.0,22.0,5.0,6680.0,0.0
139.0,81.0,58.0,7060.0,0.0
36.0,25.0,11.0,7240.0,0.0
62.0,57.0,5.0,7060.0,0.0
87.0,81.5,5.5,6780.0,0.0
123.5,76.0,47.5,5880.0,0.0
74.5,32.0,42.5,6500.0,0.0
71.5,71.0,0.5,7240.0,0.0
86.5,86.0,0.5,6660.0,0.0
43.0,43.0,0.0,6740.0,0.0
89.5,89.5,0.0,6180.0,0.0
122.5,81.0,41.5,5820.0,0.0
78.5,37.0,41.5,6020.0,0.0
25.0,20.0,5.0,5660.0,0.0
169.0,113.0,56.0,5580.0,0.0
29.0,29.0,0.0,6300.0,0.0
54.0,54.0,0.0,5980.0,0.0
103.5,96.0,7.5,5960.0,0.0
102.5,85.5,17.0,5020.0,0.0
46.5,34.5,12.0,4980.0,0.0
34.5,31.5,3.0,5280.0,0.0
121.0,89.5,31.5,5360.0,0.0
157.0,100.0,57.0,4380.0,0.0
36.5,24.5,12.0,5420.0,0.0
91.0,68.5,22.5,5520.0,0.0
50.0,39.0,11.0,5940.0,0.0
48.0,42.0,6.0,7360.0,0.0
146.5,139.5,7.0,7160.0,0.0
83.0,27.0,56.0,6080.0,0.0
53.0,34.5,18.5,7000.0,0.0
83.5,64.5,19.0,6980.0,0.0
171.0,133.0,38.0,6136.0,0.0
91.0,17.5,73.5,6740.0,0.0
32.0,32.0,0.0,6540.0,0.0
77.5,57.0,20.5,6740.0,0.0
109.0,74.5,34.5,7100.0,0.0
72.5,57.0,15.5,7260.0,0.0
100.5,97.5,3.0,6960.0,0.0
54.0,14.0,40.0,6360.0,0.0
59.5,54.5,5.0,7520.0,0.0
87.0,75.0,12.0,6860.0,0.0
160.0,128.0,32.0,4960.0,0.0
52.0,39.5,12.5,5480.0,0.0
20.0,20.0,0.0,6900.0,0.0
152.0,113.0,39.0,6280.0,0.0
72.5,32.0,40.5,5980.0,0.0
54.0,49.0,5.0,7000.0,0.0
123.5,80.5,43.0,6520.0,0.0
76.0,34.5,41.5,6280.0,0.0
27.0,19.5,7.5,6540.0,0.0
106.0,87.5,18.5,6580.0,0.0
98.0,35.0,63.0,6580.0,0.0
37.0,28.0,9.0,7640.0,0.0
100.0,93.5,6.5,6660.0,0.0
44.0,42.0,2.0,6080.0,0.0
52.5,45.5,7.0,6780.0,0.0
113.0,82.0,31.0,6280.0,0.0
215.0,153.0,62.0,5140.0,0.0
39.0,35.5,3.5,5720.0,0.0
36.0,36.0,0.0,6400.0,0.0
90.0,81.5,8.5,6400.0,0.0
138.5,121.5,17.0,5100.0,0.0
88.0,79.0,9.0,6280.0,0.0
66.0,30.0,36.0,5260.0,0.0
32.5,27.0,5.5,4920.0,0.0
55.0,44.0,11.0,6420.0,0.0
126.0,124.0,2.0,5720.0,0.0
37.0,37.0,0.0,5400.0,0.0
6.0,6.0,0.0,5940.0,0.0
71.5,62.5,9.0,6620.0,0.0
126.5,69.5,57.0,6500.0,0.0
84.0,15.0,69.0,6740.0,0.0
57.0,31.0,26.0,7340.0,0.0
99.5,80.5,19.0,7480.0,0.0
110.0,77.0,33.0,6680.0,0.0
45.5,38.5,7.0,6540.0,0.0
56.0,55.0,1.0,7580.0,0.0
147.0,107.0,40.0,6700.0,0.0
65.0,40.5,24.5,5680.0,0.0
50.5,32.0,18.5,5660.0,0.0
122.0,64.0,58.0,6220.0,0.0
120.5,60.0,60.5,5680.0,0.0
87.0,61.5,25.5,6160.0,0.0
43.5,42.5,1.0,7660.0,0.0
76.5,70.5,6.0,8400.0,0.0
156.0,98.5,57.5,6940.0,0.0
84.5,24.0,60.5,6400.0,0.0
31.0,22.5,8.5,6240.0,0.0
146.0,64.0,82.0,5660.0,0.0
69.0,24.0,45.0,5680.0,0.0
77.5,67.5,10.0,7000.0,0.0
117.5,99.5,18.0,7620.0,0.0
107.0,83.0,24.0,7660.0,0.0
42.5,41.0,1.5,8400.0,0.0
59.0,54.0,5.0,8380.0,0.0
108.0,58.0,50.0,8280.0,0.0
76.0,19.0,57.0,7300.0,0.0
94.0,79.5,14.5,6920.0,0.0
120.0,115.0,5.0,6920.0,0.0
51.5,51.5,0.0,6260.0,0.0
32.0,30.0,2.0,5980.0,0.0
131.0,94.0,37.0,4880.0,0.0
82.0,50.0,32.0,4760.0,0.0
31.5,17.5,14.0,4920.0,0.0
115.5,110.0,5.5,5840.0,0.0
64.5,59.0,5.5,6600.0,0.0
52.5,47.5,5.0,7100.0,0.0
