RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
4.5,4.5,0.0,1700.0,0
7.0,7.0,0.0,2700.0,0
39.5,37.0,2.5,3800.0,0
45.0,36.5,8.5,2100.0,0
25.0,13.5,11.5,2000.0,0
17.0,10.5,6.5,1800.0,0
5.0,5.0,0.0,1800.0,0
9.0,8.0,1.0,2900.0,0
8.5,8.0,0.5,2400.0,0
27.5,20.0,7.5,2100.0,0
26.5,19.0,7.5,2300.0,0
9.0,9.0,0.0,3000.0,0
38.0,38.0,0.0,2900.0,0
18.5,13.5,5.0,2900.0,0
1.0,1.0,0.0,2900.0,0
14.5,14.5,0.0,3100.0,0
6.0,5.5,0.5,3100.0,0
17.0,16.0,1.0,4400.0,0
13.5,13.5,0.0,3700.0,0
20.5,20.5,0.0,4400.0,0
8.0,8.0,0.0,4400.0,0
17.5,17.5,0.0,3400.0,0
40.0,16.0,24.0,3000.0,0
4.0,4.0,0.0,3000.0,0
22.0,22.0,0.0,3000.0,0
11.0,9.0,2.0,3000.0,0
8.5,8.5,0.0,3300.0,0
10.0,10.0,0.0,3300.0,0
10.5,10.5,0.0,3400.0,0
15.0,15.0,0.0,3400.0,0
24.5,22.5,2.0,3100.0,0
22.0,20.0,2.0,3500.0,0
20.5,18.0,2.5,3500.0,0
21.0,18.0,3.0,2900.0,0
26.0,26.0,0.0,2900.0,0
23.0,23.0,0.0,2900.0,0
2.5,2.5,0.0,2700.0,0
8.0,8.0,0.0,2700.0,0
12.0,12.0,0.0,2700.0,0
14.5,14.5,0.0,2500.0,0
2.0,2.0,0.0,3700.0,0
58.0,40.0,18.0,3100.0,0
2.5,1.0,1.5,3000.0,0
14.0,9.5,4.5,2800.0,0
21.5,16.5,5.0,3800.0,0
4.0,4.0,0.0,2800.0,0
24.5,19.5,5.0,2800.0,0
9.5,4.0,5.5,2800.0,0
3.0,3.0,0.0,3700.0,0
9.0,9.0,0.0,3700.0,0
10.0,10.0,0.0,4200.0,0
32.0,31.0,1.0,3700.0,0
10.0,3.5,6.5,3700.0,0
22.0,22.0,0.0,3400.0,0
32.0,27.5,4.5,3400.0,0
3.0,3.0,0.0,3400.0,0
17.0,17.0,0.0,3300.0,0
1.5,1.0,0.5,3300.0,0
22.5,22.5,0.0,3300.0,0
33.0,30.5,2.5,3300.0,0
10.0,9.5,0.5,3300.0,0
12.0,12.0,0.0,3300.0,0
20.5,16.5,4.0,3300.0,0
6.0,6.0,0.0,2900.0,0
14.0,11.0,3.0,2900.0,0
23.0,21.0,2.0,3000.0,0
21.0,17.5,3.5,2900.0,0
6.0,4.5,1.5,2900.0,0
9.5,9.5,0.0,2900.0,0
18.0,17.0,1.0,2900.0,0
21.5,20.5,1.0,2900.0,0
2.0,2.0,0.0,2500.0,0
14.0,9.0,5.0,3700.0,0
14.5,13.0,1.5,3700.0,0
15.0,14.0,1.0,3300.0,0
24.0,22.5,1.5,3200.0,0
21.5,19.0,2.5,2800.0,0
28.0,24.0,4.0,2800.0,0
2.5,2.5,0.0,3800.0,0
11.5,11.5,0.0,3700.0,0
26.0,20.5,5.5,3400.0,0
5.5,5.5,0.0,5000.0,0
16.0,16.0,0.0,3400.0,0
30.5,26.0,4.5,3400.0,0
16.0,11.5,4.5,3400.0,0
8.0,8.0,0.0,3000.0,0
0.0,0.0,0.0,3000.0,0
0.0,0.0,0.0,3000.0,0
8.0,8.0,0.0,3000.0,0
1.0,1.0,0.0,3000.0,0
3.0,3.0,0.0,3000.0,0
19.5,18.5,1.0,3000.0,0
7.5,7.5,0.0,2900.0,0
18.5,18.5,0.0,2800.0,0
13.0,1.0,12.0,4400.0,0
4.0,4.0,0.0,3000.0,0
30.0,30.0,0.0,2800.0,0
4.0,4.0,0.0,3600.0,0
6.5,6.5,0.0,3500.0,0
15.0,13.5,1.5,3600.0,0
13.5,12.0,1.5,4100.0,0
12.5,12.5,0.0,3100.0,0
24.0,20.0,4.0,4000.0,0
5.0,5.0,0.0,3000.0,0
11.5,11.5,0.0,3400.0,0
21.0,21.0,0.0,3100.0,0
13.5,11.0,2.5,3100.0,0
9.5,9.0,0.5,3400.0,0
18.0,17.0,1.0,3400.0,0
24.0,15.0,9.0,3400.0,0
1.0,1.0,0.0,3200.0,0
23.0,23.0,0.0,4700.0,0
1.5,1.5,0.0,4700.0,0
7.0,7.0,0.0,3900.0,0
29.0,25.5,3.5,3900.0,0
23.0,19.0,4.0,3900.0,0
7.5,7.0,0.5,3000.0,0
80.5,80.5,0.0,116000.0,0
57.5,53.5,4.0,116000.0,0
11.5,10.5,1.0,116000.0,0
10.0,10.0,0.0,116000.0,0
11.0,11.0,0.0,4300.0,0
48.0,48.0,0.0,4300.0,0
56.0,53.5,2.5,5000.0,0
40.5,34.0,6.5,2800.0,0
24.0,21.5,2.5,1900.0,0
24.0,24.0,0.0,2300.0,0
10.5,10.5,0.0,2600.0,0
12.5,12.5,0.0,3400.0,0
27.5,16.0,11.5,3400.0,0
23.5,11.5,12.0,2700.0,0
6.5,6.5,0.0,2700.0,0
24.0,19.0,5.0,2700.0,0
29.0,23.0,6.0,2700.0,0
15.0,15.0,0.0,2600.0,0
34.5,20.0,14.5,2600.0,0
18.0,10.0,8.0,2700.0,0
10.0,10.0,0.0,2800.0,0
16.0,11.0,5.0,2800.0,0
16.5,11.5,5.0,2600.0,0
18.0,17.5,0.5,3000.0,0
22.0,21.5,0.5,3000.0,0
7.0,7.0,0.0,3000.0,0
33.0,32.0,1.0,3500.0,0
30.0,29.0,1.0,3300.0,0
26.0,22.0,4.0,2900.0,0
21.0,17.0,4.0,2100.0,0
15.0,15.0,0.0,3000.0,0
21.0,21.0,0.0,3100.0,0
13.5,13.5,0.0,3100.0,0
26.0,22.0,4.0,4800.0,0
28.0,20.0,8.0,4800.0,0
15.0,11.5,3.5,4800.0,0
22.5,15.5,7.0,4800.0,0
22.5,14.5,8.0,4800.0,0
13.0,12.5,0.5,4800.0,0
21.5,18.0,3.5,4800.0,0
23.5,19.5,4.0,4800.0,0
22.0,20.0,2.0,2900.0,0
18.0,9.0,9.0,3700.0,0
6.0,5.0,1.0,2900.0,0
19.5,17.5,2.0,2900.0,0
14.5,14.5,0.0,3100.0,0
26.5,24.0,2.5,3500.0,0
33.5,26.0,7.5,2800.0,0
22.5,16.0,6.5,2800.0,0
20.5,16.5,4.0,2800.0,0
22.0,14.0,8.0,2800.0,0
15.5,15.5,0.0,3600.0,0
28.5,28.0,0.5,3600.0,0
23.5,23.0,0.5,5600.0,0
24.5,24.5,0.0,5600.0,0
37.0,34.5,2.5,4100.0,0
21.0,18.0,3.0,4100.0,0
11.0,11.0,0.0,5600.0,0
67.0,39.0,28.0,2600.0,0
22.5,22.0,0.5,2500.0,0
25.0,24.0,1.0,3100.0,0
16.5,16.0,0.5,1800.0,0
26.5,26.5,0.0,2800.0,0
21.5,19.0,2.5,2500.0,0
20.5,16.5,4.0,2400.0,0
10.0,10.0,0.0,3200.0,0
18.0,17.0,1.0,2400.0,0
18.0,18.0,0.0,3000.0,0
21.5,21.5,0.0,2600.0,0
14.5,13.5,1.0,2600.0,0
15.5,13.0,2.5,2600.0,0
16.0,14.0,2.0,3300.0,0
21.0,20.5,0.5,2600.0,0
13.5,13.5,0.0,4100.0,0
31.0,20.5,10.5,4000.0,0
30.0,17.0,13.0,4000.0,0
17.0,17.0,0.0,3100.0,0
25.0,15.5,9.5,3000.0,0
23.5,13.0,10.5,4100.0,0
19.0,18.5,0.5,2600.0,0
18.5,18.0,0.5,2600.0,0
10.0,10.0,0.0,2700.0,0
47.0,46.0,1.0,2500.0,0
22.0,12.0,10.0,2500.0,0
11.0,11.0,0.0,3100.0,0
36.5,24.5,12.0,3100.0,0
31.0,18.0,13.0,2800.0,0
13.0,11.0,2.0,2800.0,0
31.5,22.0,9.5,2800.0,0
16.0,9.0,7.0,2800.0,0
18.0,16.0,2.0,2800.0,0
17.5,14.5,3.0,2800.0,0
14.0,14.0,0.0,2900.0,0
35.5,30.0,5.5,3700.0,0
28.5,21.5,7.0,3000.0,0
16.0,15.5,0.5,3000.0,0
31.0,26.0,5.0,3000.0,0
18.0,15.0,3.0,2900.0,0
21.0,19.0,2.0,3100.0,0
20.5,19.0,1.5,3100.0,0
17.0,16.0,1.0,2700.0,0
17.0,12.5,4.5,2700.0,0
16.0,11.5,4.5,1800.0,0
20.5,20.5,0.0,2100.0,0
19.0,19.0,0.0,3600.0,0
22.0,19.0,3.0,3600.0,0
18.5,18.5,0.0,3500.0,0
20.5,20.0,0.5,3500.0,0
24.0,23.0,1.0,2000.0,0
16.0,16.0,0.0,3200.0,0
22.0,21.0,1.0,3000.0,0
22.5,21.5,1.0,2500.0,0
22.0,22.0,0.0,2500.0,0
24.0,19.5,4.5,2500.0,0
10.0,10.0,0.0,2500.0,0
19.5,18.5,1.0,3300.0,0
41.5,34.0,7.5,3300.0,0
35.5,28.5,7.0,2900.0,0
19.5,18.5,1.0,2500.0,0
14.0,14.0,0.0,2100.0,0
8.5,8.5,0.0,3300.0,0
23.0,23.0,0.0,3300.0,0
18.5,16.0,2.5,2100.0,0
14.0,14.0,0.0,2900.0,0
18.0,18.0,0.0,3700.0,0
17.0,17.0,0.0,3700.0,0
39.5,39.5,0.0,3900.0,0
49.5,41.5,8.0,3400.0,0
17.0,8.0,9.0,3400.0,0
15.5,15.5,0.0,3400.0,0
21.0,12.0,9.0,3400.0,0
18.5,17.5,1.0,3000.0,0
21.0,15.0,6.0,3400.0,0
30.0,22.5,7.5,3400.0,0
27.5,27.5,0.0,3400.0,0
26.5,23.5,3.0,3400.0,0
20.5,17.0,3.5,3400.0,0
11.5,10.5,1.0,3200.0,0
13.0,10.5,2.5,3200.0,0
8.5,8.5,0.0,3300.0,0
18.5,18.5,0.0,3600.0,0
19.5,19.5,0.0,4200.0,0
11.5,11.5,0.0,3400.0,0
25.0,22.0,3.0,3700.0,0
24.0,19.5,4.5,3700.0,0
14.0,14.0,0.0,3500.0,0
31.0,27.5,3.5,4000.0,0
23.5,19.0,4.5,4000.0,0
14.5,11.5,3.0,2900.0,0
22.0,14.0,8.0,2900.0,0
17.0,10.5,6.5,2900.0,0
19.5,19.5,0.0,2500.0,0
20.5,20.0,0.5,2500.0,0
27.5,26.5,1.0,3600.0,0
10.5,10.5,0.0,2400.0,0
7.0,7.0,0.0,3400.0,0
17.0,17.0,0.0,5800.0,0
40.0,36.5,3.5,5700.0,0
40.5,31.5,9.0,4100.0,0
21.0,14.5,6.5,4100.0,0
28.0,27.5,0.5,4100.0,0
30.0,25.0,5.0,3500.0,0
10.0,10.0,0.0,3500.0,0
16.0,14.0,2.0,3500.0,0
18.0,14.5,3.5,2200.0,0
17.5,15.5,2.0,2400.0,0
13.5,13.0,0.5,2100.0,0
14.0,14.0,0.0,2100.0,0
20.5,20.5,0.0,3200.0,0
37.5,32.0,5.5,3200.0,0
12.0,12.0,0.0,3200.0,0
21.0,17.5,3.5,3200.0,0
12.5,11.5,1.0,3200.0,0
30.5,24.0,6.5,3200.0,0
29.5,21.5,8.0,3200.0,0
12.5,11.5,1.0,3200.0,0
21.5,18.0,3.5,3200.0,0
33.5,28.5,5.0,2600.0,0
17.0,17.0,0.0,2200.0,0
32.5,25.0,7.5,2000.0,0
29.5,16.5,13.0,1600.0,0
15.5,10.0,5.5,2200.0,0
