RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,170.0,0
5.5,0.0,5.5,220.0,0
8.5,0.0,8.5,240.0,0
18.0,0.0,18.0,320.0,0
24.0,0.0,24.0,340.0,0
17.0,0.0,17.0,430.0,0
14.0,4.0,10.0,1200.0,0
20.5,20.5,0.0,1700.0,0
30.0,30.0,0.0,2300.0,0
42.0,42.0,0.0,2300.0,0
45.5,45.5,0.0,2200.0,0
52.0,52.0,0.0,2200.0,0
54.0,54.0,0.0,2200.0,0
52.0,52.0,0.0,2300.0,0
66.5,66.5,0.0,2200.0,0
60.5,60.5,0.0,2300.0,0
59.0,59.0,0.0,2300.0,0
59.5,59.5,0.0,2300.0,0
57.5,57.5,0.0,2300.0,0
65.0,65.0,0.0,2300.0,0
66.5,66.5,0.0,2400.0,0
71.5,71.5,0.0,2300.0,0
72.5,72.5,0.0,2400.0,0
78.0,78.0,0.0,2400.0,0
81.5,81.5,0.0,2300.0,0
176.0,176.0,0.0,2300.0,0
232.5,232.5,0.0,280.0,0
181.0,181.0,0.0,600.0,0
173.0,173.0,0.0,840.0,0
178.0,178.0,0.0,890.0,0
161.5,161.5,0.0,1200.0,0
87.0,87.0,0.0,2300.0,0
86.0,86.0,0.0,2500.0,0
121.5,121.5,0.0,2500.0,0
124.0,124.0,0.0,2400.0,0
127.0,127.0,0.0,2400.0,0
120.0,120.0,0.0,2400.0,0
212.5,212.5,0.0,2300.0,0
370.5,370.5,0.0,530.0,0
291.0,291.0,0.0,490.0,0
263.0,263.0,0.0,440.0,0
273.0,273.0,0.0,470.0,0
288.0,288.0,0.0,530.0,0
265.0,265.0,0.0,520.0,0
281.0,281.0,0.0,530.0,0
308.0,308.0,0.0,520.0,0
313.0,313.0,0.0,560.0,0
306.0,306.0,0.0,490.0,0
323.5,323.5,0.0,460.0,0
330.5,330.5,0.0,550.0,0
333.5,333.5,0.0,570.0,0
344.0,344.0,0.0,570.0,0
87.5,87.5,0.0,1800.0,0
114.5,114.5,0.0,2600.0,0
180.0,180.0,0.0,2600.0,0
362.0,362.0,0.0,1900.0,0
464.0,464.0,0.0,1200.0,0
340.5,340.5,0.0,1400.0,0
417.5,417.5,0.0,1600.0,0
386.0,386.0,0.0,2300.0,0
315.0,315.0,0.0,2100.0,0
340.0,340.0,0.0,2200.0,0
367.5,367.5,0.0,2200.0,0
404.5,404.5,0.0,2200.0,0
371.5,371.5,0.0,1700.0,0
323.0,323.0,0.0,2200.0,0
409.5,409.5,0.0,2300.0,0
352.0,352.0,0.0,2200.0,0
330.0,330.0,0.0,2200.0,0
406.0,406.0,0.0,2200.0,0
439.0,439.0,0.0,2200.0,0
391.0,391.0,0.0,1700.0,0
379.5,379.5,0.0,2200.0,0
370.5,370.5,0.0,2200.0,0
385.5,385.5,0.0,2300.0,0
445.0,445.0,0.0,2300.0,0
406.0,406.0,0.0,2100.0,0
388.5,388.5,0.0,2100.0,0
379.5,379.5,0.0,2200.0,0
352.0,352.0,0.0,2300.0,0
332.5,331.5,1.0,2400.0,0
282.0,277.0,5.0,3200.0,0
160.5,155.0,5.5,3900.0,0
340.5,340.5,0.0,3400.0,0
443.5,443.5,0.0,1300.0,0
440.5,440.5,0.0,2300.0,0
368.5,368.5,0.0,2200.0,0
300.0,300.0,0.0,2300.0,0
329.5,329.5,0.0,2200.0,0
364.5,364.5,0.0,2200.0,0
368.0,368.0,0.0,2200.0,0
329.5,329.5,0.0,2200.0,0
315.5,315.5,0.0,2300.0,0
443.0,443.0,0.0,2200.0,0
352.0,352.0,0.0,2200.0,0
332.0,332.0,0.0,2300.0,0
362.0,362.0,0.0,2200.0,0
367.0,367.0,0.0,2200.0,0
336.0,336.0,0.0,2300.0,0
354.0,354.0,0.0,2200.0,0
343.5,343.5,0.0,2300.0,0
354.0,354.0,0.0,2300.0,0
341.5,341.5,0.0,2300.0,0
363.5,363.5,0.0,2200.0,0
386.0,386.0,0.0,2200.0,0
343.5,343.5,0.0,2300.0,0
375.0,375.0,0.0,2200.0,0
371.5,371.5,0.0,2300.0,0
359.5,359.5,0.0,2200.0,0
312.0,312.0,0.0,2300.0,0
407.5,407.5,0.0,2200.0,0
370.5,370.5,0.0,2200.0,0
312.0,312.0,0.0,2300.0,0
432.5,432.5,0.0,2200.0,0
398.0,398.0,0.0,2200.0,0
346.5,346.5,0.0,2200.0,0
355.0,355.0,0.0,2300.0,0
411.5,411.5,0.0,2200.0,0
360.5,360.5,0.0,2200.0,0
340.5,340.5,0.0,2300.0,0
374.0,374.0,0.0,2300.0,0
372.5,372.5,0.0,2400.0,0
318.0,318.0,0.0,2200.0,0
375.0,375.0,0.0,2400.0,0
428.0,428.0,0.0,2100.0,0
393.5,393.5,0.0,2200.0,0
341.0,341.0,0.0,2300.0,0
266.0,266.0,0.0,2200.0,0
161.5,161.5,0.0,3400.0,0
434.0,434.0,0.0,3000.0,0
530.5,530.5,0.0,1200.0,0
350.0,350.0,0.0,2100.0,0
328.0,328.0,0.0,2200.0,0
373.0,373.0,0.0,2400.0,0
360.0,360.0,0.0,2300.0,0
337.0,337.0,0.0,2200.0,0
397.5,397.5,0.0,2300.0,0
388.5,388.5,0.0,2200.0,0
319.0,319.0,0.0,2300.0,0
351.0,351.0,0.0,2400.0,0
352.5,352.5,0.0,2400.0,0
368.0,368.0,0.0,2200.0,0
331.0,331.0,0.0,2200.0,0
370.0,370.0,0.0,2200.0,0
363.5,363.5,0.0,2300.0,0
363.5,363.5,0.0,2300.0,0
393.5,393.5,0.0,2200.0,0
358.5,358.5,0.0,2300.0,0
284.0,284.0,0.0,2300.0,0
336.0,336.0,0.0,2200.0,0
362.5,362.5,0.0,2200.0,0
369.5,369.5,0.0,2200.0,0
366.5,366.5,0.0,2200.0,0
372.0,372.0,0.0,2300.0,0
347.0,347.0,0.0,2200.0,0
349.5,349.5,0.0,2200.0,0
380.0,380.0,0.0,2200.0,0
381.5,381.5,0.0,2200.0,0
380.0,380.0,0.0,2200.0,0
404.0,404.0,0.0,2200.0,0
416.0,416.0,0.0,2200.0,0
316.5,316.5,0.0,2200.0,0
340.5,340.5,0.0,2200.0,0
404.5,404.5,0.0,2200.0,0
430.0,430.0,0.0,2200.0,0
377.0,377.0,0.0,2400.0,0
286.0,286.0,0.0,2200.0,0
320.0,320.0,0.0,2200.0,0
364.0,364.0,0.0,2200.0,0
349.0,349.0,0.0,2200.0,0
342.5,342.5,0.0,2200.0,0
361.5,361.5,0.0,2200.0,0
350.5,350.5,0.0,2200.0,0
333.0,333.0,0.0,2300.0,0
372.0,372.0,0.0,2200.0,0
416.5,416.5,0.0,2200.0,0
311.5,311.5,0.0,2200.0,0
332.5,332.5,0.0,2200.0,0
370.5,370.5,0.0,2200.0,0
313.0,313.0,0.0,2300.0,0
308.0,308.0,0.0,2200.0,0
354.0,354.0,0.0,2200.0,0
390.0,390.0,0.0,2200.0,0
347.0,347.0,0.0,2300.0,0
379.0,379.0,0.0,2400.0,0
414.5,414.5,0.0,2200.0,0
320.5,320.5,0.0,2300.0,0
337.0,337.0,0.0,2200.0,0
421.0,421.0,0.0,2200.0,0
420.0,420.0,0.0,2200.0,0
398.0,398.0,0.0,2100.0,0
426.5,426.5,0.0,1800.0,0
347.5,347.5,0.0,2200.0,0
372.0,372.0,0.0,2200.0,0
376.5,376.5,0.0,2100.0,0
402.0,402.0,0.0,2200.0,0
397.0,397.0,0.0,2200.0,0
350.5,350.5,0.0,2200.0,0
366.5,366.5,0.0,2200.0,0
390.5,390.5,0.0,2300.0,0
381.0,381.0,0.0,2200.0,0
377.0,377.0,0.0,2300.0,0
359.5,359.5,0.0,2200.0,0
366.5,366.5,0.0,2200.0,0
358.0,358.0,0.0,2300.0,0
392.0,392.0,0.0,2300.0,0
343.5,343.5,0.0,2200.0,0
328.5,328.5,0.0,2200.0,0
145.5,145.5,0.0,4300.0,0
313.5,313.5,0.0,3800.0,0
481.0,481.0,0.0,1300.0,0
403.5,403.5,0.0,1300.0,0
371.0,371.0,0.0,2200.0,0
336.0,336.0,0.0,2200.0,0
382.5,382.5,0.0,2200.0,0
379.5,379.5,0.0,2200.0,0
382.5,382.5,0.0,2300.0,0
387.5,387.5,0.0,2200.0,0
424.0,424.0,0.0,2200.0,0
414.0,414.0,0.0,2100.0,0
381.5,381.5,0.0,2100.0,0
364.0,364.0,0.0,2200.0,0
374.5,374.5,0.0,2200.0,0
378.5,378.5,0.0,2300.0,0
382.5,382.5,0.0,2200.0,0
375.5,375.5,0.0,2200.0,0
323.0,323.0,0.0,2200.0,0
350.5,350.5,0.0,2200.0,0
369.0,369.0,0.0,2200.0,0
365.0,365.0,0.0,2300.0,0
341.0,341.0,0.0,2200.0,0
393.5,393.5,0.0,2300.0,0
392.0,392.0,0.0,2200.0,0
325.5,325.5,0.0,2200.0,0
335.5,335.5,0.0,2200.0,0
375.5,375.5,0.0,2200.0,0
373.5,373.5,0.0,2200.0,0
321.5,321.5,0.0,2300.0,0
356.0,356.0,0.0,2200.0,0
369.5,369.5,0.0,2200.0,0
336.0,336.0,0.0,2300.0,0
348.0,348.0,0.0,2300.0,0
379.5,379.5,0.0,2200.0,0
397.0,397.0,0.0,2200.0,0
370.5,370.5,0.0,2200.0,0
356.5,356.5,0.0,2300.0,0
387.0,387.0,0.0,2400.0,0
364.5,364.5,0.0,2400.0,0
330.5,330.5,0.0,2300.0,0
363.0,363.0,0.0,2200.0,0
387.5,387.5,0.0,2200.0,0
359.0,359.0,0.0,2200.0,0
