timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-21T22:32:25Z,frontend,0,27860992,1
2026-09-21T22:32:25Z,cartservice,5,88416256,1
2026-09-21T22:32:25Z,checkoutservice,4,16814080,1
2026-09-21T22:32:25Z,productcatalogservice,4,20979712,1
2026-09-21T22:32:25Z,paymentservice,4,22159360,1
2026-09-21T22:32:25Z,recommendationservice,10,59506688,1
2026-09-21T22:32:25Z,shippingservice,6,45129728,1
2026-09-21T22:32:25Z,currencyservice,4,83681280,1
2026-09-21T22:32:25Z,emailservice,9,91680768,1
2026-09-21T22:32:25Z,adservice,24,271007744,1
2026-09-21T22:32:25Z,redis-cart,7,32391168,1
2026-09-21T22:32:25Z,__master_node__,2930,2687627264,1
2026-09-21T22:32:30Z,frontend,0,27860992,1
2026-09-21T22:32:30Z,cartservice,5,88342528,1
2026-09-21T22:32:30Z,checkoutservice,4,16814080,1
2026-09-21T22:32:30Z,productcatalogservice,4,20979712,1
2026-09-21T22:32:30Z,paymentservice,5,22159360,1
2026-09-21T22:32:30Z,recommendationservice,9,59506688,1
2026-09-21T22:32:30Z,shippingservice,7,45137920,1
2026-09-21T22:32:30Z,currencyservice,4,83705856,1
2026-09-21T22:32:30Z,emailservice,10,91680768,1
2026-09-21T22:32:30Z,adservice,28,271007744,1
2026-09-21T22:32:30Z,redis-cart,7,32391168,1
2026-09-21T22:32:30Z,__master_node__,1101,2689142784,1
2026-09-21T22:32:35Z,frontend,0,27860992,1
2026-09-21T22:32:35Z,cartservice,5,88367104,1
2026-09-21T22:32:35Z,checkoutservice,4,16846848,1
2026-09-21T22:32:35Z,productcatalogservice,4,20983808,1
2026-09-21T22:32:35Z,paymentservice,5,22233088,1
2026-09-21T22:32:35Z,recommendationservice,9,59506688,1
2026-09-21T22:32:35Z,shippingservice,7,45137920,1
2026-09-21T22:32:35Z,currencyservice,4,83705856,1
2026-09-21T22:32:35Z,emailservice,10,91680768,1
2026-09-21T22:32:35Z,adservice,28,271007744,1
2026-09-21T22:32:35Z,redis-cart,7,32391168,1
2026-09-21T22:32:35Z,__master_node__,1101,2689142784,1
2026-09-21T22:32:40Z,frontend,0,27860992,1
2026-09-21T22:32:40Z,cartservice,5,88371200,1
2026-09-21T22:32:40Z,checkoutservice,4,16846848,1
2026-09-21T22:32:40Z,productcatalogservice,4,20983808,1
2026-09-21T22:32:40Z,paymentservice,4,22233088,1
2026-09-21T22:32:40Z,recommendationservice,10,59506688,1
2026-09-21T22:32:40Z,shippingservice,6,45146112,1
2026-09-21T22:32:40Z,currencyservice,4,83734528,1
2026-09-21T22:32:40Z,emailservice,9,91680768,1
2026-09-21T22:32:40Z,adservice,27,271007744,1
2026-09-21T22:32:40Z,redis-cart,7,32391168,1
2026-09-21T22:32:40Z,__master_node__,1070,2708840448,1
2026-09-21T22:32:45Z,frontend,0,27860992,1
2026-09-21T22:32:45Z,cartservice,5,88371200,1
2026-09-21T22:32:45Z,checkoutservice,4,16846848,1
2026-09-21T22:32:45Z,productcatalogservice,4,20983808,1
2026-09-21T22:32:45Z,paymentservice,4,22249472,1
2026-09-21T22:32:45Z,recommendationservice,10,59506688,1
2026-09-21T22:32:45Z,shippingservice,6,45146112,1
2026-09-21T22:32:45Z,currencyservice,4,83734528,1
2026-09-21T22:32:45Z,emailservice,9,91680768,1
2026-09-21T22:32:45Z,adservice,27,271007744,1
2026-09-21T22:32:45Z,redis-cart,7,32391168,1
2026-09-21T22:32:45Z,__master_node__,1070,2708840448,1
2026-09-21T22:32:50Z,frontend,0,27860992,1
2026-09-21T22:32:50Z,cartservice,5,88375296,1
2026-09-21T22:32:50Z,checkoutservice,4,16846848,1
2026-09-21T22:32:50Z,productcatalogservice,4,20983808,1
2026-09-21T22:32:50Z,paymentservice,5,22249472,1
2026-09-21T22:32:50Z,recommendationservice,9,59506688,1
2026-09-21T22:32:50Z,shippingservice,6,45150208,1
2026-09-21T22:32:50Z,currencyservice,4,83763200,1
2026-09-21T22:32:50Z,emailservice,10,91680768,1
2026-09-21T22:32:50Z,adservice,22,271007744,1
2026-09-21T22:32:50Z,redis-cart,7,32391168,1
2026-09-21T22:32:50Z,__master_node__,4502,2728067072,1
2026-09-21T22:32:55Z,frontend,0,27860992,1
2026-09-21T22:32:55Z,cartservice,5,88375296,1
