RPS,Fail,Goodput,Latency95,Latency99
429.5,423.0,6.5,899.8,0.0
458.5,451.5,7.0,942.8,0.0
441.0,433.5,7.5,963.2,0.0
494.0,484.0,10.0,637.2,0.0
438.5,427.5,11.0,1010.8,0.0
454.0,445.5,8.5,904.4,0.0
498.5,490.5,8.0,724.2,0.0
433.5,425.0,8.5,764.6,0.0
424.0,417.0,7.0,1100.2,0.0
484.0,474.0,10.0,1140.2,0.0
451.5,443.0,8.5,842.2,0.0
515.5,504.5,11.0,825.6,0.0
462.0,454.0,8.0,722.4,0.0
439.5,431.5,8.0,902.8,0.0
475.5,467.5,8.0,744.4,0.0
482.0,474.5,7.5,821.6,0.0
479.5,471.0,8.5,1148.8,0.0
441.0,433.5,7.5,969.6,0.0
431.5,423.5,8.0,978.4,0.0
437.0,430.5,6.5,902.2,0.0
427.0,419.0,8.0,896.8,0.0
468.5,459.5,9.0,796.2,0.0
433.0,426.0,7.0,960.8,0.0
416.0,410.5,5.5,1025.6,0.0
463.0,456.0,7.0,1036.4,0.0
481.5,473.5,8.0,1103.6,0.0
423.0,413.0,10.0,782.2,0.0
438.0,430.0,8.0,787.0,0.0
457.5,450.5,7.0,1054.6,0.0
449.5,440.5,9.0,605.6,0.0
450.0,442.0,8.0,1147.2,0.0
446.0,438.5,7.5,891.2,0.0
311.5,295.5,16.0,885.2,0.0
198.0,182.5,15.5,1208.0,0.0
514.0,503.5,10.5,762.2,0.0
515.0,504.0,11.0,545.0,0.0
412.0,403.0,9.0,715.4,0.0
495.0,486.0,9.0,1020.8,0.0
472.0,463.5,8.5,942.6,0.0
411.5,404.5,7.0,1120.0,0.0
435.0,429.5,5.5,1040.4,0.0
441.5,433.5,8.0,970.2,0.0
474.0,469.5,4.5,850.8,0.0
518.0,508.5,9.5,902.4,0.0
420.0,411.5,8.5,817.2,0.0
424.0,417.0,7.0,927.2,0.0
488.5,479.5,9.0,841.6,0.0
487.5,479.5,8.0,814.8,0.0
426.0,420.0,6.0,910.8,0.0
492.5,485.5,7.0,833.2,0.0
440.5,431.5,9.0,949.6,0.0
431.0,420.5,10.5,1163.4,0.0
468.5,459.0,9.5,1032.0,0.0
430.5,423.5,7.0,769.8,0.0
371.5,365.5,6.0,1002.2,0.0
457.5,450.5,7.0,926.8,0.0
524.5,515.5,9.0,827.8,0.0
421.5,414.5,7.0,953.2,0.0
452.0,447.5,4.5,797.2,0.0
478.5,468.5,10.0,981.6,0.0
455.5,446.5,9.0,801.8,0.0
481.0,472.5,8.5,796.6,0.0
445.0,437.0,8.0,789.0,0.0
438.5,431.0,7.5,961.6,0.0
454.5,448.0,6.5,1098.0,0.0
472.0,464.5,7.5,1037.6,0.0
466.5,461.0,5.5,1107.6,0.0
472.0,457.0,15.0,820.6,0.0
509.0,499.5,9.5,630.0,0.0
479.0,471.0,8.0,630.0,0.0
423.5,413.5,10.0,802.8,0.0
464.0,457.5,6.5,799.8,0.0
484.0,478.0,6.0,763.4,0.0
443.0,435.0,8.0,824.4,0.0
493.0,484.0,9.0,914.6,0.0
466.0,461.5,4.5,953.6,0.0
425.0,420.0,5.0,1233.0,0.0
440.5,432.0,8.5,1104.2,0.0
501.5,493.5,8.0,837.0,0.0
502.5,494.0,8.5,632.6,0.0
409.5,403.0,6.5,865.0,0.0
499.5,493.5,6.0,705.2,0.0
477.5,467.5,10.0,640.8,0.0
456.0,448.5,7.5,852.6,0.0
490.5,481.5,9.0,1043.8,0.0
463.5,453.5,10.0,828.0,0.0
442.5,433.0,9.5,687.4,0.0
463.5,453.0,10.5,612.6,0.0
446.5,440.5,6.0,926.6,0.0
421.0,411.5,9.5,777.0,0.0
505.0,497.0,8.0,803.0,0.0
455.5,445.5,10.0,705.8,0.0
426.5,417.5,9.0,1135.6,0.0
494.0,487.0,7.0,1136.2,0.0
464.5,457.0,7.5,1018.4,0.0
435.5,429.5,6.0,1017.4,0.0
461.5,457.0,4.5,917.4,0.0
453.5,445.0,8.5,1034.8,0.0
483.5,476.5,7.0,1034.0,0.0
461.0,454.0,7.0,850.0,0.0
423.5,413.0,10.5,1220.4,0.0
468.5,461.0,7.5,1030.4,0.0
502.5,495.5,7.0,933.2,0.0
437.0,429.5,7.5,824.4,0.0
467.5,461.0,6.5,886.4,0.0
487.5,477.5,10.0,905.6,0.0
422.5,413.0,9.5,1024.6,0.0
424.5,420.0,4.5,1042.6,0.0
475.0,468.5,6.5,833.0,0.0
455.0,447.5,7.5,839.0,0.0
450.0,442.0,8.0,949.0,0.0
517.5,507.5,10.0,712.8,0.0
452.0,441.5,10.5,610.2,0.0
402.0,396.0,6.0,1178.8,0.0
453.0,446.5,6.5,1304.6,0.0
484.0,478.0,6.0,844.2,0.0
451.5,444.0,7.5,721.6,0.0
482.0,472.5,9.5,652.2,0.0
404.5,395.5,9.0,718.0,0.0
437.5,430.0,7.5,796.6,0.0
489.5,479.0,10.5,729.4,0.0
415.5,406.5,9.0,814.2,0.0
428.5,422.0,6.5,1066.6,0.0
499.5,494.5,5.0,1078.2,0.0
486.0,478.5,7.5,1267.6,0.0
450.5,441.0,9.5,748.2,0.0
466.0,457.0,9.0,880.0,0.0
431.5,427.5,4.0,883.0,0.0
445.5,439.0,6.5,1063.6,0.0
487.0,477.5,9.5,722.8,0.0
432.0,422.0,10.0,817.8,0.0
381.5,372.0,9.5,945.8,0.0
418.0,411.0,7.0,1036.2,0.0
438.5,430.5,8.0,1041.6,0.0
472.0,463.0,9.0,767.6,0.0
471.0,462.5,8.5,973.4,0.0
381.5,376.5,5.0,1016.4,0.0
418.0,411.5,6.5,943.2,0.0
547.5,539.5,8.0,942.2,0.0
455.0,448.0,7.0,916.0,0.0
392.0,385.5,6.5,937.4,0.0
422.5,416.5,6.0,853.8,0.0
441.5,433.5,8.0,1034.8,0.0
395.0,389.0,6.0,886.6,0.0
457.0,450.5,6.5,912.8,0.0
426.0,421.5,4.5,1018.8,0.0
374.5,368.0,6.5,987.2,0.0
396.0,389.5,6.5,1122.6,0.0
437.5,429.5,8.0,682.8,0.0
384.5,378.0,6.5,1228.6,0.0
404.0,399.0,5.0,907.2,0.0
437.5,432.0,5.5,1146.0,0.0
482.5,474.5,8.0,924.0,0.0
423.5,415.0,8.5,950.4,0.0
