RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1300.0,0
8.0,8.0,0.0,2300.0,0
102.0,102.0,0.0,2600.0,0
139.0,139.0,0.0,2700.0,0
175.0,175.0,0.0,2700.0,0
153.5,153.5,0.0,4000.0,0
230.0,230.0,0.0,4000.0,0
192.5,192.5,0.0,3700.0,0
243.5,243.5,0.0,3400.0,0
255.5,255.5,0.0,2400.0,0
223.0,223.0,0.0,3200.0,0
129.5,129.5,0.0,2300.0,0
222.0,222.0,0.0,2100.0,0
237.5,237.5,0.0,2200.0,0
245.0,245.0,0.0,2400.0,0
267.0,267.0,0.0,2400.0,0
229.5,229.5,0.0,2400.0,0
231.5,231.5,0.0,2300.0,0
231.5,231.5,0.0,2100.0,0
663.5,663.5,0.0,2100.0,0
455.0,455.0,0.0,20.0,0
28.0,28.0,0.0,1700.0,0
45.0,43.5,1.5,3100.0,0
232.5,231.0,1.5,3100.0,0
229.0,229.0,0.0,2700.0,0
244.0,243.5,0.5,2800.0,0
212.0,212.0,0.0,2700.0,0
152.0,152.0,0.0,2600.0,0
184.0,184.0,0.0,2700.0,0
240.0,240.0,0.0,2700.0,0
222.0,222.0,0.0,2700.0,0
167.0,166.0,1.0,2900.0,0
206.0,206.0,0.0,2900.0,0
186.5,186.5,0.0,3000.0,0
155.0,155.0,0.0,3000.0,0
221.5,221.5,0.0,3000.0,0
174.5,174.5,0.0,2600.0,0
203.0,203.0,0.0,2600.0,0
222.5,222.5,0.0,2700.0,0
199.0,199.0,0.0,2700.0,0
176.5,176.5,0.0,2500.0,0
230.0,229.5,0.5,2500.0,0
187.0,187.0,0.0,2900.0,0
207.0,207.0,0.0,2800.0,0
537.0,537.0,0.0,2500.0,0
674.5,674.5,0.0,1900.0,0
61.5,61.5,0.0,1200.0,0
62.0,62.0,0.0,2500.0,0
160.0,160.0,0.0,3100.0,0
209.0,209.0,0.0,4300.0,0
181.5,181.5,0.0,4300.0,0
200.5,200.5,0.0,4300.0,0
217.0,217.0,0.0,2600.0,0
239.5,238.0,1.5,2600.0,0
226.5,225.0,1.5,2700.0,0
211.0,211.0,0.0,2600.0,0
165.0,165.0,0.0,2700.0,0
220.0,220.0,0.0,2700.0,0
196.5,196.5,0.0,2400.0,0
236.0,236.0,0.0,2900.0,0
206.0,206.0,0.0,2800.0,0
182.5,182.5,0.0,2700.0,0
190.0,190.0,0.0,2600.0,0
179.5,179.5,0.0,2600.0,0
229.0,229.0,0.0,2800.0,0
209.5,209.5,0.0,2800.0,0
188.5,188.5,0.0,2700.0,0
225.5,223.5,2.0,2600.0,0
216.0,214.5,1.5,2600.0,0
381.0,381.0,0.0,2600.0,0
588.5,588.5,0.0,2000.0,0
394.0,393.0,1.0,510.0,0
123.0,122.0,1.0,2300.0,0
99.5,99.5,0.0,2900.0,0
220.0,220.0,0.0,2700.0,0
179.0,179.0,0.0,2600.0,0
232.0,232.0,0.0,2400.0,0
143.5,143.5,0.0,3100.0,0
218.5,218.5,0.0,3200.0,0
133.0,133.0,0.0,3200.0,0
231.0,231.0,0.0,2900.0,0
215.0,215.0,0.0,2900.0,0
164.0,164.0,0.0,2800.0,0
227.5,227.5,0.0,2800.0,0
166.0,166.0,0.0,2700.0,0
223.0,223.0,0.0,2400.0,0
170.5,170.5,0.0,2400.0,0
220.0,220.0,0.0,2500.0,0
198.5,198.5,0.0,2600.0,0
218.5,218.5,0.0,2600.0,0
172.0,172.0,0.0,2600.0,0
230.5,230.5,0.0,2500.0,0
191.5,191.5,0.0,2600.0,0
210.5,210.5,0.0,2600.0,0
233.5,233.5,0.0,2600.0,0
644.0,644.0,0.0,2500.0,0
240.0,240.0,0.0,2500.0,0
32.5,32.5,0.0,2500.0,0
130.5,130.5,0.0,3000.0,0
198.0,198.0,0.0,3600.0,0
168.0,168.0,0.0,3600.0,0
284.5,284.5,0.0,3600.0,0
119.0,118.0,1.0,2500.0,0
208.0,208.0,0.0,3000.0,0
230.0,230.0,0.0,2800.0,0
122.5,122.5,0.0,2700.0,0
212.5,212.5,0.0,3200.0,0
166.0,166.0,0.0,2600.0,0
237.0,237.0,0.0,2500.0,0
181.0,181.0,0.0,2500.0,0
223.5,220.5,3.0,2500.0,0
213.0,210.0,3.0,2700.0,0
218.0,218.0,0.0,3000.0,0
187.5,187.5,0.0,3000.0,0
223.5,222.5,1.0,2600.0,0
243.0,242.0,1.0,2500.0,0
163.5,163.0,0.5,2700.0,0
236.0,235.5,0.5,2700.0,0
148.0,148.0,0.0,2500.0,0
230.5,230.5,0.0,3000.0,0
584.0,584.0,0.0,2400.0,0
674.5,674.5,0.0,360.0,0
452.0,452.0,0.0,340.0,0
452.0,452.0,0.0,83.0,0
452.0,452.0,0.0,360.0,0
452.0,452.0,0.0,220.0,0
452.0,452.0,0.0,340.0,0
452.0,452.0,0.0,330.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,280.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,350.0,0
452.0,452.0,0.0,360.0,0
452.0,452.0,0.0,250.0,0
452.0,452.0,0.0,450.0,0
452.0,452.0,0.0,38.0,0
452.0,452.0,0.0,37.0,0
452.0,452.0,0.0,38.0,0
452.0,452.0,0.0,41.0,0
452.0,452.0,0.0,41.0,0
452.0,452.0,0.0,40.0,0
452.0,452.0,0.0,150.0,0
452.0,452.0,0.0,40.0,0
452.0,452.0,0.0,38.0,0
452.0,452.0,0.0,42.0,0
452.0,452.0,0.0,35.0,0
452.0,452.0,0.0,47.0,0
452.0,452.0,0.0,39.0,0
452.0,452.0,0.0,38.0,0
452.0,452.0,0.0,41.0,0
452.0,452.0,0.0,34.0,0
452.0,452.0,0.0,42.0,0
452.0,452.0,0.0,39.0,0
452.0,452.0,0.0,39.0,0
452.0,452.0,0.0,36.0,0
452.0,452.0,0.0,38.0,0
452.0,452.0,0.0,8.0,0
37.0,37.0,0.0,1700.0,0
212.0,212.0,0.0,2600.0,0
271.5,271.5,0.0,2600.0,0
149.0,149.0,0.0,2200.0,0
190.0,190.0,0.0,2200.0,0
203.5,203.5,0.0,2200.0,0
238.5,238.5,0.0,2200.0,0
180.0,180.0,0.0,2300.0,0
291.0,291.0,0.0,2200.0,0
181.0,181.0,0.0,2200.0,0
234.0,234.0,0.0,2100.0,0
214.5,214.5,0.0,2200.0,0
200.0,200.0,0.0,2200.0,0
207.0,207.0,0.0,2200.0,0
235.5,235.5,0.0,2200.0,0
231.5,231.5,0.0,2200.0,0
222.0,222.0,0.0,2200.0,0
228.0,228.0,0.0,2200.0,0
225.0,225.0,0.0,2200.0,0
230.0,230.0,0.0,2200.0,0
180.5,180.5,0.0,2200.0,0
207.5,207.5,0.0,2200.0,0
241.0,241.0,0.0,2200.0,0
244.5,244.5,0.0,2200.0,0
545.5,545.5,0.0,2200.0,0
672.5,672.5,0.0,380.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,270.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,340.0,0
452.0,452.0,0.0,340.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,300.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,250.0,0
452.0,452.0,0.0,250.0,0
452.0,452.0,0.0,200.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,380.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,270.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,290.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,250.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,280.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,150.0,0
452.0,452.0,0.0,210.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,280.0,0
452.0,452.0,0.0,280.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,270.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,300.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,250.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,250.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,260.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,160.0,0
187.0,185.5,1.5,1400.0,0
7.5,6.0,1.5,2600.0,0
191.0,191.0,0.0,3000.0,0
149.5,149.5,0.0,2900.0,0
207.0,207.0,0.0,3800.0,0
244.0,244.0,0.0,3800.0,0
274.5,274.5,0.0,3300.0,0
238.0,238.0,0.0,2100.0,0
225.5,225.5,0.0,2100.0,0
227.0,227.0,0.0,2200.0,0
197.5,197.5,0.0,2200.0,0
212.5,212.5,0.0,2200.0,0
229.5,229.5,0.0,2200.0,0
235.0,235.0,0.0,2100.0,0
230.5,230.5,0.0,2200.0,0
235.0,235.0,0.0,2200.0,0
230.0,230.0,0.0,2200.0,0
233.0,233.0,0.0,2200.0,0
183.5,183.5,0.0,2200.0,0
183.5,183.5,0.0,2200.0,0
205.0,205.0,0.0,2200.0,0
237.0,237.0,0.0,2200.0,0
596.0,596.0,0.0,2200.0,0
673.0,673.0,0.0,170.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,120.0,0
452.0,452.0,0.0,240.0,0
452.0,452.0,0.0,230.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,220.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,220.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,230.0,0
452.0,452.0,0.0,230.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,180.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,150.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,120.0,0
452.0,452.0,0.0,230.0,0
452.0,452.0,0.0,120.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,230.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,220.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,230.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,220.0,0
452.0,452.0,0.0,220.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,230.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,170.0,0
452.0,452.0,0.0,140.0,0
452.0,452.0,0.0,280.0,0
452.0,452.0,0.0,160.0,0
452.0,452.0,0.0,340.0,0
452.0,452.0,0.0,130.0,0
452.0,452.0,0.0,250.0,0
452.0,452.0,0.0,250.0,0
