RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,77.6,0.0
3.0,0.0,3.0,162.8,0.0
6.0,0.0,6.0,221.2,0.0
15.0,0.0,15.0,477.0,0.0
24.0,1.0,23.0,460.6,0.0
30.0,1.5,28.5,358.6,0.0
24.5,15.0,9.5,553.0,0.0
50.0,37.5,12.5,784.0,0.0
47.0,35.0,12.0,888.0,0.0
48.5,40.0,8.5,1087.0,0.0
53.5,48.5,5.0,1227.0,0.0
57.5,49.0,8.5,1028.6,0.0
74.0,65.5,8.5,1348.6,0.0
77.0,71.0,6.0,1368.8,0.0
61.0,55.0,6.0,1612.4,0.0
91.5,83.0,8.5,1186.8,0.0
90.5,82.5,8.0,1188.8,0.0
105.5,97.5,8.0,1348.0,0.0
112.5,103.0,9.5,1348.0,0.0
107.5,97.0,10.5,1329.2,0.0
107.0,97.0,10.0,1068.4,0.0
106.5,96.5,10.0,1409.8,0.0
223.0,215.5,7.5,1374.4,0.0
291.5,286.5,5.0,414.4,0.0
132.5,125.5,7.0,572.0,0.0
50.0,36.0,14.0,1047.4,0.0
140.5,128.5,12.0,1410.0,0.0
166.5,154.5,12.0,1392.0,0.0
151.5,138.5,13.0,1232.0,0.0
156.5,142.5,14.0,1351.0,0.0
156.5,142.5,14.0,1413.0,0.0
163.5,149.5,14.0,1393.0,0.0
175.5,161.5,14.0,1389.8,0.0
160.5,144.5,16.0,1411.4,0.0
172.0,156.0,16.0,1472.2,0.0
192.5,176.5,16.0,1492.2,0.0
188.0,172.0,16.0,1548.4,0.0
209.5,192.5,17.0,1388.4,0.0
219.0,201.0,18.0,1396.8,0.0
229.0,211.0,18.0,1434.8,0.0
222.5,207.5,15.0,1565.4,0.0
187.0,169.0,18.0,1527.6,0.0
214.0,190.5,23.5,1526.4,0.0
249.5,229.5,20.0,1507.6,0.0
254.5,234.5,20.0,1383.6,0.0
271.0,251.0,20.0,1403.2,0.0
262.0,242.0,20.0,1388.4,0.0
257.5,237.5,20.0,1372.4,0.0
282.0,262.0,20.0,1345.2,0.0
574.0,559.0,15.0,1305.2,0.0
493.5,483.5,10.0,529.0,0.0
733.0,723.0,10.0,20.8,0.0
184.5,169.0,15.5,576.2,0.0
120.0,92.5,27.5,1126.2,0.0
221.0,200.5,20.5,1401.4,0.0
253.5,233.0,20.5,1526.6,0.0
289.5,269.5,20.0,1386.6,0.0
281.5,261.5,20.0,1442.4,0.0
246.5,230.5,16.0,1562.4,0.0
253.5,237.5,16.0,1663.0,0.0
238.0,218.0,20.0,1483.4,0.0
276.5,256.5,20.0,1524.2,0.0
282.5,262.5,20.0,1323.2,0.0
261.0,240.0,21.0,1283.0,0.0
263.0,243.0,20.0,1358.8,0.0
257.0,237.0,20.0,1301.4,0.0
282.5,264.0,18.5,1403.4,0.0
238.0,218.0,20.0,1422.8,0.0
240.5,219.0,21.5,1563.2,0.0
240.5,220.5,20.0,1403.2,0.0
248.5,228.5,20.0,1467.6,0.0
287.5,267.5,20.0,1447.6,0.0
258.5,238.5,20.0,1446.8,0.0
258.5,238.5,20.0,1427.2,0.0
276.0,256.0,20.0,1387.8,0.0
262.5,242.5,20.0,1405.2,0.0
415.5,400.0,15.5,1343.4,0.0
586.5,576.0,10.5,1293.4,0.0
508.5,498.5,10.0,61.2,0.0
257.0,247.0,10.0,491.2,0.0
109.0,91.0,18.0,1308.2,0.0
162.5,144.0,18.5,1514.2,0.0
218.5,198.5,20.0,1587.0,0.0
255.0,234.5,20.5,1513.2,0.0
255.0,235.0,20.0,1383.2,0.0
268.0,248.0,20.0,1442.6,0.0
262.5,245.5,17.0,1523.4,0.0
245.0,232.0,13.0,1823.4,0.0
179.5,159.0,20.5,1547.8,0.0
204.5,184.5,20.0,1625.8,0.0
247.0,227.0,20.0,1525.4,0.0
266.5,246.5,20.0,1407.4,0.0
254.5,234.5,20.0,1367.4,0.0
213.5,193.5,20.0,1439.4,0.0
255.0,236.5,18.5,1548.0,0.0
248.5,228.5,20.0,1424.0,0.0
202.0,180.5,21.5,1524.6,0.0
219.5,199.5,20.0,1484.8,0.0
236.0,217.0,19.0,1480.2,0.0
243.5,222.5,21.0,1425.4,0.0
268.5,248.5,20.0,1467.4,0.0
235.5,215.5,20.0,1347.4,0.0
242.5,222.5,20.0,1343.4,0.0
272.5,252.5,20.0,1398.4,0.0
481.0,466.0,15.0,1173.2,0.0
605.5,595.5,10.0,1093.4,0.0
334.0,320.5,13.5,720.6,0.0
108.5,93.5,15.0,1504.6,0.0
