timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-22T08:18:55Z,frontend,445,84934656,3
2026-09-22T08:18:55Z,cartservice,112,102408192,1
2026-09-22T08:18:55Z,checkoutservice,4,23945216,1
2026-09-22T08:18:55Z,productcatalogservice,51,16523264,1
2026-09-22T08:18:55Z,paymentservice,5,37470208,1
2026-09-22T08:18:55Z,recommendationservice,370,70344704,1
2026-09-22T08:18:55Z,shippingservice,7,47431680,1
2026-09-22T08:18:55Z,currencyservice,140,86708224,1
2026-09-22T08:18:55Z,emailservice,10,94171136,1
2026-09-22T08:18:55Z,adservice,33,286171136,1
2026-09-22T08:18:55Z,redis-cart,13,32845824,1
2026-09-22T08:18:55Z,__master_node__,3875,2842206208,1
2026-09-22T08:19:00Z,frontend,445,86339584,3
2026-09-22T08:19:00Z,cartservice,112,102408192,1
2026-09-22T08:19:00Z,checkoutservice,4,23945216,1
2026-09-22T08:19:00Z,productcatalogservice,51,16162816,1
2026-09-22T08:19:00Z,paymentservice,5,37470208,1
2026-09-22T08:19:00Z,recommendationservice,370,70344704,1
2026-09-22T08:19:00Z,shippingservice,7,47464448,1
2026-09-22T08:19:00Z,currencyservice,140,86683648,1
2026-09-22T08:19:00Z,emailservice,10,94171136,1
2026-09-22T08:19:00Z,adservice,33,286171136,1
2026-09-22T08:19:00Z,redis-cart,13,32845824,1
2026-09-22T08:19:00Z,__master_node__,3875,2842206208,1
2026-09-22T08:19:05Z,frontend,468,84221952,3
2026-09-22T08:19:05Z,cartservice,100,102182912,1
2026-09-22T08:19:05Z,checkoutservice,5,23945216,1
2026-09-22T08:19:05Z,productcatalogservice,0,9408512,0
2026-09-22T08:19:05Z,paymentservice,4,37486592,1
2026-09-22T08:19:05Z,recommendationservice,380,70344704,1
2026-09-22T08:19:05Z,shippingservice,6,47468544,1
2026-09-22T08:19:05Z,currencyservice,143,86757376,1
2026-09-22T08:19:05Z,emailservice,10,94203904,1
2026-09-22T08:19:05Z,adservice,29,286171136,1
2026-09-22T08:19:05Z,redis-cart,13,32845824,1
2026-09-22T08:19:05Z,__master_node__,1921,2864791552,1
2026-09-22T08:19:10Z,frontend,468,76484608,3
2026-09-22T08:19:10Z,cartservice,100,102182912,1
2026-09-22T08:19:10Z,checkoutservice,5,23826432,1
2026-09-22T08:19:10Z,productcatalogservice,0,14479360,1
2026-09-22T08:19:10Z,paymentservice,4,37396480,1
2026-09-22T08:19:10Z,recommendationservice,380,70352896,1
2026-09-22T08:19:10Z,shippingservice,6,46374912,1
2026-09-22T08:19:10Z,currencyservice,143,86859776,1
2026-09-22T08:19:10Z,emailservice,10,94203904,1
2026-09-22T08:19:10Z,adservice,29,287457280,1
2026-09-22T08:19:10Z,redis-cart,13,32845824,1
2026-09-22T08:19:10Z,__master_node__,1921,2864791552,1
2026-09-22T08:19:15Z,frontend,952,73789440,3
2026-09-22T08:19:15Z,cartservice,216,101646336,1
2026-09-22T08:19:15Z,checkoutservice,112,23609344,1
2026-09-22T08:19:15Z,productcatalogservice,0,15581184,1
2026-09-22T08:19:15Z,paymentservice,10,37539840,1
2026-09-22T08:19:15Z,recommendationservice,535,70352896,1
2026-09-22T08:19:15Z,shippingservice,18,46084096,1
2026-09-22T08:19:15Z,currencyservice,230,86818816,1
2026-09-22T08:19:15Z,emailservice,18,94203904,1
2026-09-22T08:19:15Z,adservice,121,287457280,1
2026-09-22T08:19:15Z,redis-cart,20,32845824,1
2026-09-22T08:19:15Z,__master_node__,2048,2846330880,1
2026-09-22T08:19:20Z,frontend,952,76697600,3
2026-09-22T08:19:20Z,cartservice,216,100442112,1
2026-09-22T08:19:20Z,checkoutservice,112,24428544,1
2026-09-22T08:19:20Z,productcatalogservice,0,15601664,1
2026-09-22T08:19:20Z,paymentservice,10,37449728,1
2026-09-22T08:19:20Z,recommendationservice,535,70352896,1
2026-09-22T08:19:20Z,shippingservice,18,46366720,1
2026-09-22T08:19:20Z,currencyservice,230,86933504,1
2026-09-22T08:19:20Z,emailservice,18,94220288,1
2026-09-22T08:19:20Z,adservice,121,287457280,1
2026-09-22T08:19:20Z,redis-cart,20,32845824,1
2026-09-22T08:19:20Z,__master_node__,2048,2846330880,1
