RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,140.0,0
14.0,0.0,14.0,170.0,0
13.0,0.0,13.0,140.0,0
13.5,0.0,13.5,140.0,0
10.0,0.0,10.0,140.0,0
10.5,2.0,8.5,150.0,0
9.0,2.0,7.0,150.0,0
8.0,0.0,8.0,270.0,0
9.0,1.0,8.0,140.0,0
10.0,0.5,9.5,230.0,0
11.5,0.0,11.5,230.0,0
11.0,1.5,9.5,270.0,0
8.5,1.5,7.0,210.0,0
10.5,3.0,7.5,270.0,0
13.5,2.5,11.0,190.0,0
13.5,0.5,13.0,230.0,0
9.0,0.5,8.5,200.0,0
12.0,1.0,11.0,200.0,0
12.0,2.5,9.5,150.0,0
9.5,1.5,8.0,150.0,0
9.0,0.5,8.5,290.0,0
13.0,1.0,12.0,200.0,0
12.5,0.0,12.5,180.0,0
15.5,0.0,15.5,180.0,0
12.0,0.0,12.0,150.0,0
9.0,0.0,9.0,190.0,0
14.0,0.0,14.0,220.0,0
12.0,0.0,12.0,310.0,0
13.0,0.5,12.5,280.0,0
15.0,0.5,14.5,280.0,0
13.5,0.5,13.0,210.0,0
9.0,0.5,8.5,280.0,0
10.0,0.5,9.5,230.0,0
11.0,2.0,9.0,150.0,0
8.0,0.0,8.0,270.0,0
11.0,1.0,10.0,260.0,0
14.0,2.5,11.5,270.0,0
12.0,2.5,9.5,270.0,0
10.0,0.0,10.0,150.0,0
14.0,1.0,13.0,230.0,0
11.0,1.5,9.5,170.0,0
8.5,1.5,7.0,240.0,0
11.0,2.5,8.5,240.0,0
7.0,0.0,7.0,190.0,0
8.5,0.0,8.5,250.0,0
8.5,0.0,8.5,220.0,0
9.0,0.0,9.0,220.0,0
11.0,1.5,9.5,250.0,0
12.0,1.0,11.0,240.0,0
11.0,0.0,11.0,240.0,0
12.5,0.5,12.0,250.0,0
11.5,0.5,11.0,230.0,0
11.5,0.0,11.5,210.0,0
16.0,0.0,16.0,220.0,0
13.5,0.5,13.0,280.0,0
9.0,0.0,9.0,270.0,0
4.5,1.0,3.5,270.0,0
7.0,1.5,5.5,210.0,0
11.5,1.0,10.5,190.0,0
8.5,0.5,8.0,310.0,0
12.0,0.5,11.5,250.0,0
14.0,0.5,13.5,320.0,0
11.0,2.0,9.0,320.0,0
11.0,2.5,8.5,240.0,0
12.5,0.0,12.5,260.0,0
11.0,1.0,10.0,260.0,0
