RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,310.0,0
23.0,0.0,23.0,350.0,0
27.0,0.0,27.0,270.0,0
22.0,0.0,22.0,610.0,0
12.5,0.0,12.5,1400.0,0
20.0,20.0,0.0,1600.0,0
28.5,27.0,1.5,1500.0,0
18.5,17.0,1.5,1500.0,0
19.5,16.0,3.5,1800.0,0
20.5,16.5,4.0,1700.0,0
27.5,21.5,6.0,1400.0,0
25.5,22.0,3.5,1800.0,0
18.0,18.0,0.0,2000.0,0
26.5,22.0,4.5,1700.0,0
20.0,15.5,4.5,1700.0,0
18.0,16.5,1.5,1700.0,0
23.0,20.5,2.5,1900.0,0
18.0,11.0,7.0,1900.0,0
22.5,16.0,6.5,1900.0,0
20.5,15.0,5.5,2000.0,0
19.5,17.0,2.5,2100.0,0
20.0,17.5,2.5,2000.0,0
21.5,17.0,4.5,1600.0,0
19.5,13.5,6.0,2000.0,0
16.5,13.0,3.5,2000.0,0
23.0,17.5,5.5,2000.0,0
21.0,15.0,6.0,1900.0,0
20.0,18.5,1.5,1900.0,0
21.5,21.5,0.0,1700.0,0
27.0,27.0,0.0,1600.0,0
25.5,23.5,2.0,1500.0,0
22.0,20.0,2.0,1800.0,0
22.0,21.5,0.5,1400.0,0
24.0,20.0,4.0,1600.0,0
22.5,21.0,1.5,1700.0,0
21.5,21.0,0.5,1600.0,0
20.5,20.5,0.0,1900.0,0
18.5,18.5,0.0,1900.0,0
31.0,28.0,3.0,1100.0,0
23.5,16.5,7.0,1800.0,0
20.0,19.5,0.5,1800.0,0
22.5,22.0,0.5,1800.0,0
25.0,23.0,2.0,1800.0,0
20.5,20.5,0.0,2000.0,0
26.5,26.5,0.0,1800.0,0
23.0,23.0,0.0,2000.0,0
21.0,19.5,1.5,2000.0,0
20.0,18.5,1.5,1800.0,0
19.0,19.0,0.0,2400.0,0
23.0,21.0,2.0,1700.0,0
20.5,20.5,0.0,2300.0,0
18.0,17.0,1.0,2200.0,0
23.0,18.5,4.5,1800.0,0
25.0,23.0,2.0,2100.0,0
19.5,16.5,3.0,1900.0,0
21.0,19.0,2.0,2000.0,0
19.0,18.0,1.0,1900.0,0
25.5,24.0,1.5,1900.0,0
26.0,24.0,2.0,1700.0,0
22.0,19.5,2.5,1800.0,0
22.5,19.5,3.0,2000.0,0
18.0,17.0,1.0,2000.0,0
22.0,21.5,0.5,1500.0,0
21.0,21.0,0.0,1700.0,0
26.0,23.5,2.5,1500.0,0
22.5,19.0,3.5,1700.0,0
25.0,20.5,4.5,1500.0,0
26.5,23.0,3.5,1700.0,0
24.5,20.5,4.0,1800.0,0
21.5,16.5,5.0,1600.0,0
24.0,20.5,3.5,1600.0,0
26.5,22.0,4.5,1700.0,0
21.0,18.0,3.0,2000.0,0
20.0,20.0,0.0,1900.0,0
27.0,25.0,2.0,1600.0,0
19.5,16.5,3.0,2000.0,0
22.0,19.0,3.0,1900.0,0
23.5,21.0,2.5,2000.0,0
23.5,20.5,3.0,1700.0,0
19.5,18.5,1.0,2000.0,0
19.5,19.0,0.5,2000.0,0
23.0,19.0,4.0,1700.0,0
18.0,14.5,3.5,1900.0,0
21.0,17.5,3.5,1700.0,0
27.0,21.5,5.5,1700.0,0
22.0,17.0,5.0,1800.0,0
24.5,22.5,2.0,1900.0,0
19.5,17.0,2.5,1500.0,0
18.5,17.0,1.5,1900.0,0
21.5,19.5,2.0,1700.0,0
21.0,19.0,2.0,1500.0,0
23.0,17.0,6.0,1800.0,0
24.0,17.5,6.5,1500.0,0
16.5,15.5,1.0,2400.0,0
18.5,17.5,1.0,2200.0,0
19.0,19.0,0.0,2300.0,0
20.5,20.5,0.0,2200.0,0
22.0,21.5,0.5,2200.0,0
24.5,24.0,0.5,2200.0,0
21.0,18.0,3.0,2000.0,0
21.5,17.0,4.5,1900.0,0
19.0,16.0,3.0,1800.0,0
23.0,21.0,2.0,2400.0,0
26.0,23.5,2.5,1900.0,0
26.0,25.5,0.5,1900.0,0
23.5,22.5,1.0,1800.0,0
22.0,20.5,1.5,2000.0,0
24.5,22.5,2.0,1800.0,0
27.5,24.5,3.0,2200.0,0
26.5,20.5,6.0,2000.0,0
