RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,244.0,0.0
143.0,0.0,143.0,285.4,0.0
211.0,0.0,211.0,290.0,0.0
229.5,7.5,222.0,474.0,0.0
271.5,109.0,162.5,994.0,0.0
353.5,295.5,58.0,1054.0,0.0
397.5,372.5,25.0,994.0,0.0
410.0,383.0,27.0,994.0,0.0
330.5,301.0,29.5,1052.0,0.0
414.0,384.0,30.0,982.0,0.0
411.0,370.0,41.0,954.0,0.0
342.0,311.0,31.0,1116.0,0.0
412.5,388.5,24.0,1094.0,0.0
386.5,360.5,26.0,1036.0,0.0
391.0,353.0,38.0,1028.0,0.0
375.0,340.5,34.5,1036.0,0.0
392.5,358.0,34.5,1108.0,0.0
317.0,275.0,42.0,1098.0,0.0
367.5,339.5,28.0,1030.0,0.0
319.0,285.5,33.5,1270.0,0.0
386.5,358.0,28.5,1308.0,0.0
426.0,391.5,34.5,1058.0,0.0
352.5,314.0,38.5,996.0,0.0
428.0,360.5,67.5,1046.0,0.0
361.0,326.5,34.5,1120.0,0.0
370.5,337.0,33.5,1044.0,0.0
391.5,349.0,42.5,1030.0,0.0
392.0,352.5,39.5,1114.0,0.0
366.5,338.0,28.5,1046.0,0.0
383.5,355.5,28.0,1034.0,0.0
387.0,357.5,29.5,1006.0,0.0
345.0,318.5,26.5,1080.0,0.0
387.5,369.5,18.0,1012.0,0.0
371.0,340.0,31.0,980.0,0.0
397.0,366.5,30.5,986.0,0.0
401.5,371.0,30.5,1010.0,0.0
404.0,377.5,26.5,1072.0,0.0
369.5,350.0,19.5,1048.0,0.0
424.5,390.5,34.0,826.0,0.0
323.5,281.0,42.5,1272.0,0.0
372.5,353.0,19.5,1046.0,0.0
386.5,360.5,26.0,1050.0,0.0
353.0,323.5,29.5,1076.0,0.0
385.0,368.5,16.5,1122.0,0.0
332.5,314.0,18.5,1138.0,0.0
345.0,322.0,23.0,1122.0,0.0
333.5,306.0,27.5,1150.0,0.0
348.0,321.5,26.5,1118.0,0.0
359.0,333.0,26.0,1188.0,0.0
350.5,312.5,38.0,1078.0,0.0
