RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,510.0,0
46.0,0.0,46.0,800.0,0
114.0,0.0,114.0,960.0,0
150.0,0.0,150.0,860.0,0
148.5,17.5,131.0,1100.0,0
174.0,16.0,158.0,870.0,0
157.5,0.0,157.5,920.0,0
164.5,1.0,163.5,920.0,0
169.5,1.0,168.5,1000.0,0
136.0,10.5,125.5,1100.0,0
153.0,17.0,136.0,950.0,0
155.5,30.5,125.0,1200.0,0
146.5,53.5,93.0,1300.0,0
233.0,90.0,143.0,970.0,0
182.5,3.5,179.0,960.0,0
146.0,10.5,135.5,1200.0,0
155.5,52.0,103.5,1200.0,0
186.0,71.0,115.0,1300.0,0
187.5,61.0,126.5,1300.0,0
180.0,48.5,131.5,1300.0,0
194.5,49.0,145.5,1500.0,0
195.5,42.5,153.0,1300.0,0
142.5,39.0,103.5,1300.0,0
151.5,91.0,60.5,1700.0,0
201.5,129.5,72.0,1800.0,0
182.0,75.0,107.0,1600.0,0
160.5,102.5,58.0,1700.0,0
200.5,151.5,49.0,2000.0,0
184.5,122.0,62.5,1400.0,0
155.5,122.5,33.0,2000.0,0
168.0,111.0,57.0,1900.0,0
197.5,152.0,45.5,2000.0,0
182.0,121.5,60.5,1400.0,0
132.5,64.0,68.5,1900.0,0
203.0,165.0,38.0,1800.0,0
158.0,105.0,53.0,2000.0,0
206.5,142.5,64.0,1800.0,0
188.5,117.0,71.5,1800.0,0
212.0,138.0,74.0,2000.0,0
183.5,100.5,83.0,1600.0,0
211.0,110.0,101.0,1600.0,0
186.0,93.5,92.5,2000.0,0
190.5,113.5,77.0,1400.0,0
156.0,107.0,49.0,2100.0,0
195.5,153.5,42.0,2000.0,0
187.5,136.5,51.0,1800.0,0
204.0,144.0,60.0,2400.0,0
198.0,148.5,49.5,1800.0,0
197.5,144.5,53.0,1900.0,0
177.5,110.0,67.5,2000.0,0
179.0,136.0,43.0,1800.0,0
166.0,107.0,59.0,1800.0,0
182.0,128.5,53.5,2000.0,0
149.0,99.0,50.0,1800.0,0
195.0,147.0,48.0,1900.0,0
167.5,118.0,49.5,1700.0,0
172.5,105.0,67.5,1400.0,0
182.5,117.0,65.5,1900.0,0
189.0,122.0,67.0,1500.0,0
150.5,96.5,54.0,2100.0,0
221.0,103.0,118.0,1800.0,0
182.0,114.5,67.5,1900.0,0
173.0,116.5,56.5,1900.0,0
222.0,144.5,77.5,1900.0,0
157.0,99.0,58.0,1900.0,0
221.0,129.0,92.0,1400.0,0
174.5,71.5,103.0,1800.0,0
165.0,98.0,67.0,1700.0,0
205.0,136.5,68.5,1700.0,0
174.5,101.0,73.5,1500.0,0
174.0,127.5,46.5,1800.0,0
222.0,172.5,49.5,2000.0,0
186.0,114.0,72.0,2000.0,0
217.0,115.0,102.0,1500.0,0
161.0,91.0,70.0,1600.0,0
176.5,121.5,55.0,2100.0,0
214.5,120.5,94.0,1700.0,0
195.0,120.0,75.0,1800.0,0
219.0,154.0,65.0,1600.0,0
170.0,104.0,66.0,1700.0,0
173.5,130.0,43.5,1800.0,0
177.5,151.5,26.0,1800.0,0
182.5,152.5,30.0,1900.0,0
205.5,162.0,43.5,1900.0,0
204.0,151.0,53.0,1600.0,0
183.5,117.5,66.0,1900.0,0
176.0,147.5,28.5,1800.0,0
197.5,158.5,39.0,1700.0,0
201.5,129.0,72.5,1600.0,0
182.0,101.0,81.0,1600.0,0
194.5,114.5,80.0,1800.0,0
192.5,130.0,62.5,1800.0,0
178.0,138.0,40.0,1700.0,0
197.5,153.0,44.5,1700.0,0
202.0,142.5,59.5,1500.0,0
183.5,110.5,73.0,1600.0,0
186.5,116.5,70.0,1600.0,0
198.0,138.0,60.0,1600.0,0
184.5,124.0,60.5,1600.0,0
228.0,124.0,104.0,1600.0,0
173.5,139.5,34.0,1700.0,0
206.5,121.5,85.0,1600.0,0
179.0,69.0,110.0,1400.0,0
181.0,99.0,82.0,1600.0,0
180.5,117.5,63.0,1500.0,0
191.5,129.0,62.5,1500.0,0
182.5,92.0,90.5,1300.0,0
173.5,87.0,86.5,1400.0,0
185.5,111.5,74.0,1600.0,0
196.0,117.0,79.0,1700.0,0
171.0,101.5,69.5,1700.0,0
179.0,117.0,62.0,1700.0,0
197.5,115.5,82.0,1400.0,0
203.0,126.5,76.5,1600.0,0
203.5,119.0,84.5,1500.0,0
191.0,113.0,78.0,1400.0,0
186.0,128.0,58.0,1600.0,0
178.0,135.5,42.5,1600.0,0
182.5,145.0,37.5,1600.0,0
192.5,166.0,26.5,1600.0,0
195.0,163.5,31.5,1500.0,0
190.5,115.5,75.0,1500.0,0
181.5,103.0,78.5,1500.0,0
185.5,133.5,52.0,1700.0,0
189.5,140.0,49.5,1500.0,0
177.5,137.0,40.5,1600.0,0
189.0,162.0,27.0,1800.0,0
192.5,164.0,28.5,1800.0,0
194.5,162.0,32.5,1700.0,0
178.5,136.0,42.5,1800.0,0
186.5,137.5,49.0,1600.0,0
179.5,139.5,40.0,1700.0,0
189.0,133.0,56.0,1700.0,0
208.5,135.0,73.5,1600.0,0
186.0,119.0,67.0,1600.0,0
170.5,98.0,72.5,1600.0,0
189.0,128.5,60.5,1500.0,0
214.5,161.5,53.0,1800.0,0
175.5,148.5,27.0,1900.0,0
178.5,151.5,27.0,1900.0,0
193.5,135.5,58.0,1600.0,0
183.5,121.5,62.0,1600.0,0
185.5,125.5,60.0,1500.0,0
184.0,109.0,75.0,1500.0,0
200.5,137.5,63.0,1700.0,0
179.5,103.5,76.0,1400.0,0
184.0,108.5,75.5,1600.0,0
190.0,137.0,53.0,1600.0,0
196.5,156.0,40.5,1800.0,0
178.0,117.0,61.0,1500.0,0
190.0,125.0,65.0,1600.0,0
183.0,146.5,36.5,1700.0,0
178.5,160.0,18.5,1900.0,0
203.5,164.5,39.0,1600.0,0
197.5,162.0,35.5,1600.0,0
180.5,135.5,45.0,1600.0,0
173.5,103.0,70.5,1500.0,0
172.5,134.5,38.0,1600.0,0
189.5,133.5,56.0,1600.0,0
194.5,126.5,68.0,1600.0,0
186.0,130.0,56.0,1600.0,0
187.5,130.0,57.5,1700.0,0
196.0,138.0,58.0,1700.0,0
190.0,133.0,57.0,1500.0,0
178.5,98.5,80.0,1500.0,0
171.5,86.5,85.0,1500.0,0
205.0,127.5,77.5,1700.0,0
194.0,142.5,51.5,1700.0,0
182.0,112.0,70.0,1500.0,0
196.5,127.5,69.0,1500.0,0
188.0,142.0,46.0,1600.0,0
193.5,142.0,51.5,1500.0,0
175.5,131.0,44.5,1900.0,0
177.5,136.5,41.0,1900.0,0
193.0,142.5,50.5,1700.0,0
198.0,143.0,55.0,1700.0,0
197.5,130.0,67.5,1500.0,0
189.5,108.0,81.5,1500.0,0
179.0,128.0,51.0,1600.0,0
189.5,136.0,53.5,1500.0,0
193.0,154.0,39.0,1500.0,0
184.5,139.5,45.0,1800.0,0
177.0,129.0,48.0,1800.0,0
196.0,147.5,48.5,1700.0,0
196.0,153.5,42.5,1800.0,0
199.5,146.5,53.0,1800.0,0
182.0,120.5,61.5,1800.0,0
193.0,133.5,59.5,1600.0,0
197.0,139.5,57.5,1600.0,0
206.0,158.0,48.0,1700.0,0
200.0,152.0,48.0,1500.0,0
192.0,137.5,54.5,1600.0,0
165.5,115.0,50.5,1600.0,0
200.5,144.5,56.0,1600.0,0
191.5,120.0,71.5,1500.0,0
179.5,100.0,79.5,1600.0,0
178.5,106.5,72.0,1600.0,0
182.5,97.0,85.5,1700.0,0
179.5,117.5,62.0,1800.0,0
199.0,153.5,45.5,1800.0,0
194.0,148.0,46.0,1800.0,0
174.5,170.5,4.0,1700.0,0
200.0,170.0,30.0,1700.0,0
195.5,157.5,38.0,1600.0,0
177.5,126.0,51.5,1700.0,0
184.0,145.0,39.0,1800.0,0
186.5,161.0,25.5,1700.0,0
187.5,162.0,25.5,1900.0,0
199.5,163.0,36.5,1500.0,0
177.5,127.0,50.5,1600.0,0
191.0,154.5,36.5,1700.0,0
181.0,143.5,37.5,1600.0,0
187.0,145.5,41.5,1800.0,0
196.5,150.0,46.5,1800.0,0
180.5,122.0,58.5,1700.0,0
188.0,120.5,67.5,1700.0,0
186.5,123.0,63.5,1800.0,0
186.0,117.0,69.0,1700.0,0
192.5,114.0,78.5,1500.0,0
193.0,134.0,59.0,1700.0,0
181.0,118.5,62.5,1800.0,0
189.5,120.5,69.0,1800.0,0
195.0,123.0,72.0,1500.0,0
174.0,114.0,60.0,1600.0,0
138.5,103.5,35.0,2000.0,0
151.5,151.5,0.0,2500.0,0
171.0,171.0,0.0,2300.0,0
136.5,136.5,0.0,2400.0,0
148.5,148.5,0.0,2500.0,0
177.5,171.5,6.0,2300.0,0
175.0,164.0,11.0,2000.0,0
140.0,136.5,3.5,2100.0,0
142.0,142.0,0.0,2600.0,0
172.5,172.5,0.0,2600.0,0
161.0,161.0,0.0,2500.0,0
139.5,139.5,0.0,2600.0,0
137.5,137.5,0.0,2800.0,0
156.5,156.5,0.0,2600.0,0
152.5,152.0,0.5,2500.0,0
133.5,133.0,0.5,2500.0,0
173.5,169.5,4.0,2000.0,0
125.5,122.0,3.5,2200.0,0
151.5,151.5,0.0,2600.0,0
144.0,144.0,0.0,2500.0,0
119.5,119.5,0.0,2900.0,0
131.5,131.5,0.0,3100.0,0
150.5,150.5,0.0,3100.0,0
155.0,155.0,0.0,3100.0,0
106.0,106.0,0.0,3000.0,0
144.5,144.5,0.0,3600.0,0
110.0,110.0,0.0,3600.0,0
121.5,121.5,0.0,3400.0,0
135.5,135.5,0.0,3300.0,0
122.0,122.0,0.0,3900.0,0
107.0,107.0,0.0,3600.0,0
128.0,128.0,0.0,3600.0,0
113.5,113.5,0.0,3700.0,0
102.5,102.5,0.0,3700.0,0
144.5,144.5,0.0,3700.0,0
138.0,138.0,0.0,3800.0,0
89.5,89.5,0.0,3800.0,0
121.5,121.5,0.0,4100.0,0
137.0,137.0,0.0,4200.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,460.0,0
37.5,0.0,37.5,410.0,0
41.0,0.0,41.0,450.0,0
47.0,0.0,47.0,470.0,0
45.0,0.0,45.0,380.0,0
37.0,0.0,37.0,470.0,0
44.0,0.0,44.0,500.0,0
46.0,0.0,46.0,360.0,0
34.0,0.0,34.0,420.0,0
45.0,0.0,45.0,380.0,0
37.0,0.0,37.0,490.0,0
34.0,0.0,34.0,520.0,0
33.0,0.0,33.0,350.0,0
41.0,0.0,41.0,300.0,0
30.0,0.0,30.0,500.0,0
29.0,0.0,29.0,460.0,0
34.5,0.0,34.5,460.0,0
35.5,0.0,35.5,380.0,0
34.0,0.0,34.0,430.0,0
35.0,0.0,35.0,330.0,0
32.0,0.0,32.0,500.0,0
33.0,0.0,33.0,330.0,0
36.0,0.0,36.0,350.0,0
34.0,0.0,34.0,540.0,0
38.0,0.0,38.0,490.0,0
42.5,0.0,42.5,330.0,0
33.0,0.0,33.0,500.0,0
39.0,0.0,39.0,350.0,0
29.0,0.0,29.0,460.0,0
38.0,0.0,38.0,440.0,0
38.0,0.0,38.0,390.0,0
48.0,0.0,48.0,330.0,0
32.0,0.0,32.0,550.0,0
32.0,0.0,32.0,550.0,0
51.0,0.0,51.0,390.0,0
36.0,0.0,36.0,300.0,0
29.5,0.0,29.5,560.0,0
