RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,210.0,0
23.0,0.0,23.0,300.0,0
48.0,0.0,48.0,300.0,0
78.0,0.0,78.0,260.0,0
73.0,0.0,73.0,290.0,0
69.5,0.0,69.5,280.0,0
72.0,0.0,72.0,290.0,0
79.0,0.0,79.0,390.0,0
76.0,0.0,76.0,340.0,0
76.0,0.0,76.0,330.0,0
83.0,0.0,83.0,270.0,0
83.5,0.0,83.5,230.0,0
81.0,0.0,81.0,280.0,0
78.0,0.0,78.0,250.0,0
77.5,0.0,77.5,280.0,0
79.0,0.0,79.0,280.0,0
87.0,0.0,87.0,310.0,0
85.0,0.0,85.0,310.0,0
90.5,0.0,90.5,230.0,0
91.5,0.0,91.5,210.0,0
91.0,0.0,91.0,200.0,0
83.0,0.0,83.0,200.0,0
91.0,0.0,91.0,180.0,0
91.5,0.0,91.5,190.0,0
93.5,0.0,93.5,160.0,0
102.5,0.0,102.5,160.0,0
106.0,0.0,106.0,180.0,0
96.0,0.0,96.0,160.0,0
100.0,0.0,100.0,160.0,0
91.0,0.0,91.0,160.0,0
96.0,0.0,96.0,180.0,0
96.0,0.0,96.0,170.0,0
89.5,0.0,89.5,130.0,0
98.5,0.0,98.5,130.0,0
103.0,0.0,103.0,160.0,0
89.0,2.5,86.5,180.0,0
95.5,3.0,92.5,160.0,0
101.0,0.0,101.0,120.0,0
95.0,0.0,95.0,200.0,0
93.5,0.0,93.5,100.0,0
80.0,3.0,77.0,120.0,0
80.5,6.0,74.5,170.0,0
107.0,1.0,106.0,200.0,0
100.5,0.0,100.5,220.0,0
92.0,0.0,92.0,220.0,0
91.5,0.0,91.5,270.0,0
104.0,0.5,103.5,270.0,0
96.5,0.5,96.0,210.0,0
94.5,1.0,93.5,190.0,0
98.0,0.5,97.5,210.0,0
99.0,0.0,99.0,210.0,0
96.5,0.0,96.5,150.0,0
102.0,0.0,102.0,160.0,0
82.5,0.0,82.5,190.0,0
93.0,0.0,93.0,170.0,0
88.5,0.0,88.5,180.0,0
93.0,1.5,91.5,180.0,0
94.0,1.5,92.5,170.0,0
92.0,0.0,92.0,180.0,0
91.0,0.0,91.0,210.0,0
83.5,0.0,83.5,210.0,0
83.0,0.0,83.0,190.0,0
91.0,0.0,91.0,190.0,0
86.5,0.5,86.0,220.0,0
93.5,1.0,92.5,220.0,0
103.0,0.5,102.5,220.0,0
82.0,1.0,81.0,190.0,0
85.5,1.0,84.5,200.0,0
80.0,0.5,79.5,210.0,0
84.5,3.5,81.0,190.0,0
93.0,3.0,90.0,170.0,0
97.0,0.5,96.5,170.0,0
98.0,0.5,97.5,160.0,0
105.5,0.0,105.5,190.0,0
94.5,0.0,94.5,190.0,0
97.5,0.0,97.5,230.0,0
104.5,1.0,103.5,230.0,0
103.0,2.5,100.5,210.0,0
102.0,0.0,102.0,210.0,0
92.5,0.0,92.5,210.0,0
98.0,0.0,98.0,170.0,0
97.5,1.0,96.5,280.0,0
99.5,1.0,98.5,280.0,0
100.5,0.0,100.5,180.0,0
99.5,0.0,99.5,180.0,0
97.0,0.0,97.0,140.0,0
91.0,0.0,91.0,140.0,0
91.0,0.0,91.0,120.0,0
114.5,0.0,114.5,140.0,0
106.5,0.0,106.5,120.0,0
104.0,0.0,104.0,130.0,0
109.0,0.0,109.0,110.0,0
100.5,0.0,100.5,96.0,0
90.0,0.0,90.0,120.0,0
79.5,0.5,79.0,140.0,0
95.5,0.5,95.0,140.0,0
98.0,0.0,98.0,72.0,0
91.0,0.0,91.0,110.0,0
95.0,0.0,95.0,100.0,0
88.5,0.0,88.5,120.0,0
79.0,0.0,79.0,120.0,0
89.0,1.0,88.0,100.0,0
108.5,1.0,107.5,110.0,0
105.0,0.0,105.0,110.0,0
96.5,0.0,96.5,96.0,0
101.0,0.0,101.0,94.0,0
94.0,0.0,94.0,160.0,0
105.0,0.0,105.0,120.0,0
101.0,0.0,101.0,99.0,0
93.0,0.0,93.0,100.0,0
90.0,0.0,90.0,120.0,0
99.5,0.0,99.5,120.0,0
93.0,0.0,93.0,87.0,0
96.5,0.0,96.5,120.0,0
94.0,0.0,94.0,130.0,0
89.5,0.0,89.5,130.0,0
105.0,0.0,105.0,120.0,0
113.0,0.0,113.0,130.0,0
108.0,0.0,108.0,130.0,0
101.5,0.0,101.5,130.0,0
91.0,0.0,91.0,120.0,0
103.5,0.0,103.5,170.0,0
110.0,0.0,110.0,93.0,0
113.5,0.0,113.5,99.0,0
103.5,0.0,103.5,99.0,0
100.5,0.0,100.5,93.0,0
107.5,0.0,107.5,83.0,0
100.0,0.0,100.0,77.0,0
99.0,0.0,99.0,99.0,0
95.5,0.0,95.5,97.0,0
99.5,0.0,99.5,97.0,0
109.5,0.0,109.5,120.0,0
118.5,0.0,118.5,100.0,0
111.0,0.0,111.0,100.0,0
91.0,0.0,91.0,140.0,0
86.0,0.0,86.0,140.0,0
112.5,0.0,112.5,120.0,0
96.0,0.0,96.0,100.0,0
86.5,0.0,86.5,98.0,0
94.0,0.0,94.0,78.0,0
92.5,0.0,92.5,91.0,0
96.0,0.5,95.5,91.0,0
98.0,0.5,97.5,150.0,0
93.5,0.0,93.5,150.0,0
99.0,0.0,99.0,110.0,0
107.5,0.0,107.5,100.0,0
106.5,0.0,106.5,120.0,0
113.5,0.0,113.5,95.0,0
100.0,0.0,100.0,89.0,0
91.5,0.0,91.5,100.0,0
98.5,0.0,98.5,100.0,0
104.0,0.0,104.0,120.0,0
104.0,0.0,104.0,120.0,0
101.5,0.0,101.5,110.0,0
113.0,0.0,113.0,96.0,0
112.0,0.0,112.0,110.0,0
105.0,0.0,105.0,110.0,0
93.0,0.0,93.0,110.0,0
92.0,0.0,92.0,120.0,0
92.0,0.0,92.0,140.0,0
99.5,0.0,99.5,110.0,0
97.5,0.0,97.5,130.0,0
99.0,0.0,99.0,110.0,0
96.5,0.0,96.5,140.0,0
92.5,0.0,92.5,120.0,0
90.5,0.0,90.5,130.0,0
98.5,0.0,98.5,130.0,0
96.0,0.0,96.0,130.0,0
98.5,0.0,98.5,120.0,0
101.5,0.0,101.5,120.0,0
99.0,0.0,99.0,85.0,0
92.0,0.0,92.0,110.0,0
93.0,0.0,93.0,110.0,0
95.0,0.0,95.0,120.0,0
91.5,0.0,91.5,120.0,0
99.0,0.0,99.0,170.0,0
98.0,0.0,98.0,170.0,0
98.0,0.0,98.0,140.0,0
93.0,0.0,93.0,140.0,0
102.5,0.0,102.5,87.0,0
112.5,0.0,112.5,95.0,0
116.0,0.0,116.0,100.0,0
110.0,0.0,110.0,100.0,0
110.5,0.0,110.5,110.0,0
105.5,0.0,105.5,88.0,0
102.0,0.0,102.0,120.0,0
97.5,0.0,97.5,96.0,0
87.5,0.0,87.5,120.0,0
91.0,0.0,91.0,130.0,0
102.0,0.0,102.0,120.0,0
102.0,0.0,102.0,110.0,0
95.5,0.0,95.5,110.0,0
97.0,0.0,97.0,110.0,0
96.5,0.0,96.5,110.0,0
101.0,0.0,101.0,88.0,0
100.5,0.0,100.5,95.0,0
95.5,0.0,95.5,99.0,0
106.0,0.0,106.0,130.0,0
114.0,0.0,114.0,110.0,0
113.0,0.0,113.0,110.0,0
112.0,0.0,112.0,110.0,0
111.0,0.0,111.0,92.0,0
92.0,0.0,92.0,100.0,0
96.5,0.0,96.5,110.0,0
89.5,0.0,89.5,110.0,0
86.5,0.0,86.5,110.0,0
86.0,0.0,86.0,110.0,0
107.5,0.0,107.5,91.0,0
101.5,0.0,101.5,91.0,0
88.5,0.0,88.5,92.0,0
85.5,0.0,85.5,91.0,0
84.5,0.0,84.5,77.0,0
94.5,0.0,94.5,110.0,0
112.5,0.0,112.5,89.0,0
102.0,0.0,102.0,93.0,0
96.5,0.0,96.5,150.0,0
104.0,0.0,104.0,100.0,0
98.0,0.0,98.0,160.0,0
98.5,3.0,95.5,160.0,0
101.0,0.0,101.0,110.0,0
108.5,0.0,108.5,94.0,0
100.5,0.0,100.5,120.0,0
93.5,0.0,93.5,120.0,0
105.5,0.0,105.5,110.0,0
115.0,0.0,115.0,97.0,0
108.5,0.0,108.5,110.0,0
100.5,0.0,100.5,110.0,0
97.5,0.0,97.5,100.0,0
88.5,0.0,88.5,110.0,0
89.5,0.0,89.5,100.0,0
81.0,0.5,80.5,150.0,0
87.5,1.0,86.5,130.0,0
95.5,0.5,95.0,110.0,0
91.0,0.0,91.0,130.0,0
93.5,0.0,93.5,150.0,0
93.5,0.0,93.5,150.0,0
87.5,0.0,87.5,140.0,0
105.0,0.0,105.0,110.0,0
107.0,0.0,107.0,100.0,0
104.0,0.0,104.0,85.0,0
99.0,0.0,99.0,140.0,0
102.5,0.0,102.5,140.0,0
96.0,0.0,96.0,100.0,0
97.0,0.0,97.0,120.0,0
94.5,0.0,94.5,140.0,0
100.5,0.0,100.5,110.0,0
92.5,0.0,92.5,85.0,0
89.5,0.0,89.5,110.0,0
88.0,0.0,88.0,110.0,0
89.5,0.0,89.5,110.0,0
93.0,0.0,93.0,110.0,0
100.0,0.0,100.0,110.0,0
108.5,0.0,108.5,96.0,0
99.5,0.0,99.5,120.0,0
93.5,0.0,93.5,100.0,0
91.0,0.0,91.0,120.0,0
103.0,0.0,103.0,120.0,0
103.0,0.0,103.0,110.0,0
102.0,0.0,102.0,120.0,0
98.5,0.0,98.5,100.0,0
93.5,0.0,93.5,130.0,0
87.5,0.0,87.5,120.0,0
92.5,0.0,92.5,100.0,0
94.5,0.0,94.5,110.0,0
87.0,0.0,87.0,96.0,0
98.5,0.0,98.5,120.0,0
