RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,414.0,0.0
193.0,0.0,193.0,484.0,0.0
304.0,0.0,304.0,608.0,0.0
375.5,0.0,375.5,738.0,0.0
388.5,7.0,381.5,830.0,0.0
428.5,14.5,414.0,854.0,0.0
459.0,11.5,447.5,896.0,0.0
403.5,23.5,380.0,1140.0,0.0
430.0,34.5,395.5,958.0,0.0
412.0,42.0,370.0,962.0,0.0
431.0,70.0,361.0,1028.0,0.0
462.0,77.5,384.5,988.0,0.0
431.0,17.5,413.5,1058.0,0.0
467.5,25.0,442.5,1046.0,0.0
473.5,25.0,448.5,1044.0,0.0
458.0,17.5,440.5,1088.0,0.0
465.5,26.0,439.5,1090.0,0.0
456.0,62.0,394.0,1066.0,0.0
461.0,115.0,346.0,974.0,0.0
477.0,130.5,346.5,1140.0,0.0
507.0,90.5,416.5,1104.0,0.0
483.0,84.0,399.0,1024.0,0.0
489.0,151.0,338.0,1006.0,0.0
532.5,113.0,419.5,1050.0,0.0
534.0,31.5,502.5,1024.0,0.0
503.0,29.0,474.0,990.0,0.0
515.0,42.5,472.5,994.0,0.0
485.0,82.5,402.5,1106.0,0.0
517.0,170.5,346.5,1098.0,0.0
494.5,213.0,281.5,1124.0,0.0
531.0,238.5,292.5,1088.0,0.0
544.0,176.0,368.0,1120.0,0.0
474.5,241.5,233.0,1164.0,0.0
511.5,306.0,205.5,1186.0,0.0
525.0,300.5,224.5,1146.0,0.0
481.5,300.0,181.5,1290.0,0.0
540.0,308.0,232.0,1196.0,0.0
527.0,257.0,270.0,1140.0,0.0
516.5,266.5,250.0,1178.0,0.0
519.5,283.0,236.5,1156.0,0.0
466.5,292.5,174.0,1234.0,0.0
474.0,313.5,160.5,1288.0,0.0
537.0,304.5,232.5,1200.0,0.0
499.0,276.0,223.0,1218.0,0.0
477.5,252.0,225.5,1238.0,0.0
484.0,295.0,189.0,1330.0,0.0
548.5,328.5,220.0,1232.0,0.0
531.0,276.5,254.5,1180.0,0.0
544.0,308.5,235.5,1208.0,0.0
531.5,304.0,227.5,1300.0,0.0
564.0,296.0,268.0,1200.0,0.0
532.5,264.5,268.0,1184.0,0.0
490.5,286.0,204.5,1186.0,0.0
529.5,307.5,222.0,1202.0,0.0
553.0,311.5,241.5,1038.0,0.0
520.0,270.0,250.0,1166.0,0.0
541.0,297.5,243.5,1146.0,0.0
510.0,320.5,189.5,1240.0,0.0
521.0,312.0,209.0,1166.0,0.0
547.0,282.5,264.5,1258.0,0.0
501.5,266.5,235.0,1276.0,0.0
481.0,295.5,185.5,1192.0,0.0
496.5,309.0,187.5,1182.0,0.0
454.5,285.5,169.0,1308.0,0.0
491.5,322.0,169.5,1318.0,0.0
501.5,321.0,180.5,1252.0,0.0
490.0,323.5,166.5,1252.0,0.0
517.5,338.5,179.0,1212.0,0.0
446.0,283.0,163.0,1350.0,0.0
488.5,324.0,164.5,1262.0,0.0
491.5,317.5,174.0,1256.0,0.0
506.5,313.5,193.0,1276.0,0.0
521.0,316.5,204.5,1234.0,0.0
514.0,298.0,216.0,1222.0,0.0
512.0,310.0,202.0,1222.0,0.0
498.0,311.0,187.0,1230.0,0.0
484.0,290.0,194.0,1284.0,0.0
499.0,304.5,194.5,1318.0,0.0
545.0,279.5,265.5,1130.0,0.0
526.5,208.5,318.0,1150.0,0.0
495.5,253.5,242.0,1240.0,0.0
482.5,301.0,181.5,1282.0,0.0
542.0,289.0,253.0,1112.0,0.0
514.5,259.5,255.0,1184.0,0.0
508.5,316.0,192.5,1156.0,0.0
501.5,288.0,213.5,1314.0,0.0
503.0,302.5,200.5,1318.0,0.0
568.5,269.5,299.0,1174.0,0.0
553.0,157.5,395.5,872.0,0.0
537.5,154.0,383.5,1004.0,0.0
540.5,198.0,342.5,1026.0,0.0
537.0,217.0,320.0,1118.0,0.0
535.5,287.5,248.0,935.2,0.0
491.5,288.5,203.0,1242.0,0.0
486.0,310.0,176.0,1260.0,0.0
551.0,330.5,220.5,1160.0,0.0
537.5,203.0,334.5,846.4,0.0
520.5,175.5,345.0,1038.0,0.0
511.5,303.5,208.0,914.0,0.0
483.5,302.0,181.5,1140.0,0.0
483.5,315.0,168.5,1294.0,0.0
545.5,340.0,205.5,1058.0,0.0
574.0,309.0,265.0,1062.0,0.0
518.5,258.5,260.0,1142.0,0.0
478.5,283.5,195.0,1161.2,0.0
571.0,344.0,227.0,958.8,0.0
494.0,287.5,206.5,1174.0,0.0
511.5,314.5,197.0,940.0,0.0
531.0,317.5,213.5,1175.8,0.0
503.0,296.5,206.5,1196.0,0.0
486.5,303.5,183.0,1182.0,0.0
509.0,316.0,193.0,1268.0,0.0
459.5,280.5,179.0,1015.4,0.0
531.5,336.0,195.5,1228.0,0.0
522.5,309.5,213.0,1166.0,0.0
487.0,287.5,199.5,1102.0,0.0
529.0,334.0,195.0,1078.0,0.0
543.0,320.5,222.5,1132.0,0.0
548.0,280.0,268.0,1140.0,0.0
527.5,235.0,292.5,1040.0,0.0
484.0,295.5,188.5,1086.0,0.0
553.0,343.5,209.5,1048.0,0.0
563.5,293.5,270.0,1150.6,0.0
534.0,259.5,274.5,1239.8,0.0
524.0,290.0,234.0,1019.8,0.0
534.5,275.0,259.5,1136.6,0.0
525.0,282.0,243.0,1132.6,0.0
510.5,314.5,196.0,1069.4,0.0
521.0,327.0,194.0,919.8,0.0
501.5,319.0,182.5,1155.4,0.0
534.0,332.0,202.0,1155.4,0.0
550.0,324.0,226.0,1220.0,0.0
543.0,283.0,260.0,1192.0,0.0
526.5,249.5,277.0,1138.0,0.0
462.0,258.5,203.5,1282.0,0.0
514.5,330.0,184.5,1302.0,0.0
563.0,205.0,358.0,1060.0,0.0
529.5,197.0,332.5,962.0,0.0
522.0,252.0,270.0,1095.6,0.0
501.0,298.5,202.5,1109.6,0.0
459.0,280.0,179.0,1198.2,0.0
500.5,327.5,173.0,1182.2,0.0
507.0,326.0,181.0,1176.0,0.0
536.0,317.5,218.5,1216.0,0.0
516.0,235.5,280.5,1020.0,0.0
526.0,220.5,305.5,1076.0,0.0
504.0,259.5,244.5,1084.0,0.0
560.0,290.5,269.5,1037.0,0.0
525.0,283.5,241.5,1053.8,0.0
505.0,305.0,200.0,1076.0,0.0
538.0,323.0,215.0,1056.0,0.0
548.5,322.5,226.0,1040.0,0.0
517.5,302.0,215.5,1090.0,0.0
565.5,300.5,265.0,1178.0,0.0
586.5,184.0,402.5,969.2,0.0
525.0,174.5,350.5,1042.0,0.0
498.0,277.5,220.5,1062.0,0.0
509.0,310.0,199.0,1082.0,0.0
526.0,321.0,205.0,1084.0,0.0
536.0,329.5,206.5,1110.0,0.0
555.0,235.5,319.5,1122.0,0.0
502.5,287.0,215.5,1082.0,0.0
507.5,314.5,193.0,1182.0,0.0
524.5,328.0,196.5,1234.0,0.0
513.5,317.5,196.0,1070.0,0.0
477.5,290.5,187.0,1170.0,0.0
465.0,283.5,181.5,1170.0,0.0
504.0,314.0,190.0,1250.0,0.0
526.0,323.0,203.0,1202.0,0.0
557.0,239.5,317.5,1026.0,0.0
537.0,207.0,330.0,1099.0,0.0
511.5,269.5,242.0,1080.0,0.0
521.5,327.5,194.0,1062.0,0.0
510.0,316.0,194.0,1124.0,0.0
538.5,325.5,213.0,1080.0,0.0
538.5,315.0,223.5,1052.0,0.0
500.0,304.5,195.5,1112.0,0.0
514.0,323.5,190.5,1188.0,0.0
564.5,269.5,295.0,1212.0,0.0
577.5,203.5,374.0,1107.4,0.0
544.0,238.5,305.5,1093.0,0.0
542.5,261.5,281.0,1092.0,0.0
546.0,252.0,294.0,1016.0,0.0
540.0,240.0,300.0,1182.0,0.0
522.5,292.5,230.0,1011.6,0.0
519.5,307.0,212.5,1110.0,0.0
547.0,292.5,254.5,951.2,0.0
505.0,269.0,236.0,1084.0,0.0
520.5,334.0,186.5,1088.0,0.0
544.0,327.5,216.5,1146.0,0.0
537.5,301.5,236.0,1140.0,0.0
518.5,290.0,228.5,1086.0,0.0
528.0,311.5,216.5,1126.0,0.0
530.0,322.0,208.0,1122.0,0.0
570.5,246.0,324.5,1109.6,0.0
553.0,238.0,315.0,917.0,0.0
518.5,238.0,280.5,1097.8,0.0
534.5,275.0,259.5,1036.0,0.0
544.5,275.5,269.0,1146.0,0.0
576.0,172.5,403.5,1040.0,0.0
584.5,105.5,479.0,1040.0,0.0
544.5,109.5,435.0,1140.4,0.0
508.5,274.0,234.5,1058.0,0.0
546.0,281.0,265.0,1166.0,0.0
527.0,319.5,207.5,922.0,0.0
513.0,299.5,213.5,1142.0,0.0
533.0,320.0,213.0,1120.0,0.0
542.5,322.0,220.5,1152.2,0.0
522.5,304.0,218.5,1138.2,0.0
534.5,319.0,215.5,1078.4,0.0
502.0,321.0,181.0,1180.2,0.0
510.5,332.5,178.0,1007.4,0.0
535.0,332.0,203.0,1186.0,0.0
564.0,333.5,230.5,935.8,0.0
518.0,276.5,241.5,1138.6,0.0
512.0,283.0,229.0,1294.0,0.0
494.0,294.0,200.0,1190.0,0.0
498.0,310.0,188.0,1232.0,0.0
560.0,303.0,257.0,1272.0,0.0
515.5,150.5,365.0,1068.0,0.0
557.5,177.0,380.5,914.8,0.0
537.0,263.0,274.0,1150.0,0.0
560.5,255.5,305.0,878.0,0.0
573.5,124.0,449.5,1052.0,0.0
545.0,150.0,395.0,1063.4,0.0
520.0,232.5,287.5,1062.0,0.0
555.5,265.5,290.0,1074.0,0.0
523.0,254.0,269.0,1052.0,0.0
499.5,317.5,182.0,1022.0,0.0
537.5,305.0,232.5,1050.0,0.0
479.0,253.0,226.0,1210.0,0.0
499.5,307.0,192.5,1188.0,0.0
522.5,298.0,224.5,1134.0,0.0
491.5,283.5,208.0,1182.0,0.0
530.5,311.5,219.0,1214.0,0.0
490.5,297.0,193.5,1162.0,0.0
519.5,261.5,258.0,1180.0,0.0
567.0,215.5,351.5,940.0,0.0
569.0,196.0,373.0,1040.0,0.0
569.0,142.0,427.0,973.0,0.0
517.0,187.5,329.5,1134.0,0.0
554.0,277.0,277.0,1054.0,0.0
535.0,173.0,362.0,1220.0,0.0
511.5,210.0,301.5,1294.0,0.0
549.0,253.5,295.5,1170.0,0.0
585.0,169.5,415.5,1064.0,0.0
531.5,147.5,384.0,999.0,0.0
533.0,258.0,275.0,1024.0,0.0
533.0,240.5,292.5,1078.0,0.0
523.5,261.5,262.0,1064.0,0.0
528.5,329.5,199.0,1084.0,0.0
499.0,307.5,191.5,1102.0,0.0
