RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,284.0,0.0
190.0,0.0,190.0,410.0,0.0
210.0,0.0,210.0,712.0,0.0
285.0,7.0,278.0,822.0,0.0
416.0,34.5,381.5,890.0,0.0
413.0,33.0,380.0,920.0,0.0
415.0,32.0,383.0,1094.0,0.0
426.0,47.0,379.0,1000.0,0.0
445.0,39.0,406.0,960.0,0.0
459.5,15.0,444.5,948.0,0.0
456.0,21.0,435.0,890.0,0.0
453.5,4.5,449.0,878.0,0.0
468.0,11.0,457.0,974.0,0.0
481.0,12.0,469.0,886.0,0.0
448.0,11.5,436.5,968.0,0.0
436.0,35.0,401.0,1036.0,0.0
461.0,32.5,428.5,1002.0,0.0
493.0,41.0,452.0,1066.0,0.0
479.5,81.5,398.0,1060.0,0.0
442.0,105.5,336.5,1076.0,0.0
455.5,115.5,340.0,1228.0,0.0
526.0,83.0,443.0,1190.0,0.0
500.5,69.5,431.0,1082.0,0.0
507.5,76.0,431.5,1028.0,0.0
538.0,54.5,483.5,998.0,0.0
530.5,29.0,501.5,1014.0,0.0
523.5,24.5,499.0,940.0,0.0
521.5,55.0,466.5,1046.0,0.0
518.0,59.0,459.0,1142.0,0.0
513.0,78.0,435.0,1156.0,0.0
574.0,133.0,441.0,1106.0,0.0
509.0,126.5,382.5,1082.0,0.0
518.0,170.0,348.0,1040.0,0.0
549.5,185.5,364.0,1104.0,0.0
564.5,187.5,377.0,1076.0,0.0
519.0,231.5,287.5,1162.0,0.0
499.5,247.0,252.5,1180.0,0.0
503.0,294.0,209.0,1290.0,0.0
514.0,312.5,201.5,1276.0,0.0
542.5,277.5,265.0,1212.0,0.0
514.0,266.5,247.5,1220.0,0.0
535.0,260.5,274.5,1196.0,0.0
493.5,243.0,250.5,1220.0,0.0
444.5,264.5,180.0,1374.0,0.0
560.5,305.5,255.0,1458.0,0.0
510.5,249.5,261.0,1358.0,0.0
513.0,281.0,232.0,1252.0,0.0
496.0,265.5,230.5,1262.0,0.0
398.0,225.0,173.0,1382.0,0.0
498.5,307.5,191.0,1396.0,0.0
519.0,294.5,224.5,1260.0,0.0
486.5,264.5,222.0,1312.0,0.0
551.0,295.5,255.5,1190.0,0.0
506.5,240.0,266.5,1356.0,0.0
506.0,245.5,260.5,1378.0,0.0
499.5,259.5,240.0,1278.0,0.0
507.5,256.0,251.5,1262.0,0.0
488.0,294.5,193.5,1318.0,0.0
515.0,300.5,214.5,1158.0,0.0
520.5,288.0,232.5,1224.0,0.0
537.5,244.0,293.5,1286.0,0.0
535.5,216.5,319.0,1392.0,0.0
461.0,202.0,259.0,1378.0,0.0
524.5,277.0,247.5,1378.0,0.0
549.0,117.5,431.5,1050.0,0.0
508.5,211.5,297.0,1258.0,0.0
554.5,216.5,338.0,1266.0,0.0
535.5,217.5,318.0,1110.0,0.0
536.0,222.0,314.0,1314.0,0.0
509.0,197.0,312.0,1372.0,0.0
497.0,245.5,251.5,1252.0,0.0
545.0,226.0,319.0,1038.0,0.0
536.5,262.5,274.0,1226.0,0.0
530.0,292.0,238.0,1140.0,0.0
498.5,271.0,227.5,1236.0,0.0
549.0,251.0,298.0,1172.0,0.0
529.5,180.5,349.0,1054.0,0.0
515.0,192.0,323.0,1196.0,0.0
