RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
5.0,0.0,5.0,260.0,0
17.0,0.0,17.0,280.0,0
61.0,0.0,61.0,470.0,0
72.0,0.0,72.0,370.0,0
75.0,0.0,75.0,480.0,0
81.5,0.0,81.5,320.0,0
77.0,0.0,77.0,300.0,0
83.0,0.0,83.0,330.0,0
69.0,0.0,69.0,350.0,0
70.0,0.0,70.0,350.0,0
81.5,0.0,81.5,350.0,0
86.0,0.0,86.0,340.0,0
88.0,0.0,88.0,290.0,0
89.0,0.0,89.0,340.0,0
94.0,0.0,94.0,420.0,0
92.0,0.0,92.0,410.0,0
96.5,0.0,96.5,370.0,0
89.5,0.0,89.5,370.0,0
100.0,0.0,100.0,430.0,0
77.0,0.0,77.0,240.0,0
86.5,0.0,86.5,380.0,0
92.5,0.0,92.5,380.0,0
93.5,0.0,93.5,460.0,0
90.5,0.0,90.5,300.0,0
90.5,0.0,90.5,300.0,0
101.0,0.0,101.0,340.0,0
99.5,0.0,99.5,280.0,0
99.5,0.0,99.5,310.0,0
108.0,0.0,108.0,350.0,0
99.5,0.0,99.5,280.0,0
87.0,0.0,87.0,400.0,0
83.0,0.0,83.0,270.0,0
90.5,0.0,90.5,270.0,0
115.0,0.0,115.0,300.0,0
92.5,0.0,92.5,320.0,0
90.5,0.0,90.5,320.0,0
104.5,0.0,104.5,270.0,0
115.5,0.0,115.5,200.0,0
106.5,0.0,106.5,280.0,0
81.5,0.0,81.5,280.0,0
89.0,0.0,89.0,310.0,0
105.0,0.0,105.0,330.0,0
98.0,0.0,98.0,280.0,0
77.0,0.0,77.0,370.0,0
94.5,0.0,94.5,340.0,0
95.0,0.0,95.0,430.0,0
107.0,0.0,107.0,290.0,0
102.0,0.0,102.0,320.0,0
106.5,0.0,106.5,320.0,0
104.0,0.0,104.0,220.0,0
86.5,0.0,86.5,290.0,0
87.5,0.0,87.5,320.0,0
99.0,0.0,99.0,320.0,0
94.5,0.0,94.5,240.0,0
91.0,0.0,91.0,280.0,0
93.5,0.0,93.5,320.0,0
89.0,0.0,89.0,320.0,0
