timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T16:02:30Z,cartservice,189389,0,0,0
2026-09-05T16:02:30Z,productcatalogservice,0,0,0,0
2026-09-05T16:02:30Z,paymentservice,94673,0,0,0
2026-09-05T16:02:36Z,cartservice,189389,0,0,0
2026-09-05T16:02:36Z,productcatalogservice,0,0,0,0
2026-09-05T16:02:36Z,paymentservice,94673,0,0,0
2026-09-05T16:02:41Z,cartservice,189389,0,0,0
2026-09-05T16:02:41Z,productcatalogservice,0,0,0,0
2026-09-05T16:02:41Z,paymentservice,94673,0,0,0
2026-09-05T16:02:46Z,cartservice,189389,0,0,0
2026-09-05T16:02:46Z,productcatalogservice,0,0,0,0
2026-09-05T16:02:46Z,paymentservice,94673,0,0,0
2026-09-05T16:02:52Z,cartservice,189389,0,0,0
2026-09-05T16:02:52Z,productcatalogservice,0,0,0,0
2026-09-05T16:02:52Z,paymentservice,94673,0,0,0
2026-09-05T16:02:57Z,cartservice,189389,0,0,0
2026-09-05T16:02:57Z,productcatalogservice,0,0,0,0
2026-09-05T16:02:57Z,paymentservice,94673,0,0,0
2026-09-05T16:03:03Z,cartservice,189389,0,0,0
2026-09-05T16:03:03Z,productcatalogservice,0,0,0,0
2026-09-05T16:03:03Z,paymentservice,94673,0,0,0
2026-09-05T16:03:08Z,cartservice,189389,0,0,0
2026-09-05T16:03:08Z,productcatalogservice,0,0,0,0
2026-09-05T16:03:08Z,paymentservice,94673,0,0,0
2026-09-05T16:03:13Z,cartservice,189389,0,0,0
2026-09-05T16:03:13Z,productcatalogservice,0,0,0,0
2026-09-05T16:03:13Z,paymentservice,94673,0,0,0
2026-09-05T16:03:19Z,cartservice,189389,0,0,0
2026-09-05T16:03:19Z,productcatalogservice,0,0,0,0
2026-09-05T16:03:19Z,paymentservice,94673,0,0,0
2026-09-05T16:03:24Z,cartservice,189389,0,0,0
2026-09-05T16:03:24Z,productcatalogservice,0,0,0,0
2026-09-05T16:03:24Z,paymentservice,94673,0,0,0
2026-09-05T16:03:29Z,cartservice,189389,0,0,0
2026-09-05T16:03:29Z,productcatalogservice,0,0,0,0
