RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
5.0,0.0,5.0,220.0,0
17.5,0.0,17.5,270.0,0
56.5,0.0,56.5,380.0,0
80.0,0.0,80.0,310.0,0
71.5,0.0,71.5,290.0,0
75.0,0.0,75.0,280.0,0
80.5,0.0,80.5,290.0,0
76.5,0.0,76.5,250.0,0
74.0,0.0,74.0,250.0,0
78.5,0.0,78.5,300.0,0
63.0,0.0,63.0,300.0,0
82.0,0.0,82.0,380.0,0
77.0,0.0,77.0,280.0,0
82.0,0.0,82.0,270.0,0
82.0,0.0,82.0,250.0,0
83.0,0.0,83.0,330.0,0
78.5,0.0,78.5,220.0,0
92.0,0.0,92.0,210.0,0
87.5,0.0,87.5,260.0,0
91.0,0.0,91.0,280.0,0
84.0,0.0,84.0,250.0,0
104.0,0.0,104.0,270.0,0
104.0,0.0,104.0,310.0,0
107.0,0.0,107.0,290.0,0
109.0,0.0,109.0,150.0,0
90.0,0.0,90.0,160.0,0
85.5,0.0,85.5,180.0,0
97.5,0.0,97.5,210.0,0
106.5,0.0,106.5,220.0,0
94.5,0.0,94.5,150.0,0
93.5,0.0,93.5,260.0,0
96.0,2.0,94.0,220.0,0
107.0,2.0,105.0,220.0,0
85.5,0.0,85.5,320.0,0
104.5,0.0,104.5,220.0,0
103.0,0.0,103.0,190.0,0
93.5,0.0,93.5,260.0,0
95.0,0.5,94.5,240.0,0
95.5,0.5,95.0,250.0,0
84.5,0.0,84.5,220.0,0
81.5,0.0,81.5,310.0,0
93.0,0.0,93.0,240.0,0
95.0,0.0,95.0,240.0,0
100.0,0.0,100.0,200.0,0
104.0,0.0,104.0,200.0,0
93.0,0.0,93.0,250.0,0
95.0,0.0,95.0,250.0,0
86.5,0.0,86.5,230.0,0
106.0,0.0,106.0,200.0,0
101.5,0.0,101.5,190.0,0
89.5,0.0,89.5,280.0,0
93.5,0.0,93.5,280.0,0
88.0,0.0,88.0,230.0,0
93.5,0.0,93.5,210.0,0
96.5,1.5,95.0,230.0,0
105.5,1.5,104.0,260.0,0
97.0,0.0,97.0,190.0,0
81.0,0.0,81.0,370.0,0
95.5,0.0,95.5,340.0,0
91.0,0.0,91.0,260.0,0
108.5,0.0,108.5,250.0,0
102.5,0.0,102.5,250.0,0
101.5,0.0,101.5,240.0,0
102.0,0.0,102.0,280.0,0
89.0,0.0,89.0,230.0,0
92.5,0.0,92.5,210.0,0
93.5,0.0,93.5,260.0,0
103.5,0.0,103.5,290.0,0
82.0,0.0,82.0,290.0,0
92.5,0.0,92.5,240.0,0
100.0,0.0,100.0,270.0,0
83.0,0.0,83.0,280.0,0
111.0,0.0,111.0,190.0,0
100.0,0.0,100.0,260.0,0
95.5,0.0,95.5,320.0,0
94.5,0.0,94.5,320.0,0
84.0,0.0,84.0,290.0,0
81.5,0.0,81.5,340.0,0
80.0,1.0,79.0,320.0,0
92.0,1.0,91.0,260.0,0
90.5,0.0,90.5,300.0,0
83.0,0.0,83.0,300.0,0
87.5,0.0,87.5,120.0,0
103.5,0.0,103.5,99.0,0
98.0,0.0,98.0,99.0,0
89.5,0.0,89.5,91.0,0
80.5,0.0,80.5,140.0,0
91.0,0.0,91.0,130.0,0
98.5,0.0,98.5,130.0,0
91.5,0.0,91.5,110.0,0
94.5,0.0,94.5,98.0,0
97.0,0.0,97.0,140.0,0
94.5,0.0,94.5,150.0,0
103.0,0.0,103.0,100.0,0
103.0,0.0,103.0,99.0,0
95.0,0.0,95.0,110.0,0
100.0,0.0,100.0,64.0,0
95.0,0.0,95.0,100.0,0
95.5,0.0,95.5,110.0,0
100.0,0.0,100.0,110.0,0
95.0,0.0,95.0,110.0,0
93.5,0.0,93.5,130.0,0
80.5,0.0,80.5,110.0,0
87.5,0.0,87.5,150.0,0
96.5,0.0,96.5,140.0,0
104.0,0.0,104.0,130.0,0
94.0,0.0,94.0,130.0,0
99.0,0.0,99.0,130.0,0
102.0,0.0,102.0,150.0,0
99.5,0.0,99.5,110.0,0
97.5,0.0,97.5,80.0,0
86.0,0.0,86.0,120.0,0
90.0,0.0,90.0,95.0,0
107.5,0.0,107.5,81.0,0
101.0,0.0,101.0,83.0,0
92.0,0.0,92.0,100.0,0
104.0,0.0,104.0,110.0,0
90.5,0.0,90.5,100.0,0
93.0,0.0,93.0,110.0,0
91.5,0.0,91.5,110.0,0
89.0,0.0,89.0,120.0,0
86.5,0.0,86.5,120.0,0
89.5,0.0,89.5,120.0,0
115.0,0.0,115.0,120.0,0
114.5,0.0,114.5,160.0,0
102.0,0.0,102.0,84.0,0
100.0,0.0,100.0,110.0,0
99.0,0.0,99.0,110.0,0
98.0,0.0,98.0,140.0,0
103.0,0.0,103.0,110.0,0
100.0,0.0,100.0,90.0,0
99.5,0.0,99.5,100.0,0
95.5,0.0,95.5,110.0,0
104.5,0.0,104.5,120.0,0
97.0,0.0,97.0,120.0,0
98.0,0.0,98.0,120.0,0
99.0,0.0,99.0,72.0,0
91.0,0.0,91.0,120.0,0
85.5,0.0,85.5,160.0,0
88.0,0.0,88.0,160.0,0
94.5,0.0,94.5,90.0,0
83.0,0.0,83.0,180.0,0
99.5,0.0,99.5,180.0,0
107.0,0.0,107.0,120.0,0
86.5,0.0,86.5,120.0,0
82.5,0.0,82.5,100.0,0
94.0,0.0,94.0,120.0,0
91.0,0.0,91.0,140.0,0
90.0,0.0,90.0,140.0,0
100.5,0.0,100.5,120.0,0
99.5,0.0,99.5,120.0,0
81.5,0.0,81.5,120.0,0
75.5,0.0,75.5,160.0,0
79.5,0.0,79.5,140.0,0
88.0,0.0,88.0,120.0,0
98.5,0.0,98.5,120.0,0
93.5,0.0,93.5,130.0,0
88.0,0.0,88.0,120.0,0
86.5,0.0,86.5,100.0,0
90.5,0.0,90.5,110.0,0
103.0,0.0,103.0,94.0,0
108.0,0.0,108.0,160.0,0
102.5,0.0,102.5,160.0,0
81.0,0.0,81.0,140.0,0
89.5,0.0,89.5,140.0,0
92.5,0.0,92.5,190.0,0
92.0,0.0,92.0,97.0,0
93.0,0.0,93.0,140.0,0
94.5,0.0,94.5,140.0,0
97.0,0.0,97.0,120.0,0
106.0,0.0,106.0,120.0,0
110.0,0.0,110.0,120.0,0
98.0,0.0,98.0,140.0,0
89.5,0.0,89.5,140.0,0
96.5,0.0,96.5,140.0,0
89.5,0.0,89.5,140.0,0
81.0,0.0,81.0,150.0,0
100.0,0.0,100.0,110.0,0
100.0,0.0,100.0,110.0,0
89.5,0.0,89.5,130.0,0
80.5,0.0,80.5,120.0,0
88.0,0.0,88.0,110.0,0
88.0,0.0,88.0,110.0,0
77.0,0.0,77.0,77.0,0
74.0,0.0,74.0,88.0,0
83.0,0.0,83.0,150.0,0
81.5,0.0,81.5,140.0,0
98.5,0.0,98.5,110.0,0
97.0,0.0,97.0,130.0,0
95.0,0.0,95.0,130.0,0
91.5,0.0,91.5,150.0,0
87.0,0.0,87.0,140.0,0
90.0,0.0,90.0,140.0,0
83.0,0.0,83.0,130.0,0
93.5,0.0,93.5,110.0,0
95.5,0.0,95.5,110.0,0
92.0,0.0,92.0,110.0,0
101.5,0.0,101.5,150.0,0
84.5,0.0,84.5,120.0,0
77.5,0.0,77.5,110.0,0
81.5,0.0,81.5,110.0,0
91.5,0.0,91.5,120.0,0
93.0,0.0,93.0,130.0,0
104.0,0.0,104.0,130.0,0
107.5,0.0,107.5,110.0,0
105.0,0.0,105.0,110.0,0
102.5,0.0,102.5,110.0,0
96.0,0.0,96.0,92.0,0
89.0,0.0,89.0,140.0,0
91.5,0.0,91.5,140.0,0
92.0,0.0,92.0,99.0,0
96.5,0.0,96.5,81.0,0
95.5,0.0,95.5,100.0,0
104.5,0.0,104.5,100.0,0
101.0,0.0,101.0,160.0,0
92.5,0.0,92.5,160.0,0
109.5,0.0,109.5,100.0,0
105.5,0.0,105.5,77.0,0
95.5,0.0,95.5,110.0,0
100.5,0.0,100.5,120.0,0
108.0,0.0,108.0,110.0,0
104.5,0.0,104.5,99.0,0
92.0,0.0,92.0,85.0,0
90.5,0.0,90.5,120.0,0
100.5,0.0,100.5,120.0,0
92.5,0.0,92.5,120.0,0
96.0,0.0,96.0,140.0,0
112.0,0.0,112.0,120.0,0
107.5,0.0,107.5,92.0,0
92.5,0.0,92.5,100.0,0
102.5,0.0,102.5,86.0,0
92.0,0.0,92.0,130.0,0
102.0,0.0,102.0,110.0,0
94.5,0.0,94.5,100.0,0
96.0,0.0,96.0,150.0,0
105.5,0.0,105.5,98.0,0
103.0,0.0,103.0,100.0,0
80.0,0.0,80.0,130.0,0
92.5,0.0,92.5,130.0,0
89.5,0.0,89.5,100.0,0
91.0,0.0,91.0,93.0,0
101.0,0.0,101.0,120.0,0
101.0,0.0,101.0,120.0,0
97.0,0.0,97.0,100.0,0
106.5,0.0,106.5,110.0,0
100.0,0.0,100.0,110.0,0
94.0,0.0,94.0,100.0,0
102.5,0.0,102.5,110.0,0
96.5,0.0,96.5,100.0,0
86.5,0.0,86.5,140.0,0
100.0,0.0,100.0,140.0,0
109.0,0.0,109.0,130.0,0
86.0,0.0,86.0,110.0,0
82.0,0.0,82.0,110.0,0
77.0,0.0,77.0,120.0,0
94.0,0.0,94.0,110.0,0
99.0,0.0,99.0,110.0,0
99.0,0.0,99.0,110.0,0
101.5,0.0,101.5,110.0,0
99.5,0.0,99.5,120.0,0
94.0,0.0,94.0,120.0,0
21.5,0.0,21.5,110.0,0
18.0,0.0,18.0,66.0,0
16.0,0.0,16.0,64.0,0
12.0,0.0,12.0,76.0,0
13.0,0.0,13.0,76.0,0
18.5,0.0,18.5,71.0,0
20.0,0.0,20.0,68.0,0
14.0,0.0,14.0,83.0,0
16.5,0.0,16.5,83.0,0
17.0,0.0,17.0,68.0,0
17.5,0.0,17.5,68.0,0
22.0,0.0,22.0,67.0,0
20.0,0.0,20.0,87.0,0
23.5,0.0,23.5,69.0,0
21.5,0.0,21.5,69.0,0
21.0,0.0,21.0,69.0,0
20.5,0.0,20.5,64.0,0
17.0,0.0,17.0,62.0,0
16.0,0.0,16.0,67.0,0
