timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T16:51:25Z,cartservice,218868,0,0,0
2026-09-05T16:51:25Z,productcatalogservice,0,0,0,0
2026-09-05T16:51:25Z,paymentservice,109400,0,0,0
2026-09-05T16:51:31Z,cartservice,218868,0,0,0
2026-09-05T16:51:31Z,productcatalogservice,0,0,0,0
2026-09-05T16:51:31Z,paymentservice,109400,0,0,0
2026-09-05T16:51:36Z,cartservice,218868,0,0,0
2026-09-05T16:51:36Z,productcatalogservice,0,0,0,0
2026-09-05T16:51:36Z,paymentservice,109400,0,0,0
2026-09-05T16:51:42Z,cartservice,218868,0,0,0
2026-09-05T16:51:42Z,productcatalogservice,0,0,0,0
2026-09-05T16:51:42Z,paymentservice,109400,0,0,0
2026-09-05T16:51:47Z,cartservice,218868,0,0,0
2026-09-05T16:51:47Z,productcatalogservice,0,0,0,0
2026-09-05T16:51:47Z,paymentservice,109400,0,0,0
2026-09-05T16:51:52Z,cartservice,218868,0,0,0
2026-09-05T16:51:52Z,productcatalogservice,0,0,0,0
2026-09-05T16:51:52Z,paymentservice,109400,0,0,0
2026-09-05T16:51:58Z,cartservice,218868,0,0,0
2026-09-05T16:51:58Z,productcatalogservice,0,0,0,0
2026-09-05T16:51:58Z,paymentservice,109400,0,0,0
2026-09-05T16:52:03Z,cartservice,218868,0,0,0
2026-09-05T16:52:03Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:03Z,paymentservice,109400,0,0,0
2026-09-05T16:52:08Z,cartservice,218868,0,0,0
2026-09-05T16:52:08Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:08Z,paymentservice,109400,0,0,0
2026-09-05T16:52:14Z,cartservice,218868,0,0,0
2026-09-05T16:52:14Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:14Z,paymentservice,109400,0,0,0
2026-09-05T16:52:19Z,cartservice,218868,0,0,0
2026-09-05T16:52:19Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:19Z,paymentservice,109400,0,0,0
2026-09-05T16:52:25Z,cartservice,218868,0,0,0
2026-09-05T16:52:25Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:25Z,paymentservice,109400,0,0,0
2026-09-05T16:52:30Z,cartservice,218868,0,0,0
2026-09-05T16:52:30Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:30Z,paymentservice,109400,0,0,0
2026-09-05T16:52:35Z,cartservice,218868,0,0,0
2026-09-05T16:52:35Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:35Z,paymentservice,109400,0,0,0
2026-09-05T16:52:41Z,cartservice,218934,0,0,0
2026-09-05T16:52:41Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:41Z,paymentservice,109429,0,0,0
2026-09-05T16:52:46Z,cartservice,219030,0,0,0
2026-09-05T16:52:46Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:46Z,paymentservice,109480,0,0,0
2026-09-05T16:52:51Z,cartservice,219121,0,0,0
2026-09-05T16:52:51Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:51Z,paymentservice,109528,0,0,0
2026-09-05T16:52:57Z,cartservice,219224,0,0,0
2026-09-05T16:52:57Z,productcatalogservice,0,0,0,0
2026-09-05T16:52:57Z,paymentservice,109578,0,0,0
2026-09-05T16:53:02Z,cartservice,219311,0,0,0
2026-09-05T16:53:02Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:02Z,paymentservice,109624,0,0,0
2026-09-05T16:53:08Z,cartservice,219413,0,0,0
2026-09-05T16:53:08Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:08Z,paymentservice,109671,0,0,0
2026-09-05T16:53:13Z,cartservice,219511,0,0,0
2026-09-05T16:53:13Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:13Z,paymentservice,109720,0,0,0
2026-09-05T16:53:18Z,cartservice,219611,0,0,0
2026-09-05T16:53:18Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:18Z,paymentservice,109770,0,0,0
2026-09-05T16:53:24Z,cartservice,219716,0,0,0
2026-09-05T16:53:24Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:24Z,paymentservice,109820,0,0,0
2026-09-05T16:53:29Z,cartservice,219814,0,0,0
2026-09-05T16:53:29Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:29Z,paymentservice,109872,0,0,0
2026-09-05T16:53:35Z,cartservice,219914,0,0,0
2026-09-05T16:53:35Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:35Z,paymentservice,109919,0,0,0
2026-09-05T16:53:40Z,cartservice,220010,0,0,0
2026-09-05T16:53:40Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:40Z,paymentservice,109971,0,0,0
2026-09-05T16:53:45Z,cartservice,220100,0,0,0
2026-09-05T16:53:45Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:45Z,paymentservice,110018,0,0,0
2026-09-05T16:53:51Z,cartservice,220194,0,0,0
2026-09-05T16:53:51Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:51Z,paymentservice,110065,0,0,0
2026-09-05T16:53:56Z,cartservice,220300,0,0,0
2026-09-05T16:53:56Z,productcatalogservice,0,0,0,0
2026-09-05T16:53:56Z,paymentservice,110117,0,0,0
2026-09-05T16:54:01Z,cartservice,220392,0,0,0
2026-09-05T16:54:01Z,productcatalogservice,0,0,0,0
2026-09-05T16:54:01Z,paymentservice,110158,0,0,0
2026-09-05T16:54:07Z,cartservice,220489,0,0,0
2026-09-05T16:54:07Z,productcatalogservice,0,0,0,0
2026-09-05T16:54:07Z,paymentservice,110211,0,0,0
2026-09-05T16:54:12Z,cartservice,220587,0,0,0
2026-09-05T16:54:12Z,productcatalogservice,0,0,0,0
2026-09-05T16:54:12Z,paymentservice,110259,0,0,0
2026-09-05T16:54:18Z,cartservice,220684,0,0,0
2026-09-05T16:54:18Z,productcatalogservice,0,0,0,0
2026-09-05T16:54:18Z,paymentservice,110305,0,0,0
2026-09-05T16:54:23Z,cartservice,220775,0,0,0
2026-09-05T16:54:23Z,productcatalogservice,0,0,0,0
2026-09-05T16:54:23Z,paymentservice,110355,0,0,0
2026-09-05T16:54:28Z,cartservice,220868,0,0,0
2026-09-05T16:54:28Z,productcatalogservice,0,0,0,0
2026-09-05T16:54:28Z,paymentservice,110397,0,0,0
