RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,410.0,0
66.0,0.0,66.0,480.0,0
74.5,0.0,74.5,480.0,0
77.0,0.0,77.0,610.0,0
78.0,0.0,78.0,480.0,0
82.0,0.0,82.0,490.0,0
82.0,0.0,82.0,570.0,0
90.0,0.0,90.0,570.0,0
84.5,0.0,84.5,550.0,0
89.0,0.0,89.0,510.0,0
97.0,0.0,97.0,580.0,0
102.0,0.0,102.0,550.0,0
95.5,0.0,95.5,610.0,0
101.0,0.0,101.0,600.0,0
99.5,0.0,99.5,570.0,0
92.5,0.0,92.5,600.0,0
110.5,0.0,110.5,520.0,0
109.0,0.0,109.0,700.0,0
103.0,0.0,103.0,590.0,0
109.0,0.0,109.0,630.0,0
104.0,0.0,104.0,530.0,0
114.5,0.0,114.5,660.0,0
129.5,0.0,129.5,640.0,0
117.0,0.0,117.0,650.0,0
124.5,0.0,124.5,720.0,0
118.5,0.0,118.5,710.0,0
114.5,0.0,114.5,550.0,0
114.0,0.0,114.0,630.0,0
119.0,0.0,119.0,610.0,0
131.5,0.0,131.5,630.0,0
123.0,0.0,123.0,710.0,0
124.5,0.0,124.5,720.0,0
124.5,0.0,124.5,730.0,0
131.0,0.0,131.0,740.0,0
131.0,0.0,131.0,690.0,0
135.5,0.0,135.5,750.0,0
147.5,0.0,147.5,720.0,0
145.0,0.0,145.0,730.0,0
124.5,0.0,124.5,830.0,0
117.5,0.0,117.5,760.0,0
177.0,0.0,177.0,770.0,0
117.0,0.0,117.0,940.0,0
206.0,0.0,206.0,700.0,0
130.5,0.0,130.5,770.0,0
108.0,0.0,108.0,720.0,0
155.5,0.0,155.5,750.0,0
118.0,0.0,118.0,750.0,0
158.5,0.0,158.5,720.0,0
149.0,0.0,149.0,740.0,0
136.5,0.0,136.5,720.0,0
131.5,0.0,131.5,720.0,0
177.5,0.0,177.5,740.0,0
148.0,0.0,148.0,710.0,0
141.0,0.0,141.0,700.0,0
138.5,0.0,138.5,720.0,0
139.5,0.0,139.5,790.0,0
130.0,0.0,130.0,730.0,0
137.0,0.0,137.0,720.0,0
181.0,0.0,181.0,720.0,0
152.0,0.0,152.0,760.0,0
154.0,0.0,154.0,700.0,0
121.5,0.0,121.5,790.0,0
164.0,0.0,164.0,720.0,0
128.5,0.0,128.5,860.0,0
127.5,0.0,127.5,860.0,0
171.5,0.0,171.5,840.0,0
165.5,0.0,165.5,720.0,0
172.0,0.0,172.0,710.0,0
160.0,0.0,160.0,710.0,0
154.5,0.0,154.5,750.0,0
141.5,0.0,141.5,710.0,0
157.5,0.0,157.5,650.0,0
132.5,0.0,132.5,760.0,0
137.0,0.0,137.0,760.0,0
170.0,0.0,170.0,720.0,0
147.0,0.0,147.0,680.0,0
138.0,0.0,138.0,830.0,0
124.5,0.0,124.5,750.0,0
181.0,0.0,181.0,680.0,0
147.0,0.0,147.0,700.0,0
138.0,0.0,138.0,730.0,0
161.5,0.0,161.5,770.0,0
143.5,0.0,143.5,710.0,0
148.0,0.0,148.0,710.0,0
168.0,0.0,168.0,740.0,0
149.0,0.0,149.0,680.0,0
134.0,0.0,134.0,650.0,0
147.0,0.0,147.0,640.0,0
135.0,0.0,135.0,720.0,0
151.0,0.0,151.0,700.0,0
118.0,0.0,118.0,870.0,0
122.5,0.0,122.5,870.0,0
192.0,0.0,192.0,710.0,0
145.5,0.0,145.5,740.0,0
159.0,0.0,159.0,720.0,0
138.5,0.0,138.5,730.0,0
133.0,0.0,133.0,790.0,0
148.0,0.0,148.0,780.0,0
