timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T17:09:58Z,cartservice,4248259,0,0,0
2026-09-05T17:09:58Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:09:58Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:04Z,cartservice,4248259,0,0,0
2026-09-05T17:10:04Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:04Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:09Z,cartservice,4248259,0,0,0
2026-09-05T17:10:09Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:09Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:14Z,cartservice,4248259,0,0,0
2026-09-05T17:10:14Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:14Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:20Z,cartservice,4248259,0,0,0
2026-09-05T17:10:20Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:20Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:25Z,cartservice,4248259,0,0,0
2026-09-05T17:10:25Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:25Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:31Z,cartservice,4248259,0,0,0
2026-09-05T17:10:31Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:31Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:36Z,cartservice,4248259,0,0,0
2026-09-05T17:10:36Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:36Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:41Z,cartservice,4248259,0,0,0
2026-09-05T17:10:41Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:41Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:47Z,cartservice,4248259,0,0,0
2026-09-05T17:10:47Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:47Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:52Z,cartservice,4248259,0,0,0
2026-09-05T17:10:52Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:52Z,checkoutservice,115513,370,12,158
2026-09-05T17:10:57Z,cartservice,4248259,0,0,0
2026-09-05T17:10:57Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:10:57Z,checkoutservice,115513,370,12,158
2026-09-05T17:11:03Z,cartservice,4248259,0,0,0
2026-09-05T17:11:03Z,productcatalogservice,17063010,0,0,0
2026-09-05T17:11:03Z,checkoutservice,115513,370,12,158
2026-09-05T17:11:08Z,cartservice,4248409,0,0,0
2026-09-05T17:11:08Z,productcatalogservice,17063250,0,0,0
2026-09-05T17:11:08Z,checkoutservice,115516,370,12,158
2026-09-05T17:11:14Z,cartservice,4249469,0,0,0
2026-09-05T17:11:14Z,productcatalogservice,17067664,0,0,0
2026-09-05T17:11:14Z,checkoutservice,115554,370,12,158
2026-09-05T17:11:19Z,cartservice,4250640,0,0,0
2026-09-05T17:11:19Z,productcatalogservice,17072475,0,0,0
2026-09-05T17:11:19Z,checkoutservice,115600,370,12,158
2026-09-05T17:11:24Z,cartservice,4252153,0,0,0
2026-09-05T17:11:24Z,productcatalogservice,17078025,0,0,0
2026-09-05T17:11:24Z,checkoutservice,115640,370,12,158
2026-09-05T17:11:30Z,cartservice,4253533,0,0,0
2026-09-05T17:11:30Z,productcatalogservice,17083884,0,0,0
2026-09-05T17:11:30Z,checkoutservice,115683,370,12,158
2026-09-05T17:11:35Z,cartservice,4255241,0,0,0
2026-09-05T17:11:35Z,productcatalogservice,17090180,0,0,0
2026-09-05T17:11:35Z,checkoutservice,115728,370,12,158
2026-09-05T17:11:41Z,cartservice,4256921,0,0,0
2026-09-05T17:11:41Z,productcatalogservice,17097386,0,0,0
2026-09-05T17:11:41Z,checkoutservice,115774,370,12,158
2026-09-05T17:11:46Z,cartservice,4258643,0,0,0
2026-09-05T17:11:46Z,productcatalogservice,17104476,0,0,0
2026-09-05T17:11:46Z,checkoutservice,115826,370,12,158
2026-09-05T17:11:51Z,cartservice,4260793,0,0,0
2026-09-05T17:11:51Z,productcatalogservice,17112044,0,0,0
2026-09-05T17:11:51Z,checkoutservice,115867,370,12,158
2026-09-05T17:11:57Z,cartservice,4262713,0,0,0
2026-09-05T17:11:57Z,productcatalogservice,17120453,0,0,0
2026-09-05T17:11:57Z,checkoutservice,115914,370,12,158
2026-09-05T17:12:02Z,cartservice,4264998,0,0,0
2026-09-05T17:12:02Z,productcatalogservice,17129036,0,0,0
2026-09-05T17:12:02Z,checkoutservice,115961,370,12,158
2026-09-05T17:12:07Z,cartservice,4267109,0,0,0
2026-09-05T17:12:07Z,productcatalogservice,17137797,0,0,0
2026-09-05T17:12:07Z,checkoutservice,116008,370,12,158
2026-09-05T17:12:13Z,cartservice,4269143,0,0,0
2026-09-05T17:12:13Z,productcatalogservice,17146314,0,0,0
2026-09-05T17:12:13Z,checkoutservice,116055,370,12,158
2026-09-05T17:12:18Z,cartservice,4271509,0,0,0
2026-09-05T17:12:18Z,productcatalogservice,17155188,0,0,0
2026-09-05T17:12:18Z,checkoutservice,116106,370,12,158
2026-09-05T17:12:24Z,cartservice,4273510,0,0,0
2026-09-05T17:12:24Z,productcatalogservice,17163620,0,0,0
2026-09-05T17:12:24Z,checkoutservice,116149,370,12,158
2026-09-05T17:12:29Z,cartservice,4275905,0,0,0
2026-09-05T17:12:29Z,productcatalogservice,17172223,0,0,0
2026-09-05T17:12:29Z,checkoutservice,116203,370,12,158
2026-09-05T17:12:35Z,cartservice,4277909,0,0,0
2026-09-05T17:12:35Z,productcatalogservice,17181065,0,0,0
2026-09-05T17:12:35Z,checkoutservice,116244,370,12,158
2026-09-05T17:12:40Z,cartservice,4280055,0,0,0
2026-09-05T17:12:40Z,productcatalogservice,17189648,0,0,0
2026-09-05T17:12:40Z,checkoutservice,116292,370,12,158
2026-09-05T17:12:45Z,cartservice,4282309,0,0,0
2026-09-05T17:12:45Z,productcatalogservice,17198409,0,0,0
2026-09-05T17:12:45Z,checkoutservice,116336,370,12,158
2026-09-05T17:12:51Z,cartservice,4284332,0,0,0
2026-09-05T17:12:51Z,productcatalogservice,17206917,0,0,0
2026-09-05T17:12:51Z,checkoutservice,116381,370,12,158
2026-09-05T17:12:56Z,cartservice,4286709,0,0,0
2026-09-05T17:12:56Z,productcatalogservice,17215512,0,0,0
2026-09-05T17:12:56Z,checkoutservice,116428,370,12,158
