timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-05T17:10:24Z,frontend,0,52002816,1
2026-09-05T17:10:24Z,cartservice,5,82063360,1
2026-09-05T17:10:24Z,checkoutservice,3,18915328,1
2026-09-05T17:10:24Z,productcatalogservice,3,32993280,1
2026-09-05T17:10:24Z,paymentservice,3,39559168,1
2026-09-05T17:10:24Z,recommendationservice,8,106319872,1
2026-09-05T17:10:24Z,shippingservice,4,32186368,1
2026-09-05T17:10:24Z,currencyservice,4,89174016,1
2026-09-05T17:10:24Z,emailservice,8,92549120,1
2026-09-05T17:10:24Z,adservice,36,293593088,1
2026-09-05T17:10:24Z,redis-cart,5,36507648,1
2026-09-05T17:10:30Z,frontend,0,52002816,1
2026-09-05T17:10:30Z,cartservice,4,82063360,1
2026-09-05T17:10:30Z,checkoutservice,4,18931712,1
2026-09-05T17:10:30Z,productcatalogservice,3,32993280,1
2026-09-05T17:10:30Z,paymentservice,3,39559168,1
2026-09-05T17:10:30Z,recommendationservice,8,106319872,1
2026-09-05T17:10:30Z,shippingservice,5,32186368,1
2026-09-05T17:10:30Z,currencyservice,3,89174016,1
2026-09-05T17:10:30Z,emailservice,8,92549120,1
2026-09-05T17:10:30Z,adservice,29,293593088,1
2026-09-05T17:10:30Z,redis-cart,5,36507648,1
2026-09-05T17:10:35Z,frontend,0,52002816,1
2026-09-05T17:10:35Z,cartservice,4,82087936,1
2026-09-05T17:10:35Z,checkoutservice,4,18931712,1
2026-09-05T17:10:35Z,productcatalogservice,3,32993280,1
2026-09-05T17:10:35Z,paymentservice,3,39583744,1
2026-09-05T17:10:35Z,recommendationservice,8,106319872,1
2026-09-05T17:10:35Z,shippingservice,5,32210944,1
2026-09-05T17:10:35Z,currencyservice,3,89194496,1
2026-09-05T17:10:35Z,emailservice,8,92549120,1
2026-09-05T17:10:35Z,adservice,29,293593088,1
2026-09-05T17:10:35Z,redis-cart,5,36507648,1
2026-09-05T17:10:40Z,frontend,0,52002816,1
2026-09-05T17:10:40Z,cartservice,4,82087936,1
2026-09-05T17:10:40Z,checkoutservice,3,18931712,1
2026-09-05T17:10:40Z,productcatalogservice,4,32993280,1
2026-09-05T17:10:40Z,paymentservice,3,39583744,1
2026-09-05T17:10:40Z,recommendationservice,7,106319872,1
2026-09-05T17:10:40Z,shippingservice,5,32210944,1
2026-09-05T17:10:40Z,currencyservice,3,89194496,1
2026-09-05T17:10:40Z,emailservice,8,92549120,1
2026-09-05T17:10:40Z,adservice,33,293593088,1
2026-09-05T17:10:40Z,redis-cart,4,36507648,1
2026-09-05T17:10:45Z,frontend,0,52002816,1
2026-09-05T17:10:45Z,cartservice,4,82055168,1
2026-09-05T17:10:45Z,checkoutservice,3,18931712,1
2026-09-05T17:10:45Z,productcatalogservice,4,32993280,1
2026-09-05T17:10:45Z,paymentservice,3,39612416,1
2026-09-05T17:10:45Z,recommendationservice,7,106319872,1
2026-09-05T17:10:45Z,shippingservice,5,32227328,1
2026-09-05T17:10:45Z,currencyservice,3,89219072,1
2026-09-05T17:10:45Z,emailservice,8,92549120,1
2026-09-05T17:10:45Z,adservice,33,293593088,1
2026-09-05T17:10:45Z,redis-cart,4,36507648,1
2026-09-05T17:10:51Z,frontend,0,52002816,1
2026-09-05T17:10:51Z,cartservice,4,82055168,1
2026-09-05T17:10:51Z,checkoutservice,3,18939904,1
2026-09-05T17:10:51Z,productcatalogservice,3,31707136,1
2026-09-05T17:10:51Z,paymentservice,4,39612416,1
2026-09-05T17:10:51Z,recommendationservice,8,106319872,1
2026-09-05T17:10:51Z,shippingservice,5,32231424,1
2026-09-05T17:10:51Z,currencyservice,4,89219072,1
2026-09-05T17:10:51Z,emailservice,7,92549120,1
2026-09-05T17:10:51Z,adservice,30,293650432,1
2026-09-05T17:10:51Z,redis-cart,4,36507648,1
2026-09-05T17:10:56Z,frontend,0,52002816,1
2026-09-05T17:10:56Z,cartservice,4,82055168,1
2026-09-05T17:10:56Z,checkoutservice,3,18939904,1
2026-09-05T17:10:56Z,productcatalogservice,3,31707136,1
2026-09-05T17:10:56Z,paymentservice,4,39645184,1
2026-09-05T17:10:56Z,recommendationservice,8,106319872,1
2026-09-05T17:10:56Z,shippingservice,5,32280576,1
2026-09-05T17:10:56Z,currencyservice,4,89030656,1
2026-09-05T17:10:56Z,emailservice,7,92549120,1
2026-09-05T17:10:56Z,adservice,30,293650432,1
2026-09-05T17:10:56Z,redis-cart,4,36507648,1
2026-09-05T17:11:01Z,frontend,0,52002816,1
2026-09-05T17:11:01Z,cartservice,4,82055168,1
2026-09-05T17:11:01Z,checkoutservice,3,18939904,1
2026-09-05T17:11:01Z,productcatalogservice,4,31711232,1
2026-09-05T17:11:01Z,paymentservice,3,39645184,1
2026-09-05T17:11:01Z,recommendationservice,8,106319872,1
2026-09-05T17:11:01Z,shippingservice,5,32313344,1
2026-09-05T17:11:01Z,currencyservice,4,89030656,1
2026-09-05T17:11:01Z,emailservice,7,92549120,1
2026-09-05T17:11:01Z,adservice,26,293675008,1
2026-09-05T17:11:01Z,redis-cart,4,36507648,1
2026-09-05T17:11:06Z,frontend,0,52002816,1
2026-09-05T17:11:06Z,cartservice,4,82055168,1
2026-09-05T17:11:06Z,checkoutservice,3,18939904,1
2026-09-05T17:11:06Z,productcatalogservice,4,31711232,1
2026-09-05T17:11:06Z,paymentservice,3,39682048,1
2026-09-05T17:11:06Z,recommendationservice,8,106319872,1
2026-09-05T17:11:06Z,shippingservice,5,32317440,1
2026-09-05T17:11:06Z,currencyservice,4,89030656,1
2026-09-05T17:11:06Z,emailservice,7,92549120,1
2026-09-05T17:11:06Z,adservice,26,293650432,1
2026-09-05T17:11:06Z,redis-cart,4,36507648,1
2026-09-05T17:11:12Z,frontend,0,57716736,1
2026-09-05T17:11:12Z,cartservice,4,81948672,1
2026-09-05T17:11:12Z,checkoutservice,3,21594112,1
2026-09-05T17:11:12Z,productcatalogservice,3,32964608,1
2026-09-05T17:11:12Z,paymentservice,3,39464960,1
2026-09-05T17:11:12Z,recommendationservice,7,106319872,1
2026-09-05T17:11:12Z,shippingservice,4,32210944,1
2026-09-05T17:11:12Z,currencyservice,3,87695360,1
2026-09-05T17:11:12Z,emailservice,9,92549120,1
