RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,210.0,0
21.0,0.0,21.0,310.0,0
31.0,0.0,31.0,360.0,0
56.5,0.0,56.5,380.0,0
76.0,0.0,76.0,320.0,0
72.5,0.0,72.5,340.0,0
74.0,0.0,74.0,340.0,0
77.5,0.0,77.5,310.0,0
75.5,0.0,75.5,240.0,0
79.5,0.0,79.5,350.0,0
87.0,0.0,87.0,330.0,0
87.0,0.0,87.0,290.0,0
88.0,0.0,88.0,330.0,0
75.5,0.0,75.5,290.0,0
79.5,0.0,79.5,370.0,0
95.0,0.0,95.0,350.0,0
104.0,0.0,104.0,320.0,0
85.5,0.0,85.5,320.0,0
91.0,0.0,91.0,420.0,0
90.5,0.0,90.5,360.0,0
94.0,0.0,94.0,240.0,0
96.5,0.0,96.5,280.0,0
92.5,0.0,92.5,230.0,0
93.0,0.0,93.0,220.0,0
87.0,0.0,87.0,250.0,0
85.0,0.0,85.0,250.0,0
92.5,0.0,92.5,220.0,0
95.0,0.0,95.0,220.0,0
94.0,0.0,94.0,270.0,0
96.0,0.0,96.0,270.0,0
93.5,0.0,93.5,220.0,0
85.0,0.0,85.0,190.0,0
89.0,0.0,89.0,200.0,0
109.5,0.0,109.5,200.0,0
110.0,0.0,110.0,190.0,0
107.0,0.0,107.0,250.0,0
100.0,0.0,100.0,140.0,0
94.0,0.0,94.0,250.0,0
87.0,0.0,87.0,250.0,0
95.0,0.0,95.0,160.0,0
83.0,0.0,83.0,160.0,0
99.0,0.0,99.0,290.0,0
93.5,0.0,93.5,290.0,0
88.5,0.0,88.5,280.0,0
107.5,0.0,107.5,350.0,0
84.5,0.0,84.5,430.0,0
87.5,0.0,87.5,310.0,0
98.5,0.0,98.5,340.0,0
101.0,0.0,101.0,340.0,0
100.0,0.0,100.0,290.0,0
98.0,0.0,98.0,300.0,0
90.0,0.0,90.0,300.0,0
95.0,0.0,95.0,310.0,0
92.0,0.0,92.0,310.0,0
87.5,0.0,87.5,260.0,0
92.5,0.0,92.5,310.0,0
106.5,0.0,106.5,320.0,0
95.0,0.0,95.0,320.0,0
89.0,0.0,89.0,310.0,0
103.0,0.0,103.0,300.0,0
94.0,0.0,94.0,280.0,0
97.5,0.0,97.5,280.0,0
100.0,0.0,100.0,320.0,0
101.0,0.0,101.0,320.0,0
105.5,0.0,105.5,190.0,0
107.5,0.0,107.5,170.0,0
99.0,0.0,99.0,330.0,0
98.5,0.0,98.5,330.0,0
93.5,0.0,93.5,320.0,0
99.0,0.0,99.0,320.0,0
92.0,0.0,92.0,320.0,0
98.5,0.0,98.5,340.0,0
95.0,0.0,95.0,100.0,0
91.0,0.0,91.0,180.0,0
94.0,0.0,94.0,170.0,0
102.0,0.0,102.0,120.0,0
94.0,0.0,94.0,170.0,0
106.0,0.0,106.0,310.0,0
112.0,0.0,112.0,330.0,0
101.5,0.0,101.5,330.0,0
97.5,0.0,97.5,190.0,0
97.5,0.0,97.5,140.0,0
92.5,0.0,92.5,350.0,0
98.5,0.0,98.5,350.0,0
88.5,0.0,88.5,140.0,0
88.0,0.0,88.0,140.0,0
97.0,0.0,97.0,100.0,0
90.5,0.0,90.5,160.0,0
92.0,0.0,92.0,110.0,0
95.0,0.0,95.0,140.0,0
86.0,0.0,86.0,140.0,0
75.0,0.0,75.0,110.0,0
79.5,0.0,79.5,140.0,0
101.5,0.0,101.5,190.0,0
96.0,0.0,96.0,120.0,0
