timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T18:47:57Z,cartservice,6128900,0,0,0
2026-09-05T18:47:57Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:47:57Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:02Z,cartservice,6128900,0,0,0
2026-09-05T18:48:02Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:02Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:08Z,cartservice,6128900,0,0,0
2026-09-05T18:48:08Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:08Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:13Z,cartservice,6128900,0,0,0
2026-09-05T18:48:13Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:13Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:19Z,cartservice,6128900,0,0,0
2026-09-05T18:48:19Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:19Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:24Z,cartservice,6128900,0,0,0
2026-09-05T18:48:24Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:24Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:29Z,cartservice,6128900,0,0,0
2026-09-05T18:48:29Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:29Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:35Z,cartservice,6128900,0,0,0
2026-09-05T18:48:35Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:35Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:40Z,cartservice,6128900,0,0,0
2026-09-05T18:48:40Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:40Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:45Z,cartservice,6128900,0,0,0
2026-09-05T18:48:45Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:45Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:51Z,cartservice,6128900,0,0,0
2026-09-05T18:48:51Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:51Z,checkoutservice,152262,522,12,234
2026-09-05T18:48:56Z,cartservice,6128900,0,0,0
2026-09-05T18:48:56Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:48:56Z,checkoutservice,152262,522,12,234
2026-09-05T18:49:01Z,cartservice,6128900,0,0,0
2026-09-05T18:49:01Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:49:01Z,checkoutservice,152262,522,12,234
2026-09-05T18:49:07Z,cartservice,6128900,0,0,0
2026-09-05T18:49:07Z,productcatalogservice,24529088,0,0,0
2026-09-05T18:49:07Z,checkoutservice,152262,522,12,234
2026-09-05T18:49:12Z,cartservice,6130582,0,0,0
2026-09-05T18:49:12Z,productcatalogservice,24534566,0,0,0
2026-09-05T18:49:12Z,checkoutservice,152306,522,12,234
2026-09-05T18:49:18Z,cartservice,6132770,0,0,0
2026-09-05T18:49:18Z,productcatalogservice,24544108,0,0,0
2026-09-05T18:49:18Z,checkoutservice,152354,522,12,234
2026-09-05T18:49:23Z,cartservice,6135174,0,0,0
2026-09-05T18:49:23Z,productcatalogservice,24553674,0,0,0
2026-09-05T18:49:23Z,checkoutservice,152423,522,12,234
2026-09-05T18:49:28Z,cartservice,6137823,0,0,0
2026-09-05T18:49:28Z,productcatalogservice,24563608,0,0,0
2026-09-05T18:49:28Z,checkoutservice,152485,522,12,234
2026-09-05T18:49:34Z,cartservice,6140319,0,0,0
2026-09-05T18:49:34Z,productcatalogservice,24574042,0,0,0
2026-09-05T18:49:34Z,checkoutservice,152527,522,12,234
2026-09-05T18:49:39Z,cartservice,6143232,0,0,0
2026-09-05T18:49:39Z,productcatalogservice,24585151,0,0,0
2026-09-05T18:49:39Z,checkoutservice,152592,522,12,234
2026-09-05T18:49:45Z,cartservice,6146014,0,0,0
2026-09-05T18:49:45Z,productcatalogservice,24596068,0,0,0
2026-09-05T18:49:45Z,checkoutservice,152642,522,12,234
2026-09-05T18:49:50Z,cartservice,6148720,0,0,0
2026-09-05T18:49:50Z,productcatalogservice,24607244,0,0,0
2026-09-05T18:49:50Z,checkoutservice,152700,522,12,234
2026-09-05T18:49:55Z,cartservice,6151666,0,0,0
2026-09-05T18:49:55Z,productcatalogservice,24618440,0,0,0
2026-09-05T18:49:55Z,checkoutservice,152750,522,12,234
2026-09-05T18:50:01Z,cartservice,6154467,0,0,0
2026-09-05T18:50:01Z,productcatalogservice,24629464,0,0,0
2026-09-05T18:50:01Z,checkoutservice,152810,522,12,234
2026-09-05T18:50:06Z,cartservice,6157243,0,0,0
2026-09-05T18:50:06Z,productcatalogservice,24640507,0,0,0
2026-09-05T18:50:06Z,checkoutservice,152864,522,12,234
2026-09-05T18:50:12Z,cartservice,6160004,0,0,0
2026-09-05T18:50:12Z,productcatalogservice,24651971,0,0,0
2026-09-05T18:50:12Z,checkoutservice,152964,558,12,252
2026-09-05T18:50:17Z,cartservice,6162960,0,0,0
2026-09-05T18:50:17Z,productcatalogservice,24663250,0,0,0
2026-09-05T18:50:17Z,checkoutservice,153010,558,12,252
2026-09-05T18:50:23Z,cartservice,6165707,0,0,0
2026-09-05T18:50:23Z,productcatalogservice,24674281,0,0,0
2026-09-05T18:50:23Z,checkoutservice,153070,558,12,252
2026-09-05T18:50:28Z,cartservice,6168488,0,0,0
2026-09-05T18:50:28Z,productcatalogservice,24685454,0,0,0
2026-09-05T18:50:28Z,checkoutservice,153128,558,12,252
2026-09-05T18:50:34Z,cartservice,6171354,0,0,0
2026-09-05T18:50:34Z,productcatalogservice,24697238,0,0,0
2026-09-05T18:50:34Z,checkoutservice,153187,558,12,252
2026-09-05T18:50:39Z,cartservice,6174254,0,0,0
2026-09-05T18:50:39Z,productcatalogservice,24708478,0,0,0
2026-09-05T18:50:39Z,checkoutservice,153243,558,12,252
2026-09-05T18:50:45Z,cartservice,6176972,0,0,0
2026-09-05T18:50:45Z,productcatalogservice,24719980,0,0,0
2026-09-05T18:50:45Z,checkoutservice,153304,558,12,252
2026-09-05T18:50:50Z,cartservice,6179894,0,0,0
2026-09-05T18:50:50Z,productcatalogservice,24731198,0,0,0
2026-09-05T18:50:50Z,checkoutservice,153352,558,12,252
2026-09-05T18:50:56Z,cartservice,6182773,0,0,0
2026-09-05T18:50:56Z,productcatalogservice,24742591,0,0,0
2026-09-05T18:50:56Z,checkoutservice,153418,558,12,252
2026-09-05T18:51:01Z,cartservice,6185611,0,0,0
2026-09-05T18:51:01Z,productcatalogservice,24753708,0,0,0
2026-09-05T18:51:01Z,checkoutservice,153466,558,12,252
2026-09-05T18:51:07Z,cartservice,6188420,0,0,0
2026-09-05T18:51:07Z,productcatalogservice,24765047,0,0,0
2026-09-05T18:51:07Z,checkoutservice,153529,558,12,252
2026-09-05T18:51:12Z,cartservice,6191266,0,0,0
2026-09-05T18:51:12Z,productcatalogservice,24776418,0,0,0
2026-09-05T18:51:12Z,checkoutservice,153581,558,12,252
2026-09-05T18:51:18Z,cartservice,6194105,0,0,0
2026-09-05T18:51:18Z,productcatalogservice,24787631,0,0,0
2026-09-05T18:51:18Z,checkoutservice,153642,558,12,252
2026-09-05T18:51:23Z,cartservice,6196931,0,0,0
2026-09-05T18:51:23Z,productcatalogservice,24798947,0,0,0
2026-09-05T18:51:23Z,checkoutservice,153696,558,12,252
2026-09-05T18:51:28Z,cartservice,6199782,0,0,0
2026-09-05T18:51:28Z,productcatalogservice,24810498,0,0,0
2026-09-05T18:51:28Z,checkoutservice,153752,558,12,252
2026-09-05T18:51:34Z,cartservice,6202629,0,0,0
2026-09-05T18:51:34Z,productcatalogservice,24821826,0,0,0
2026-09-05T18:51:34Z,checkoutservice,153812,558,12,252
2026-09-05T18:51:39Z,cartservice,6205387,0,0,0
2026-09-05T18:51:39Z,productcatalogservice,24832724,0,0,0
2026-09-05T18:51:39Z,checkoutservice,153861,558,12,252
2026-09-05T18:51:45Z,cartservice,6208138,0,0,0
2026-09-05T18:51:45Z,productcatalogservice,24843988,0,0,0
2026-09-05T18:51:45Z,checkoutservice,153912,558,12,252
2026-09-05T18:51:50Z,cartservice,6211041,0,0,0
2026-09-05T18:51:50Z,productcatalogservice,24855404,0,0,0
2026-09-05T18:51:50Z,checkoutservice,153975,558,12,252
2026-09-05T18:51:56Z,cartservice,6213898,0,0,0
2026-09-05T18:51:56Z,productcatalogservice,24866797,0,0,0
2026-09-05T18:51:56Z,checkoutservice,154025,558,12,252
2026-09-05T18:52:01Z,cartservice,6216788,0,0,0
2026-09-05T18:52:01Z,productcatalogservice,24878231,0,0,0
2026-09-05T18:52:01Z,checkoutservice,154078,558,12,252
2026-09-05T18:52:07Z,cartservice,6219693,0,0,0
2026-09-05T18:52:07Z,productcatalogservice,24889895,0,0,0
2026-09-05T18:52:07Z,checkoutservice,154136,558,12,252
2026-09-05T18:52:12Z,cartservice,6222577,0,0,0
2026-09-05T18:52:12Z,productcatalogservice,24901317,0,0,0
2026-09-05T18:52:12Z,checkoutservice,154187,558,12,252
2026-09-05T18:52:18Z,cartservice,6225338,0,0,0
2026-09-05T18:52:18Z,productcatalogservice,24912463,0,0,0
2026-09-05T18:52:18Z,checkoutservice,154244,558,12,252
2026-09-05T18:52:23Z,cartservice,6228193,0,0,0
2026-09-05T18:52:23Z,productcatalogservice,24924170,0,0,0
