RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
24.0,0.0,24.0,452.0,0.0
200.0,0.0,200.0,624.0,0.0
321.0,1.0,320.0,814.0,0.0
370.0,21.5,348.5,900.0,0.0
382.0,59.0,323.0,964.0,0.0
386.0,76.0,310.0,1144.0,0.0
437.0,97.5,339.5,898.0,0.0
418.5,48.0,370.5,982.0,0.0
464.5,45.5,419.0,998.0,0.0
437.5,17.0,420.5,1086.0,0.0
454.0,13.0,441.0,1092.0,0.0
502.0,36.0,466.0,820.0,0.0
446.0,16.5,429.5,978.0,0.0
430.0,34.0,396.0,962.0,0.0
478.5,84.0,394.5,1092.0,0.0
510.0,77.5,432.5,1068.0,0.0
433.0,50.0,383.0,1094.0,0.0
463.0,154.0,309.0,1128.0,0.0
462.5,133.5,329.0,1136.0,0.0
476.5,157.5,319.0,1164.0,0.0
482.5,106.0,376.5,1144.0,0.0
462.5,109.0,353.5,1150.0,0.0
468.5,251.0,217.5,1230.0,0.0
489.0,206.5,282.5,1168.0,0.0
477.0,247.0,230.0,1272.0,0.0
472.5,279.5,193.0,1264.0,0.0
465.0,251.0,214.0,1212.0,0.0
473.0,275.0,198.0,1288.0,0.0
508.5,279.5,229.0,1094.0,0.0
453.5,269.5,184.0,1334.0,0.0
520.5,266.5,254.0,1154.0,0.0
473.5,284.5,189.0,1296.0,0.0
452.0,284.0,168.0,1256.0,0.0
519.5,306.5,213.0,1410.0,0.0
477.0,281.0,196.0,1362.0,0.0
469.5,299.0,170.5,1372.0,0.0
511.0,312.5,198.5,1386.0,0.0
464.0,270.0,194.0,1336.0,0.0
505.5,300.5,205.0,1156.0,0.0
493.5,291.5,202.0,1376.0,0.0
530.5,292.0,238.5,1352.0,0.0
441.0,267.0,174.0,1426.0,0.0
496.5,280.5,216.0,1406.0,0.0
551.0,266.0,285.0,1370.0,0.0
452.5,269.5,183.0,1274.0,0.0
448.5,270.0,178.5,1364.0,0.0
454.0,297.0,157.0,1404.0,0.0
500.5,322.0,178.5,1396.0,0.0
485.0,294.0,191.0,1174.0,0.0
449.5,268.5,181.0,1360.0,0.0
464.5,306.0,158.5,1460.0,0.0
492.0,312.5,179.5,1242.0,0.0
450.0,284.5,165.5,1490.0,0.0
438.5,271.5,167.0,1178.0,0.0
474.5,287.5,187.0,1392.0,0.0
478.5,297.0,181.5,1392.0,0.0
448.5,290.5,158.0,1426.0,0.0
491.5,297.0,194.5,1378.0,0.0
465.5,294.5,171.0,1318.0,0.0
515.5,323.0,192.5,1372.0,0.0
496.5,300.0,196.5,1184.0,0.0
403.5,245.0,158.5,1480.0,0.0
474.5,296.0,178.5,1338.0,0.0
493.5,311.0,182.5,1392.0,0.0
478.0,268.0,210.0,1354.0,0.0
534.5,259.5,275.0,1194.0,0.0
433.5,253.5,180.0,1334.0,0.0
470.5,297.5,173.0,1456.0,0.0
482.0,294.5,187.5,1230.0,0.0
446.0,278.5,167.5,1434.0,0.0
499.5,256.5,243.0,1414.0,0.0
463.0,285.0,178.0,1392.0,0.0
516.0,309.5,206.5,1388.0,0.0
519.5,289.5,230.0,1204.0,0.0
499.5,285.0,214.5,1390.0,0.0
493.0,273.0,220.0,1360.0,0.0
479.5,287.0,192.5,1300.0,0.0
490.0,275.5,214.5,1382.0,0.0
533.0,261.0,272.0,1322.0,0.0
528.5,242.0,286.5,1076.0,0.0
498.5,237.0,261.5,1298.0,0.0
527.5,263.5,264.0,1280.0,0.0
552.5,252.0,300.5,1144.0,0.0
496.5,266.0,230.5,1180.0,0.0
519.5,319.5,200.0,1074.0,0.0
475.0,275.0,200.0,1172.0,0.0
489.0,298.5,190.5,1110.0,0.0
525.5,325.5,200.0,1120.0,0.0
545.5,263.0,282.5,1040.0,0.0
542.5,200.5,342.0,1078.0,0.0
520.5,299.0,221.5,936.0,0.0
468.0,290.5,177.5,1112.4,0.0
459.5,279.0,180.5,1221.4,0.0
490.0,312.5,177.5,1260.0,0.0
551.5,266.0,285.5,1178.0,0.0
541.5,175.5,366.0,989.8,0.0
541.0,301.0,240.0,1129.2,0.0
520.0,270.5,249.5,950.0,0.0
545.0,259.0,286.0,1170.0,0.0
535.0,205.5,329.5,1182.0,0.0
524.0,191.5,332.5,1064.0,0.0
530.5,219.0,311.5,1059.4,0.0
500.0,219.5,280.5,1184.0,0.0
482.5,304.0,178.5,1186.0,0.0
487.0,299.0,188.0,1066.0,0.0
509.5,306.5,203.0,1094.0,0.0
533.5,284.0,249.5,1010.0,0.0
532.0,263.0,269.0,1172.0,0.0
510.5,264.5,246.0,1212.0,0.0
514.0,242.0,272.0,1120.0,0.0
522.0,166.5,355.5,898.2,0.0
480.0,263.5,216.5,1150.0,0.0
538.0,301.0,237.0,1066.0,0.0
538.0,226.5,311.5,1064.0,0.0
524.5,215.5,309.0,1044.0,0.0
529.5,249.0,280.5,1112.0,0.0
522.0,275.5,246.5,1002.0,0.0
539.5,228.5,311.0,1192.0,0.0
534.5,186.0,348.5,1236.0,0.0
527.0,228.0,299.0,1058.0,0.0
568.0,158.5,409.5,1048.0,0.0
560.0,116.0,444.0,988.8,0.0
526.5,145.5,381.0,1058.0,0.0
562.5,167.0,395.5,975.6,0.0
564.5,119.5,445.0,1048.0,0.0
524.5,107.0,417.5,1056.0,0.0
529.5,117.0,412.5,1132.6,0.0
520.0,183.5,336.5,1164.0,0.0
537.5,219.0,318.5,1112.0,0.0
529.0,232.5,296.5,895.8,0.0
529.0,149.5,379.5,1040.0,0.0
557.5,112.0,445.5,890.8,0.0
565.0,93.0,472.0,1056.8,0.0
503.0,153.5,349.5,1142.0,0.0
547.5,206.0,341.5,1120.0,0.0
518.5,107.0,411.5,1044.0,0.0
496.5,157.5,339.0,1104.0,0.0
557.5,185.5,372.0,1122.0,0.0
527.0,262.0,265.0,1098.0,0.0
544.5,215.0,329.5,1122.0,0.0
551.5,160.5,391.0,1028.0,0.0
538.5,114.5,424.0,1040.2,0.0
532.5,189.0,343.5,1014.4,0.0
551.0,153.5,397.5,1104.0,0.0
566.5,109.5,457.0,895.6,0.0
567.0,76.0,491.0,1040.0,0.0
523.0,114.0,409.0,1058.0,0.0
555.5,250.0,305.5,1011.4,0.0
535.5,181.5,354.0,1001.8,0.0
523.0,164.5,358.5,922.0,0.0
533.0,189.5,343.5,998.8,0.0
519.0,199.0,320.0,1066.0,0.0
507.5,247.0,260.5,1106.0,0.0
548.0,300.5,247.5,994.0,0.0
538.0,231.5,306.5,1000.0,0.0
529.0,241.5,287.5,984.0,0.0
525.0,238.0,287.0,1041.0,0.0
482.0,248.5,233.5,1132.0,0.0
