RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
17.0,0.0,17.0,470.0,0
22.5,0.0,22.5,860.0,0
99.5,0.0,99.5,1300.0,0
155.5,38.0,117.5,1000.0,0
148.5,1.0,147.5,940.0,0
110.0,0.0,110.0,1200.0,0
217.0,39.0,178.0,860.0,0
165.0,0.0,165.0,1000.0,0
149.5,1.5,148.0,1100.0,0
172.0,19.0,153.0,1000.0,0
177.0,1.0,176.0,1000.0,0
167.5,2.0,165.5,990.0,0
175.0,4.0,171.0,1000.0,0
171.0,1.0,170.0,880.0,0
114.5,0.0,114.5,1100.0,0
159.0,6.0,153.0,1100.0,0
217.0,7.5,209.5,910.0,0
190.0,1.0,189.0,950.0,0
172.5,1.0,171.5,830.0,0
180.0,1.0,179.0,1000.0,0
156.0,2.0,154.0,1200.0,0
195.0,24.5,170.5,1000.0,0
196.0,9.0,187.0,1000.0,0
197.5,11.5,186.0,1000.0,0
190.5,8.5,182.0,1000.0,0
168.5,16.0,152.5,1200.0,0
207.0,52.0,155.0,1300.0,0
204.0,57.0,147.0,1200.0,0
197.0,43.0,154.0,1300.0,0
205.5,20.0,185.5,980.0,0
197.5,3.5,194.0,1000.0,0
198.0,9.0,189.0,1100.0,0
204.5,16.0,188.5,1200.0,0
195.0,24.5,170.5,1200.0,0
175.5,66.0,109.5,1600.0,0
199.0,85.5,113.5,1200.0,0
225.0,53.0,172.0,1100.0,0
196.0,55.0,141.0,1300.0,0
201.0,76.0,125.0,1600.0,0
197.0,77.0,120.0,1300.0,0
214.5,29.0,185.5,1100.0,0
213.0,27.0,186.0,1100.0,0
210.0,40.5,169.5,1200.0,0
205.0,37.0,168.0,1600.0,0
207.5,42.5,165.0,1300.0,0
210.0,45.5,164.5,1400.0,0
187.5,64.5,123.0,1800.0,0
189.0,58.0,131.0,1600.0,0
190.5,79.5,111.0,1400.0,0
236.5,61.5,175.0,1500.0,0
208.0,31.0,177.0,1300.0,0
201.5,8.5,193.0,1000.0,0
184.5,16.0,168.5,1600.0,0
208.5,35.0,173.5,1500.0,0
199.0,22.0,177.0,1100.0,0
187.0,17.0,170.0,1200.0,0
188.0,26.0,162.0,1600.0,0
196.5,25.5,171.0,1100.0,0
207.5,24.5,183.0,1100.0,0
194.5,6.5,188.0,1100.0,0
207.5,10.5,197.0,1000.0,0
196.5,6.5,190.0,1000.0,0
177.0,13.0,164.0,1100.0,0
191.5,54.0,137.5,1400.0,0
172.0,91.5,80.5,1500.0,0
204.5,96.5,108.0,1400.0,0
157.5,43.5,114.0,1500.0,0
212.0,66.5,145.5,1600.0,0
201.0,89.0,112.0,1500.0,0
210.0,107.5,102.5,1600.0,0
186.0,93.0,93.0,1700.0,0
195.0,105.5,89.5,1500.0,0
224.5,116.5,108.0,1700.0,0
194.5,97.0,97.5,1600.0,0
197.5,112.0,85.5,1500.0,0
213.0,84.5,128.5,1700.0,0
213.0,65.5,147.5,1100.0,0
211.5,31.0,180.5,1500.0,0
214.0,38.0,176.0,1300.0,0
207.0,41.5,165.5,1500.0,0
176.0,64.0,112.0,1400.0,0
216.0,74.5,141.5,1400.0,0
239.5,50.5,189.0,1200.0,0
167.5,44.5,123.0,1400.0,0
198.0,103.5,94.5,1300.0,0
204.0,88.0,116.0,1300.0,0
216.5,52.5,164.0,1200.0,0
175.5,33.5,142.0,1400.0,0
194.5,99.0,95.5,1500.0,0
223.0,113.5,109.5,1400.0,0
189.5,59.5,130.0,1300.0,0
180.0,79.0,101.0,1400.0,0
196.5,136.0,60.5,1500.0,0
208.5,115.5,93.0,1400.0,0
198.0,82.0,116.0,1400.0,0
218.0,63.0,155.0,1300.0,0
186.5,37.0,149.5,1200.0,0
198.0,57.0,141.0,1400.0,0
206.0,117.5,88.5,1600.0,0
226.0,87.5,138.5,1300.0,0
195.5,36.0,159.5,1300.0,0
180.0,59.0,121.0,1500.0,0
190.0,85.0,105.0,1500.0,0
202.0,37.5,164.5,1300.0,0
204.0,50.0,154.0,1300.0,0
197.5,65.5,132.0,1500.0,0
201.5,92.0,109.5,1500.0,0
195.5,116.5,79.0,1300.0,0
199.5,93.0,106.5,1300.0,0
202.5,49.0,153.5,1300.0,0
200.0,60.5,139.5,1300.0,0
196.0,101.5,94.5,1500.0,0
204.5,75.5,129.0,1300.0,0
188.0,49.0,139.0,1300.0,0
191.5,82.0,109.5,1600.0,0
198.0,114.0,84.0,1600.0,0
207.5,110.0,97.5,1300.0,0
196.5,72.5,124.0,1200.0,0
177.5,68.5,109.0,1400.0,0
195.5,108.0,87.5,1500.0,0
203.0,143.5,59.5,1600.0,0
178.0,142.0,36.0,1600.0,0
230.0,137.5,92.5,1600.0,0
176.0,94.0,82.0,1400.0,0
183.0,148.5,34.5,1400.0,0
218.0,157.5,60.5,1500.0,0
203.0,74.0,129.0,1400.0,0
193.5,67.5,126.0,1400.0,0
177.5,106.0,71.5,1500.0,0
197.0,169.5,27.5,1700.0,0
189.0,131.5,57.5,1500.0,0
180.0,107.5,72.5,1500.0,0
203.0,115.5,87.5,1500.0,0
211.5,118.0,93.5,1300.0,0
192.0,150.0,42.0,1400.0,0
174.0,171.5,2.5,1500.0,0
