RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
67.0,0.0,67.0,694.0,0.0
140.5,33.0,107.5,852.0,0.0
216.5,59.5,157.0,958.0,0.0
276.0,151.0,125.0,1240.0,0.0
244.5,141.5,103.0,1472.0,0.0
226.5,130.5,96.0,1774.0,0.0
264.5,156.5,108.0,1782.0,0.0
273.5,169.5,104.0,1516.0,0.0
219.5,135.0,84.5,1630.0,0.0
237.0,154.0,83.0,1711.2,0.0
232.5,151.0,81.5,1673.6,0.0
222.5,133.0,89.5,2072.0,0.0
207.0,123.5,83.5,2217.6,0.0
232.5,142.5,90.0,1920.4,0.0
246.5,143.5,103.0,2104.0,0.0
294.5,187.0,107.5,2292.0,0.0
562.5,415.0,147.5,1860.0,0.0
574.0,386.5,187.5,327.6,0.0
403.5,203.5,200.0,468.0,0.0
486.5,249.5,237.0,776.0,0.0
346.5,146.5,200.0,858.0,0.0
262.5,71.0,191.5,1308.0,0.0
262.5,136.5,126.0,1578.0,0.0
233.5,127.5,106.0,1818.0,0.0
220.5,130.5,90.0,2109.8,0.0
231.5,142.5,89.0,2211.2,0.0
234.5,139.0,95.5,2011.2,0.0
224.5,124.0,100.5,2073.0,0.0
242.5,143.0,99.5,2436.0,0.0
222.5,141.0,81.5,2237.0,0.0
227.0,144.5,82.5,2254.0,0.0
259.0,174.0,85.0,2234.8,0.0
413.5,296.5,117.0,2510.0,0.0
644.0,440.5,203.5,2412.0,0.0
496.0,275.5,220.5,420.0,0.0
532.5,258.0,274.5,696.0,0.0
658.0,396.0,262.0,175.8,0.0
550.5,343.5,207.0,218.0,0.0
550.5,360.0,190.5,225.2,0.0
552.0,338.5,213.5,161.0,0.0
544.5,340.5,204.0,238.0,0.0
551.0,345.5,205.5,258.0,0.0
549.0,347.0,202.0,243.6,0.0
548.0,348.0,200.0,198.4,0.0
550.0,364.0,186.0,154.4,0.0
551.0,354.0,197.0,239.0,0.0
551.5,350.5,201.0,291.8,0.0
554.0,352.0,202.0,160.0,0.0
550.0,344.0,206.0,175.6,0.0
547.0,342.0,205.0,171.0,0.0
546.5,348.5,198.0,176.2,0.0
550.5,352.5,198.0,108.2,0.0
559.0,355.5,203.5,121.2,0.0
547.0,352.5,194.5,197.6,0.0
549.5,360.5,189.0,86.2,0.0
561.0,363.0,198.0,94.0,0.0
547.5,365.5,182.0,130.0,0.0
549.0,357.5,191.5,88.6,0.0
539.0,354.0,185.0,130.4,0.0
551.0,358.0,193.0,104.4,0.0
549.5,336.0,213.5,169.0,0.0
560.5,356.5,204.0,147.4,0.0
549.5,352.0,197.5,132.2,0.0
553.5,358.0,195.5,161.6,0.0
547.0,350.0,197.0,123.2,0.0
552.5,365.0,187.5,81.0,0.0
556.5,353.5,203.0,93.2,0.0
549.5,332.5,217.0,109.8,0.0
543.5,351.0,192.5,210.8,0.0
492.5,303.5,189.0,281.2,0.0
583.5,375.0,208.5,170.6,0.0
627.0,391.0,236.0,169.0,0.0
563.0,359.5,203.5,181.0,0.0
518.5,328.0,190.5,191.6,0.0
576.0,372.0,204.0,127.0,0.0
530.0,325.0,205.0,199.8,0.0
503.0,310.5,192.5,208.8,0.0
556.5,351.0,205.5,313.4,0.0
543.0,346.0,197.0,184.6,0.0
600.0,388.0,212.0,147.4,0.0
574.5,370.0,204.5,224.8,0.0
542.5,337.0,205.5,178.8,0.0
575.5,366.5,209.0,98.6,0.0
585.5,392.0,193.5,57.4,0.0
550.5,359.5,191.0,66.8,0.0
547.5,342.0,205.5,84.8,0.0
548.0,343.0,205.0,84.0,0.0
554.0,348.0,206.0,71.4,0.0
556.0,360.0,196.0,52.8,0.0
558.5,354.5,204.0,64.0,0.0
545.5,359.5,186.0,57.2,0.0
547.0,363.0,184.0,57.2,0.0
546.5,348.5,198.0,57.2,0.0
549.0,346.5,202.5,52.0,0.0
546.0,343.0,203.0,81.2,0.0
552.5,352.5,200.0,80.2,0.0
544.5,342.0,202.5,56.6,0.0
554.5,352.5,202.0,57.6,0.0
554.0,354.0,200.0,57.0,0.0
554.0,356.0,198.0,73.0,0.0
547.0,355.5,191.5,65.4,0.0
559.0,362.5,196.5,66.2,0.0
551.0,355.0,196.0,61.6,0.0
571.5,352.5,219.0,88.8,0.0
554.0,350.0,204.0,53.6,0.0
547.5,347.5,200.0,50.2,0.0
546.5,351.0,195.5,52.0,0.0
548.0,357.5,190.5,66.8,0.0
557.0,362.5,194.5,55.6,0.0
549.5,363.0,186.5,58.2,0.0
559.0,357.5,201.5,64.4,0.0
552.5,351.5,201.0,52.8,0.0
546.0,354.5,191.5,82.2,0.0
556.0,357.0,199.0,51.2,0.0
557.0,352.5,204.5,50.4,0.0
543.0,353.0,190.0,76.0,0.0
547.5,351.5,196.0,79.6,0.0
553.0,350.5,202.5,53.2,0.0
542.5,349.5,193.0,63.6,0.0
552.5,350.5,202.0,56.8,0.0
561.0,351.5,209.5,57.8,0.0
547.0,353.0,194.0,133.0,0.0
552.0,345.0,207.0,52.8,0.0
545.5,346.5,199.0,112.8,0.0
