RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
11.0,0.0,11.0,1100.0,0
25.0,14.0,11.0,1400.0,0
62.0,62.0,0.0,1700.0,0
95.5,95.5,0.0,2000.0,0
93.0,93.0,0.0,2400.0,0
71.0,71.0,0.0,2700.0,0
83.5,83.5,0.0,2800.0,0
92.5,92.5,0.0,2800.0,0
95.0,95.0,0.0,2800.0,0
84.5,84.5,0.0,2800.0,0
90.0,90.0,0.0,2700.0,0
84.5,84.5,0.0,2700.0,0
94.5,94.5,0.0,2700.0,0
82.5,82.5,0.0,3000.0,0
127.5,127.5,0.0,3000.0,0
245.0,245.0,0.0,3000.0,0
233.5,233.5,0.0,150.0,0
119.5,108.0,11.5,830.0,0
164.5,128.5,36.0,830.0,0
172.5,128.5,44.0,1100.0,0
72.5,45.0,27.5,1900.0,0
75.5,75.5,0.0,2500.0,0
71.5,71.5,0.0,3000.0,0
92.5,92.5,0.0,3400.0,0
89.5,89.5,0.0,3600.0,0
101.5,101.5,0.0,3500.0,0
97.5,97.5,0.0,3700.0,0
85.5,85.5,0.0,3600.0,0
95.0,95.0,0.0,3600.0,0
100.5,100.5,0.0,3500.0,0
100.0,100.0,0.0,4000.0,0
178.0,178.0,0.0,3900.0,0
229.5,229.5,0.0,3700.0,0
242.0,242.0,0.0,3500.0,0
169.5,164.5,5.0,910.0,0
253.5,206.0,47.5,160.0,0
203.5,203.5,0.0,150.0,0
203.0,203.0,0.0,150.0,0
190.5,190.5,0.0,160.0,0
185.0,185.0,0.0,180.0,0
195.5,195.5,0.0,120.0,0
180.5,180.5,0.0,120.0,0
193.0,193.0,0.0,130.0,0
191.5,191.5,0.0,130.0,0
193.5,193.5,0.0,130.0,0
193.0,193.0,0.0,180.0,0
182.5,182.5,0.0,180.0,0
187.5,187.5,0.0,110.0,0
182.0,182.0,0.0,110.0,0
192.0,192.0,0.0,120.0,0
186.5,186.5,0.0,91.0,0
189.5,189.5,0.0,86.0,0
197.0,197.0,0.0,97.0,0
191.5,191.5,0.0,93.0,0
196.5,196.5,0.0,78.0,0
215.5,215.5,0.0,95.0,0
198.0,198.0,0.0,94.0,0
186.0,186.0,0.0,73.0,0
189.5,189.5,0.0,71.0,0
203.0,203.0,0.0,61.0,0
192.0,192.0,0.0,74.0,0
199.5,199.5,0.0,92.0,0
198.5,198.5,0.0,92.0,0
193.5,193.5,0.0,99.0,0
197.0,197.0,0.0,94.0,0
211.0,211.0,0.0,91.0,0
202.0,202.0,0.0,93.0,0
211.0,211.0,0.0,80.0,0
210.0,210.0,0.0,100.0,0
203.5,203.5,0.0,100.0,0
185.5,185.5,0.0,110.0,0
184.5,184.5,0.0,110.0,0
199.0,199.0,0.0,99.0,0
203.0,203.0,0.0,100.0,0
197.5,197.5,0.0,92.0,0
191.0,191.0,0.0,85.0,0
190.0,190.0,0.0,93.0,0
196.5,196.5,0.0,130.0,0
194.5,194.5,0.0,130.0,0
166.5,166.5,0.0,120.0,0
193.5,193.5,0.0,110.0,0
196.0,196.0,0.0,100.0,0
195.0,195.0,0.0,160.0,0
194.5,194.5,0.0,160.0,0
191.0,191.0,0.0,68.0,0
189.0,189.0,0.0,46.0,0
200.5,200.5,0.0,45.0,0
187.0,187.0,0.0,58.0,0
190.5,190.5,0.0,59.0,0
188.0,188.0,0.0,56.0,0
198.5,198.5,0.0,40.0,0
210.5,210.5,0.0,39.0,0
218.5,218.5,0.0,45.0,0
205.5,205.5,0.0,52.0,0
207.0,207.0,0.0,56.0,0
206.5,206.5,0.0,44.0,0
196.5,196.5,0.0,44.0,0
201.0,201.0,0.0,55.0,0
193.5,193.5,0.0,57.0,0
191.5,191.5,0.0,58.0,0
197.0,197.0,0.0,55.0,0
197.0,197.0,0.0,45.0,0
192.0,192.0,0.0,47.0,0
190.5,190.5,0.0,47.0,0
202.5,202.5,0.0,88.0,0
203.5,203.5,0.0,88.0,0
191.0,191.0,0.0,65.0,0
183.0,183.0,0.0,64.0,0
197.0,197.0,0.0,47.0,0
208.0,208.0,0.0,49.0,0
203.5,203.5,0.0,40.0,0
197.0,197.0,0.0,45.0,0
191.5,191.5,0.0,43.0,0
197.5,197.5,0.0,44.0,0
208.0,208.0,0.0,58.0,0
197.0,197.0,0.0,63.0,0
202.0,202.0,0.0,63.0,0
191.0,191.0,0.0,57.0,0
182.5,182.5,0.0,49.0,0
176.0,176.0,0.0,58.0,0
186.0,186.0,0.0,56.0,0
188.0,188.0,0.0,37.0,0
183.0,183.0,0.0,42.0,0
198.0,198.0,0.0,55.0,0
201.5,201.5,0.0,58.0,0
193.0,193.0,0.0,43.0,0
194.5,194.5,0.0,64.0,0
191.5,191.5,0.0,120.0,0
197.5,197.5,0.0,58.0,0
198.5,198.5,0.0,64.0,0
200.0,200.0,0.0,66.0,0
202.0,202.0,0.0,50.0,0
198.0,198.0,0.0,49.0,0
192.5,192.5,0.0,79.0,0
195.0,195.0,0.0,51.0,0
193.0,193.0,0.0,49.0,0
199.0,199.0,0.0,51.0,0
198.5,198.5,0.0,61.0,0
189.0,189.0,0.0,65.0,0
192.5,192.5,0.0,77.0,0
192.5,192.5,0.0,45.0,0
190.0,190.0,0.0,56.0,0
200.0,200.0,0.0,56.0,0
194.5,194.5,0.0,41.0,0
204.5,204.5,0.0,42.0,0
209.0,209.0,0.0,48.0,0
207.5,207.5,0.0,35.0,0
200.5,200.5,0.0,42.0,0
197.5,197.5,0.0,39.0,0
198.0,198.0,0.0,43.0,0
196.0,196.0,0.0,66.0,0
189.5,189.5,0.0,66.0,0
185.5,185.5,0.0,56.0,0
193.5,193.5,0.0,56.0,0
195.5,195.5,0.0,45.0,0
200.0,200.0,0.0,41.0,0
191.0,191.0,0.0,40.0,0
189.5,189.5,0.0,61.0,0
191.5,191.5,0.0,60.0,0
209.0,209.0,0.0,57.0,0
203.0,203.0,0.0,57.0,0
194.0,194.0,0.0,36.0,0
189.5,189.5,0.0,76.0,0
196.5,196.5,0.0,56.0,0
200.5,200.5,0.0,60.0,0
196.5,196.5,0.0,60.0,0
193.5,193.5,0.0,52.0,0
199.0,199.0,0.0,51.0,0
205.0,205.0,0.0,65.0,0
204.0,204.0,0.0,65.0,0
