timestamp,service,cpu_millicores,memory_working_set_bytes,replica_count
2026-09-05T21:51:28Z,frontend,0,58900480,1
2026-09-05T21:51:28Z,cartservice,3,79065088,1
2026-09-05T21:51:28Z,checkoutservice,3,19193856,1
2026-09-05T21:51:28Z,productcatalogservice,3,12136448,1
2026-09-05T21:51:28Z,paymentservice,3,39231488,1
2026-09-05T21:51:28Z,recommendationservice,9,41562112,1
2026-09-05T21:51:28Z,shippingservice,4,32043008,1
2026-09-05T21:51:28Z,currencyservice,3,89731072,1
2026-09-05T21:51:28Z,emailservice,6,93020160,1
2026-09-05T21:51:28Z,adservice,21,321372160,1
2026-09-05T21:51:28Z,redis-cart,4,39415808,1
2026-09-05T21:51:34Z,frontend,0,58900480,1
2026-09-05T21:51:34Z,cartservice,3,79065088,1
2026-09-05T21:51:34Z,checkoutservice,3,19197952,1
2026-09-05T21:51:34Z,productcatalogservice,3,12136448,1
2026-09-05T21:51:34Z,paymentservice,3,39243776,1
2026-09-05T21:51:34Z,recommendationservice,7,41562112,1
2026-09-05T21:51:34Z,shippingservice,4,32108544,1
2026-09-05T21:51:34Z,currencyservice,3,89743360,1
2026-09-05T21:51:34Z,emailservice,6,93020160,1
2026-09-05T21:51:34Z,adservice,22,321372160,1
2026-09-05T21:51:34Z,redis-cart,4,39415808,1
2026-09-05T21:51:39Z,frontend,0,58900480,1
2026-09-05T21:51:39Z,cartservice,3,79065088,1
2026-09-05T21:51:39Z,checkoutservice,3,23003136,1
2026-09-05T21:51:39Z,productcatalogservice,3,12001280,1
2026-09-05T21:51:39Z,paymentservice,3,39243776,1
2026-09-05T21:51:39Z,recommendationservice,7,41566208,1
2026-09-05T21:51:39Z,shippingservice,4,32174080,1
2026-09-05T21:51:39Z,currencyservice,3,89743360,1
2026-09-05T21:51:39Z,emailservice,6,93020160,1
2026-09-05T21:51:39Z,adservice,22,321372160,1
2026-09-05T21:51:39Z,redis-cart,4,39415808,1
2026-09-05T21:51:44Z,frontend,0,58900480,1
2026-09-05T21:51:44Z,cartservice,4,79065088,1
2026-09-05T21:51:44Z,checkoutservice,3,19197952,1
2026-09-05T21:51:44Z,productcatalogservice,4,12001280,1
2026-09-05T21:51:44Z,paymentservice,3,39256064,1
2026-09-05T21:51:44Z,recommendationservice,6,41574400,1
2026-09-05T21:51:44Z,shippingservice,4,32231424,1
2026-09-05T21:51:44Z,currencyservice,3,89755648,1
2026-09-05T21:51:44Z,emailservice,7,93028352,1
2026-09-05T21:51:44Z,adservice,19,321372160,1
2026-09-05T21:51:44Z,redis-cart,4,39415808,1
2026-09-05T21:51:49Z,frontend,0,58900480,1
2026-09-05T21:51:49Z,cartservice,4,79065088,1
2026-09-05T21:51:49Z,checkoutservice,3,19197952,1
2026-09-05T21:51:49Z,productcatalogservice,4,12009472,1
2026-09-05T21:51:49Z,paymentservice,3,39256064,1
