RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,240.0,0
30.0,0.0,30.0,230.0,0
47.5,0.0,47.5,360.0,0
75.5,0.0,75.5,260.0,0
70.5,0.0,70.5,320.0,0
63.5,0.0,63.5,330.0,0
63.5,0.0,63.5,290.0,0
80.5,0.0,80.5,330.0,0
74.5,0.0,74.5,340.0,0
72.0,0.0,72.0,330.0,0
95.5,0.0,95.5,300.0,0
87.0,0.0,87.0,310.0,0
77.5,0.0,77.5,300.0,0
84.0,0.0,84.0,290.0,0
75.5,0.0,75.5,300.0,0
90.0,0.0,90.0,310.0,0
87.0,0.0,87.0,290.0,0
86.0,0.0,86.0,290.0,0
91.0,0.0,91.0,290.0,0
89.5,0.0,89.5,260.0,0
84.0,0.0,84.0,370.0,0
94.5,0.0,94.5,300.0,0
96.0,0.0,96.0,320.0,0
94.0,0.0,94.0,320.0,0
90.0,0.0,90.0,280.0,0
93.0,0.0,93.0,310.0,0
93.5,0.0,93.5,310.0,0
89.0,0.0,89.0,320.0,0
91.0,0.0,91.0,320.0,0
106.0,0.0,106.0,230.0,0
98.5,0.0,98.5,230.0,0
81.5,0.0,81.5,260.0,0
90.5,0.0,90.5,230.0,0
99.0,0.0,99.0,280.0,0
97.5,0.0,97.5,300.0,0
105.0,0.0,105.0,350.0,0
109.0,0.0,109.0,290.0,0
93.5,0.0,93.5,320.0,0
98.0,0.0,98.0,320.0,0
97.0,0.0,97.0,370.0,0
104.5,0.0,104.5,320.0,0
104.5,0.0,104.5,270.0,0
102.5,0.0,102.5,270.0,0
98.5,0.0,98.5,250.0,0
104.5,0.0,104.5,290.0,0
107.5,0.0,107.5,240.0,0
103.5,0.0,103.5,210.0,0
105.5,0.0,105.5,300.0,0
101.5,0.0,101.5,300.0,0
104.0,0.0,104.0,300.0,0
103.0,0.0,103.0,280.0,0
103.0,0.0,103.0,240.0,0
99.5,0.0,99.5,250.0,0
90.5,0.0,90.5,300.0,0
106.5,0.0,106.5,270.0,0
102.0,0.0,102.0,290.0,0
106.0,0.0,106.0,290.0,0
102.0,0.0,102.0,320.0,0
105.0,0.0,105.0,320.0,0
99.5,0.0,99.5,290.0,0
102.0,0.0,102.0,310.0,0
94.0,0.0,94.0,310.0,0
96.5,0.0,96.5,280.0,0
97.5,0.0,97.5,280.0,0
96.5,0.0,96.5,330.0,0
97.0,0.0,97.0,340.0,0
90.5,0.0,90.5,470.0,0
95.5,0.0,95.5,450.0,0
106.0,0.0,106.0,280.0,0
97.5,0.0,97.5,280.0,0
103.5,0.0,103.5,360.0,0
108.5,0.0,108.5,360.0,0
105.5,0.0,105.5,240.0,0
105.5,0.0,105.5,240.0,0
91.5,0.0,91.5,270.0,0
93.5,0.0,93.5,370.0,0
97.0,0.0,97.0,370.0,0
89.5,0.0,89.5,320.0,0
99.0,0.0,99.0,320.0,0
98.0,0.0,98.0,270.0,0
103.0,0.0,103.0,270.0,0
102.0,0.0,102.0,300.0,0
93.0,0.0,93.0,380.0,0
97.0,0.0,97.0,380.0,0
94.5,0.0,94.5,380.0,0
89.0,0.0,89.0,300.0,0
100.5,0.0,100.5,220.0,0
107.0,0.0,107.0,220.0,0
96.0,0.0,96.0,310.0,0
96.0,0.0,96.0,270.0,0
100.0,0.0,100.0,280.0,0
92.0,0.0,92.0,280.0,0
105.0,0.0,105.0,290.0,0
101.0,0.0,101.0,280.0,0
118.5,0.0,118.5,190.0,0
93.5,0.0,93.5,220.0,0
94.5,0.0,94.5,200.0,0
102.5,0.0,102.5,220.0,0
103.0,0.0,103.0,210.0,0
97.5,0.0,97.5,210.0,0
108.0,0.0,108.0,280.0,0
96.5,0.0,96.5,250.0,0
104.0,0.0,104.0,250.0,0
111.0,0.0,111.0,250.0,0
99.0,0.0,99.0,250.0,0
105.5,0.0,105.5,240.0,0
107.0,0.0,107.0,210.0,0
103.5,0.0,103.5,260.0,0
93.5,0.0,93.5,260.0,0
99.0,0.0,99.0,250.0,0
98.5,0.0,98.5,210.0,0
100.5,0.0,100.5,270.0,0
90.0,0.0,90.0,270.0,0
88.5,0.0,88.5,270.0,0
92.5,0.0,92.5,290.0,0
105.0,0.0,105.0,260.0,0
98.0,0.0,98.0,220.0,0
95.0,0.0,95.0,200.0,0
107.0,0.0,107.0,250.0,0
114.0,0.0,114.0,220.0,0
110.5,0.0,110.5,290.0,0
111.5,0.0,111.5,270.0,0
117.0,0.0,117.0,280.0,0
84.0,0.0,84.0,280.0,0
106.0,0.0,106.0,270.0,0
98.0,0.0,98.0,270.0,0
102.0,0.0,102.0,250.0,0
107.5,0.0,107.5,220.0,0
117.5,0.0,117.5,230.0,0
107.0,0.0,107.0,230.0,0
104.0,0.0,104.0,210.0,0
102.0,0.0,102.0,220.0,0
93.0,0.0,93.0,260.0,0
100.0,0.0,100.0,240.0,0
96.0,0.0,96.0,280.0,0
84.5,0.0,84.5,230.0,0
91.5,0.0,91.5,300.0,0
103.5,0.0,103.5,300.0,0
101.0,0.0,101.0,270.0,0
102.5,0.0,102.5,340.0,0
90.5,0.0,90.5,320.0,0
97.5,0.0,97.5,260.0,0
88.5,0.0,88.5,260.0,0
94.5,0.0,94.5,290.0,0
105.5,0.0,105.5,240.0,0
106.5,0.0,106.5,200.0,0
89.5,0.0,89.5,270.0,0
117.5,0.0,117.5,250.0,0
108.5,0.0,108.5,270.0,0
94.5,0.0,94.5,230.0,0
94.5,0.0,94.5,220.0,0
102.5,0.0,102.5,210.0,0
100.0,0.0,100.0,260.0,0
98.0,0.0,98.0,260.0,0
118.5,0.0,118.5,210.0,0
107.5,0.0,107.5,310.0,0
116.0,0.0,116.0,270.0,0
99.5,0.0,99.5,260.0,0
101.5,0.0,101.5,250.0,0
118.5,0.0,118.5,240.0,0
112.5,0.0,112.5,260.0,0
100.0,0.0,100.0,260.0,0
110.5,0.0,110.5,210.0,0
110.5,0.0,110.5,200.0,0
107.0,0.0,107.0,220.0,0
112.5,0.0,112.5,240.0,0
106.0,0.0,106.0,270.0,0
98.0,0.0,98.0,260.0,0
89.0,0.0,89.0,260.0,0
84.0,0.0,84.0,270.0,0
104.0,0.0,104.0,260.0,0
103.5,0.0,103.5,260.0,0
95.5,0.0,95.5,260.0,0
106.5,0.0,106.5,270.0,0
109.0,0.0,109.0,290.0,0
100.0,0.0,100.0,290.0,0
91.5,0.0,91.5,290.0,0
97.5,0.0,97.5,310.0,0
99.5,0.0,99.5,270.0,0
97.5,0.0,97.5,270.0,0
96.5,0.0,96.5,240.0,0
109.0,0.0,109.0,220.0,0
101.0,0.0,101.0,230.0,0
100.0,0.0,100.0,230.0,0
99.5,0.0,99.5,270.0,0
109.5,0.0,109.5,230.0,0
104.0,0.0,104.0,250.0,0
98.0,0.0,98.0,270.0,0
98.0,0.0,98.0,270.0,0
106.0,0.0,106.0,280.0,0
85.5,0.0,85.5,310.0,0
89.5,0.0,89.5,360.0,0
107.5,0.0,107.5,360.0,0
94.0,0.0,94.0,280.0,0
87.0,0.0,87.0,230.0,0
102.5,0.0,102.5,200.0,0
112.5,0.0,112.5,190.0,0
105.0,0.0,105.0,180.0,0
114.0,0.0,114.0,170.0,0
109.5,0.0,109.5,200.0,0
98.0,0.0,98.0,250.0,0
107.5,0.0,107.5,200.0,0
108.0,0.0,108.0,210.0,0
105.0,0.0,105.0,240.0,0
105.0,0.0,105.0,240.0,0
101.5,0.0,101.5,230.0,0
88.0,0.0,88.0,310.0,0
92.0,0.0,92.0,300.0,0
109.0,0.0,109.0,300.0,0
106.0,0.0,106.0,260.0,0
109.5,0.0,109.5,210.0,0
95.0,0.0,95.0,230.0,0
103.0,0.0,103.0,210.0,0
118.0,0.0,118.0,190.0,0
100.5,0.0,100.5,300.0,0
100.0,0.0,100.0,250.0,0
95.5,0.0,95.5,200.0,0
97.5,0.0,97.5,180.0,0
105.5,0.0,105.5,240.0,0
101.0,0.0,101.0,220.0,0
116.0,0.0,116.0,200.0,0
102.0,0.0,102.0,240.0,0
100.0,0.0,100.0,290.0,0
105.5,0.0,105.5,210.0,0
103.0,0.0,103.0,220.0,0
107.0,0.0,107.0,190.0,0
109.5,0.0,109.5,230.0,0
96.0,0.0,96.0,280.0,0
90.0,0.0,90.0,280.0,0
101.5,0.0,101.5,250.0,0
101.0,0.0,101.0,300.0,0
99.0,0.0,99.0,250.0,0
101.5,0.0,101.5,230.0,0
102.5,0.0,102.5,190.0,0
111.5,0.0,111.5,180.0,0
115.5,0.0,115.5,170.0,0
115.0,0.0,115.0,200.0,0
110.0,0.0,110.0,240.0,0
100.5,0.0,100.5,260.0,0
84.5,0.0,84.5,270.0,0
94.0,0.0,94.0,310.0,0
96.0,0.0,96.0,300.0,0
98.0,0.0,98.0,230.0,0
114.5,0.0,114.5,230.0,0
111.0,0.0,111.0,230.0,0
113.0,0.0,113.0,210.0,0
102.0,0.0,102.0,280.0,0
105.5,0.0,105.5,290.0,0
112.0,0.0,112.0,250.0,0
103.0,0.0,103.0,200.0,0
99.5,0.0,99.5,290.0,0
103.5,0.0,103.5,260.0,0
99.0,0.0,99.0,260.0,0
102.5,0.0,102.5,260.0,0
98.0,0.0,98.0,280.0,0
89.0,0.0,89.0,270.0,0
97.0,0.0,97.0,250.0,0
102.0,0.0,102.0,240.0,0
101.5,0.0,101.5,240.0,0
99.0,0.0,99.0,240.0,0
108.5,0.0,108.5,220.0,0
125.0,0.0,125.0,220.0,0
104.5,0.0,104.5,180.0,0
102.0,0.0,102.0,210.0,0
102.5,0.0,102.5,210.0,0
100.5,0.0,100.5,200.0,0
98.5,0.0,98.5,230.0,0
89.5,0.0,89.5,230.0,0
89.5,0.0,89.5,200.0,0
102.5,0.0,102.5,230.0,0
98.0,0.0,98.0,240.0,0
93.0,0.0,93.0,230.0,0
102.5,0.0,102.5,240.0,0
103.5,0.0,103.5,240.0,0
98.0,0.0,98.0,240.0,0
97.5,0.0,97.5,250.0,0
105.0,0.0,105.0,250.0,0
102.0,0.0,102.0,200.0,0
91.0,0.0,91.0,220.0,0
101.5,0.0,101.5,230.0,0
102.0,0.0,102.0,190.0,0
94.5,0.0,94.5,190.0,0
105.5,0.0,105.5,280.0,0
105.5,0.0,105.5,280.0,0
93.5,0.0,93.5,280.0,0
116.5,0.0,116.5,280.0,0
103.0,0.0,103.0,210.0,0
97.0,0.0,97.0,250.0,0
92.0,0.0,92.0,280.0,0
93.0,0.0,93.0,300.0,0
99.5,0.0,99.5,300.0,0
98.5,0.0,98.5,280.0,0
102.5,0.0,102.5,260.0,0
92.0,0.0,92.0,270.0,0
103.0,0.0,103.0,270.0,0
123.5,0.0,123.5,250.0,0
105.0,0.0,105.0,310.0,0
93.5,0.0,93.5,310.0,0
