RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,460.0,0
43.0,0.0,43.0,810.0,0
53.0,0.0,53.0,840.0,0
113.0,0.0,113.0,1200.0,0
157.5,60.0,97.5,1100.0,0
132.0,49.0,83.0,1100.0,0
156.5,21.5,135.0,930.0,0
155.5,0.5,155.0,930.0,0
147.0,0.0,147.0,1000.0,0
155.0,3.0,152.0,960.0,0
177.5,1.0,176.5,990.0,0
171.0,1.0,170.0,890.0,0
165.0,0.0,165.0,1000.0,0
167.0,4.0,163.0,990.0,0
168.0,6.5,161.5,1100.0,0
186.5,8.0,178.5,990.0,0
177.0,3.5,173.5,990.0,0
161.0,2.0,159.0,1000.0,0
183.0,1.5,181.5,990.0,0
162.0,1.0,161.0,1000.0,0
156.5,2.5,154.0,1100.0,0
183.5,31.5,152.0,1300.0,0
192.5,36.5,156.0,1300.0,0
195.0,34.0,161.0,1100.0,0
199.5,26.0,173.5,1100.0,0
195.0,29.0,166.0,1100.0,0
208.0,23.5,184.5,1400.0,0
193.0,36.5,156.5,1400.0,0
180.0,25.0,155.0,1200.0,0
206.5,31.5,175.0,1200.0,0
204.5,24.0,180.5,1400.0,0
215.0,14.5,200.5,1000.0,0
198.0,8.5,189.5,1000.0,0
198.0,15.5,182.5,1200.0,0
198.0,18.5,179.5,1200.0,0
194.0,2.5,191.5,1000.0,0
197.5,7.5,190.0,1100.0,0
185.0,14.5,170.5,1400.0,0
172.5,20.0,152.5,1500.0,0
217.0,26.0,191.0,1000.0,0
173.5,26.5,147.0,1500.0,0
202.5,70.0,132.5,1600.0,0
208.5,84.5,124.0,1700.0,0
182.5,74.5,108.0,1700.0,0
211.0,61.5,149.5,1500.0,0
211.5,27.5,184.0,1100.0,0
194.0,30.0,164.0,1300.0,0
191.5,45.5,146.0,1400.0,0
221.0,51.0,170.0,1400.0,0
205.5,22.5,183.0,1300.0,0
208.0,27.0,181.0,1300.0,0
211.5,17.5,194.0,1300.0,0
207.0,14.0,193.0,1300.0,0
188.0,26.5,161.5,1300.0,0
193.5,42.5,151.0,1400.0,0
220.0,42.0,178.0,1400.0,0
211.5,22.0,189.5,1100.0,0
169.5,30.0,139.5,1100.0,0
205.5,22.0,183.5,1200.0,0
197.0,19.0,178.0,1300.0,0
204.0,35.0,169.0,1300.0,0
213.5,27.5,186.0,1100.0,0
180.5,22.0,158.5,1100.0,0
184.5,17.5,167.0,1300.0,0
209.0,32.0,177.0,1600.0,0
212.0,21.5,190.5,1200.0,0
190.0,21.0,169.0,1300.0,0
185.5,16.0,169.5,1300.0,0
205.5,26.0,179.5,1300.0,0
212.0,22.0,190.0,1200.0,0
196.0,13.5,182.5,1100.0,0
191.5,6.5,185.0,1100.0,0
207.5,8.5,199.0,990.0,0
186.0,3.5,182.5,1000.0,0
192.5,5.0,187.5,1100.0,0
178.5,2.5,176.0,1000.0,0
201.0,5.5,195.5,1000.0,0
208.5,7.5,201.0,1100.0,0
190.5,6.0,184.5,1100.0,0
183.5,3.5,180.0,1100.0,0
204.5,5.5,199.0,990.0,0
197.0,2.0,195.0,1000.0,0
192.0,10.5,181.5,1300.0,0
195.0,18.5,176.5,1300.0,0
187.5,22.5,165.0,1300.0,0
200.5,35.0,165.5,1300.0,0
202.0,31.5,170.5,1300.0,0
180.0,80.0,100.0,1600.0,0
220.0,90.5,129.5,1500.0,0
228.5,59.0,169.5,1500.0,0
224.5,34.0,190.5,1200.0,0
203.0,10.0,193.0,1100.0,0
200.0,6.5,193.5,1100.0,0
205.0,6.0,199.0,1000.0,0
181.5,1.0,180.5,1200.0,0
209.5,27.5,182.0,1100.0,0
174.0,31.5,142.5,1500.0,0
178.5,57.5,121.0,1600.0,0
220.5,96.0,124.5,1600.0,0
231.0,69.5,161.5,1500.0,0
183.0,9.5,173.5,1100.0,0
183.0,6.5,176.5,1200.0,0
196.5,14.0,182.5,1200.0,0
195.5,7.5,188.0,1100.0,0
173.0,12.5,160.5,1200.0,0
184.5,35.5,149.0,1300.0,0
226.5,48.5,178.0,1400.0,0
229.0,33.5,195.5,1200.0,0
216.5,16.0,200.5,1100.0,0
212.5,6.5,206.0,1100.0,0
215.5,5.0,210.5,1200.0,0
210.0,3.0,207.0,830.0,0
198.0,0.0,198.0,900.0,0
195.0,4.5,190.5,1100.0,0
206.5,9.5,197.0,1100.0,0
209.5,8.0,201.5,1000.0,0
202.0,3.0,199.0,930.0,0
192.5,0.0,192.5,930.0,0
191.5,0.0,191.5,940.0,0
196.0,5.0,191.0,1200.0,0
212.5,19.0,193.5,1200.0,0
205.0,16.0,189.0,1200.0,0
200.0,8.0,192.0,1100.0,0
204.0,11.0,193.0,1100.0,0
210.0,10.5,199.5,1200.0,0
219.0,5.0,214.0,1100.0,0
198.5,0.5,198.0,990.0,0
201.0,1.0,200.0,1000.0,0
204.5,1.0,203.5,880.0,0
187.0,0.0,187.0,870.0,0
191.0,0.0,191.0,960.0,0
192.0,0.0,192.0,980.0,0
198.0,2.0,196.0,980.0,0
180.0,2.0,178.0,1100.0,0
190.5,35.0,155.5,1400.0,0
187.0,54.0,133.0,1400.0,0
216.5,46.5,170.0,1400.0,0
207.0,29.5,177.5,1200.0,0
204.5,25.0,179.5,1100.0,0
213.0,19.0,194.0,1100.0,0
200.5,7.0,193.5,980.0,0
206.0,0.5,205.5,930.0,0
202.5,2.0,200.5,1100.0,0
208.5,2.5,206.0,860.0,0
197.0,0.5,196.5,940.0,0
190.5,0.5,190.0,960.0,0
202.0,4.5,197.5,1100.0,0
213.5,4.5,209.0,970.0,0
215.5,0.0,215.5,960.0,0
201.5,8.0,193.5,1200.0,0
203.5,14.0,189.5,1200.0,0
219.5,14.5,205.0,1100.0,0
203.0,19.5,183.5,1400.0,0
196.5,24.5,172.0,1400.0,0
186.0,26.0,160.0,1300.0,0
201.5,36.0,165.5,1300.0,0
216.5,10.5,206.0,1100.0,0
189.0,6.5,182.5,1200.0,0
194.0,14.0,180.0,1200.0,0
213.0,9.5,203.5,1100.0,0
198.0,3.0,195.0,1000.0,0
201.0,8.5,192.5,1300.0,0
204.5,18.0,186.5,1300.0,0
212.0,20.5,191.5,1200.0,0
211.5,6.0,205.5,920.0,0
194.0,1.5,192.5,870.0,0
