RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
60.0,0.0,60.0,382.0,0.0
181.0,0.0,181.0,550.0,0.0
268.5,0.0,268.5,778.0,0.0
416.5,22.5,394.0,888.0,0.0
443.5,44.5,399.0,874.0,0.0
409.0,33.5,375.5,964.0,0.0
429.5,36.0,393.5,934.0,0.0
442.5,15.0,427.5,942.0,0.0
425.5,30.0,395.5,938.0,0.0
452.5,10.5,442.0,926.0,0.0
444.0,14.0,430.0,988.0,0.0
458.0,18.5,439.5,964.0,0.0
484.0,18.5,465.5,940.0,0.0
444.5,10.5,434.0,880.0,0.0
445.5,11.0,434.5,942.0,0.0
472.0,5.5,466.5,934.0,0.0
489.5,21.5,468.0,910.0,0.0
475.5,27.5,448.0,902.0,0.0
459.0,15.0,444.0,964.0,0.0
499.0,42.0,457.0,924.0,0.0
516.5,5.5,511.0,1066.0,0.0
512.0,14.0,498.0,854.0,0.0
479.5,11.5,468.0,958.0,0.0
524.5,34.0,490.5,912.0,0.0
526.0,34.5,491.5,982.0,0.0
518.5,27.0,491.5,940.0,0.0
480.5,57.0,423.5,984.0,0.0
530.0,63.0,467.0,1038.0,0.0
507.0,55.0,452.0,944.0,0.0
537.5,39.0,498.5,1002.0,0.0
526.0,129.5,396.5,1046.0,0.0
492.5,107.5,385.0,1140.0,0.0
495.0,139.5,355.5,1144.0,0.0
603.5,77.5,526.0,834.0,0.0
536.0,30.5,505.5,916.0,0.0
543.0,42.5,500.5,930.0,0.0
561.0,42.0,519.0,926.0,0.0
528.5,33.5,495.0,982.0,0.0
473.0,82.0,391.0,1014.0,0.0
475.5,185.5,290.0,1050.0,0.0
565.5,163.5,402.0,1096.0,0.0
551.5,90.0,461.5,1072.0,0.0
567.0,78.5,488.5,1112.0,0.0
511.0,83.5,427.5,1110.0,0.0
544.5,105.0,439.5,1096.0,0.0
579.0,65.0,514.0,1152.0,0.0
511.5,43.0,468.5,1064.0,0.0
556.0,115.5,440.5,960.0,0.0
509.5,85.0,424.5,1048.0,0.0
547.5,94.5,453.0,1096.0,0.0
585.0,86.0,499.0,1114.0,0.0
567.0,49.0,518.0,994.0,0.0
498.5,53.5,445.0,1040.0,0.0
526.0,71.5,454.5,1118.0,0.0
518.5,89.0,429.5,1212.0,0.0
492.0,146.5,345.5,1270.0,0.0
516.0,185.5,330.5,1276.0,0.0
557.5,157.5,400.0,1190.0,0.0
585.5,68.5,517.0,1194.0,0.0
555.0,40.0,515.0,1032.0,0.0
493.5,54.0,439.5,1106.0,0.0
505.5,119.5,386.0,1272.0,0.0
544.5,104.0,440.5,1316.0,0.0
530.5,73.0,457.5,1382.0,0.0
494.5,126.0,368.5,1136.0,0.0
510.5,173.5,337.0,1268.0,0.0
559.5,132.0,427.5,1096.0,0.0
516.5,48.5,468.0,1094.0,0.0
518.5,73.5,445.0,1048.0,0.0
522.5,100.0,422.5,1184.0,0.0
556.5,159.5,397.0,1226.0,0.0
510.5,105.5,405.0,1048.0,0.0
463.5,141.5,322.0,1094.0,0.0
519.5,177.5,342.0,1178.0,0.0
591.0,95.5,495.5,1162.0,0.0
615.0,54.5,560.5,1068.0,0.0
519.0,24.5,494.5,1070.0,0.0
618.0,30.5,587.5,1054.0,0.0
478.0,36.5,441.5,1150.0,0.0
