RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,630.0,0
91.0,0.0,91.0,790.0,0
104.5,0.0,104.5,630.0,0
97.5,0.0,97.5,870.0,0
101.5,0.0,101.5,890.0,0
108.5,0.0,108.5,760.0,0
105.5,0.0,105.5,760.0,0
107.5,4.5,103.0,1000.0,0
111.5,4.5,107.0,940.0,0
97.0,0.0,97.0,920.0,0
112.5,0.0,112.5,930.0,0
106.5,15.0,91.5,1100.0,0
109.5,15.0,94.5,1100.0,0
114.0,32.0,82.0,1100.0,0
113.0,0.0,113.0,970.0,0
107.5,4.0,103.5,1100.0,0
103.5,33.0,70.5,1300.0,0
119.0,67.5,51.5,1300.0,0
115.5,37.0,78.5,1200.0,0
110.0,22.5,87.5,1100.0,0
135.5,30.0,105.5,1100.0,0
133.5,7.5,126.0,1100.0,0
93.5,12.5,81.0,1200.0,0
82.5,66.0,16.5,1300.0,0
122.5,91.5,31.0,1700.0,0
130.0,71.5,58.5,1200.0,0
99.5,51.0,48.5,1200.0,0
117.5,86.0,31.5,1600.0,0
125.0,92.0,33.0,1600.0,0
111.0,86.5,24.5,1700.0,0
123.0,78.0,45.0,1400.0,0
126.5,88.5,38.0,1800.0,0
134.0,78.0,56.0,1300.0,0
89.5,33.0,56.5,1600.0,0
127.0,86.0,41.0,1600.0,0
114.5,63.5,51.0,1500.0,0
128.0,90.5,37.5,1800.0,0
125.5,92.0,33.5,1400.0,0
120.5,70.5,50.0,1800.0,0
128.0,72.0,56.0,1100.0,0
127.5,74.5,53.0,1600.0,0
131.5,84.0,47.5,1200.0,0
126.0,63.0,63.0,1100.0,0
121.0,46.0,75.0,1600.0,0
117.0,60.0,57.0,1700.0,0
113.0,70.5,42.5,1700.0,0
118.5,83.5,35.0,1500.0,0
120.0,80.5,39.5,1800.0,0
135.0,125.5,9.5,1600.0,0
109.5,89.5,20.0,1700.0,0
138.0,70.0,68.0,1700.0,0
126.0,40.5,85.5,1300.0,0
139.0,86.0,53.0,1300.0,0
99.0,41.5,57.5,1600.0,0
115.5,75.0,40.5,1600.0,0
140.0,95.0,45.0,1500.0,0
129.5,85.5,44.0,1200.0,0
86.0,43.5,42.5,1700.0,0
135.0,76.5,58.5,1300.0,0
129.0,87.0,42.0,1900.0,0
118.0,35.5,82.5,1900.0,0
116.5,52.5,64.0,1300.0,0
120.0,76.5,43.5,1600.0,0
138.5,88.0,50.5,1700.0,0
99.0,39.5,59.5,1700.0,0
129.0,80.0,49.0,1500.0,0
125.5,45.5,80.0,1200.0,0
120.5,51.0,69.5,1400.0,0
127.5,79.5,48.0,1500.0,0
136.5,87.0,49.5,1200.0,0
101.0,76.0,25.0,1200.0,0
115.0,101.0,14.0,1600.0,0
136.0,81.0,55.0,1500.0,0
138.5,54.0,84.5,1100.0,0
124.0,47.5,76.5,1500.0,0
109.5,80.5,29.0,1800.0,0
106.5,60.5,46.0,1300.0,0
104.5,82.0,22.5,1700.0,0
132.0,110.5,21.5,1700.0,0
116.5,63.0,53.5,1200.0,0
121.0,83.0,38.0,1300.0,0
129.0,126.5,2.5,1200.0,0
117.5,107.5,10.0,1300.0,0
120.0,96.5,23.5,1300.0,0
127.0,103.0,24.0,1300.0,0
121.5,107.0,14.5,1300.0,0
105.5,103.0,2.5,1300.0,0
119.5,113.0,6.5,1300.0,0
134.0,97.5,36.5,1200.0,0
134.5,87.5,47.0,1200.0,0
118.5,90.0,28.5,1400.0,0
105.0,90.5,14.5,1400.0,0
123.5,108.5,15.0,1200.0,0
128.5,110.5,18.0,1400.0,0
129.5,112.5,17.0,1200.0,0
116.0,99.0,17.0,1300.0,0
115.0,98.0,17.0,1300.0,0
125.5,100.5,25.0,1200.0,0
122.0,104.5,17.5,1300.0,0
125.5,103.0,22.5,1400.0,0
117.0,101.0,16.0,1400.0,0
134.0,78.5,55.5,1100.0,0
126.5,55.0,71.5,1100.0,0
119.0,80.0,39.0,1200.0,0
118.0,82.0,36.0,1300.0,0
124.0,92.5,31.5,1300.0,0
142.5,73.0,69.5,1200.0,0
120.5,67.0,53.5,1200.0,0
118.0,84.5,33.5,1300.0,0
125.5,95.0,30.5,1300.0,0
132.0,105.5,26.5,1400.0,0
124.5,106.5,18.0,1200.0,0
129.0,87.5,41.5,1200.0,0
113.0,99.5,13.5,1200.0,0
109.5,98.0,11.5,1200.0,0
116.5,93.0,23.5,1300.0,0
135.5,115.5,20.0,1300.0,0
127.5,121.0,6.5,1300.0,0
124.5,116.0,8.5,1400.0,0
106.5,88.5,18.0,1400.0,0
114.5,99.0,15.5,1400.0,0
118.5,86.0,32.5,1200.0,0
131.5,108.5,23.0,1300.0,0
117.0,97.5,19.5,1300.0,0
111.0,99.0,12.0,1300.0,0
127.5,113.5,14.0,1300.0,0
121.5,111.5,10.0,1300.0,0
119.5,114.5,5.0,1400.0,0
104.0,98.0,6.0,1500.0,0
135.0,117.0,18.0,1300.0,0
132.0,115.0,17.0,1300.0,0
104.0,94.0,10.0,1300.0,0
96.5,71.5,25.0,1300.0,0
124.0,95.5,28.5,1200.0,0
134.0,107.5,26.5,1200.0,0
128.0,83.5,44.5,1400.0,0
111.0,83.5,27.5,1400.0,0
105.0,93.5,11.5,1300.0,0
116.5,112.0,4.5,1300.0,0
128.5,116.0,12.5,1400.0,0
133.5,98.5,35.0,1200.0,0
107.5,73.5,34.0,1300.0,0
125.0,100.5,24.5,1100.0,0
120.5,91.0,29.5,1200.0,0
125.0,109.0,16.0,1200.0,0
124.5,89.0,35.5,1300.0,0
131.0,96.5,34.5,1200.0,0
109.0,84.5,24.5,1400.0,0
117.0,100.0,17.0,1400.0,0
119.0,102.5,16.5,1200.0,0
117.0,101.5,15.5,1300.0,0
122.5,122.0,0.5,1400.0,0
112.0,111.0,1.0,1400.0,0
102.0,99.5,2.5,1400.0,0
122.5,121.5,1.0,1300.0,0
130.0,118.0,12.0,1300.0,0
123.5,103.5,20.0,1400.0,0
118.0,100.5,17.5,1300.0,0
112.0,82.0,30.0,1300.0,0
128.0,88.5,39.5,1400.0,0
114.5,99.0,15.5,1200.0,0
107.5,106.0,1.5,1200.0,0
116.0,113.0,3.0,1300.0,0
130.0,117.0,13.0,1300.0,0
121.0,77.5,43.5,1300.0,0
110.0,75.5,34.5,1300.0,0
114.5,94.5,20.0,1300.0,0
135.0,127.0,8.0,1200.0,0
113.5,91.0,22.5,1300.0,0
113.5,80.0,33.5,1400.0,0
123.5,116.0,7.5,1400.0,0
115.5,108.5,7.0,1300.0,0
125.5,116.0,9.5,1300.0,0
123.0,106.5,16.5,1300.0,0
114.5,92.5,22.0,1300.0,0
119.0,100.5,18.5,1300.0,0
127.5,113.5,14.0,1200.0,0
129.5,97.0,32.5,1400.0,0
117.5,97.0,20.5,1400.0,0
130.0,109.5,20.5,1200.0,0
122.0,101.5,20.5,1300.0,0
114.5,96.5,18.0,1300.0,0
122.5,109.0,13.5,1300.0,0
122.0,113.0,9.0,1300.0,0
114.0,106.5,7.5,1400.0,0
115.0,99.5,15.5,1400.0,0
134.5,100.5,34.0,1300.0,0
115.5,80.0,35.5,1300.0,0
109.5,87.5,22.0,1200.0,0
129.0,114.5,14.5,1400.0,0
118.0,104.5,13.5,1200.0,0
124.0,107.0,17.0,1200.0,0
116.0,102.0,14.0,1300.0,0
94.0,89.0,5.0,1300.0,0
134.5,116.5,18.0,1300.0,0
136.0,99.5,36.5,1200.0,0
126.5,101.0,25.5,1300.0,0
123.5,94.0,29.5,1300.0,0
125.0,111.0,14.0,1300.0,0
128.5,117.0,11.5,1400.0,0
114.0,96.5,17.5,1400.0,0
113.5,110.5,3.0,1400.0,0
115.5,101.0,14.5,1300.0,0
125.5,117.5,8.0,1300.0,0
127.5,117.0,10.5,1300.0,0
116.0,108.5,7.5,1400.0,0
101.0,96.5,4.5,1400.0,0
113.0,103.5,9.5,1300.0,0
123.0,108.5,14.5,1300.0,0
131.5,120.5,11.0,1300.0,0
108.0,100.0,8.0,1300.0,0
109.0,101.0,8.0,1300.0,0
103.5,80.0,23.5,1400.0,0
123.5,108.5,15.0,1400.0,0
133.5,105.5,28.0,1300.0,0
122.0,101.5,20.5,1300.0,0
123.0,105.0,18.0,1300.0,0
111.0,97.0,14.0,1300.0,0
94.5,73.0,21.5,1300.0,0
120.5,104.0,16.5,1400.0,0
130.0,96.5,33.5,1200.0,0
126.5,89.5,37.0,1200.0,0
124.0,88.0,36.0,1300.0,0
125.5,91.5,34.0,1300.0,0
106.5,87.5,19.0,1900.0,0
77.0,75.0,2.0,1900.0,0
74.0,74.0,0.0,1800.0,0
90.5,90.5,0.0,1800.0,0
67.5,67.5,0.0,1800.0,0
99.0,98.0,1.0,1700.0,0
109.0,108.0,1.0,1600.0,0
74.0,74.0,0.0,1800.0,0
92.5,92.5,0.0,2000.0,0
93.0,93.0,0.0,1900.0,0
75.0,75.0,0.0,1900.0,0
72.0,72.0,0.0,1900.0,0
70.5,70.5,0.0,2200.0,0
84.5,84.5,0.0,2200.0,0
83.5,83.5,0.0,2000.0,0
73.0,73.0,0.0,1800.0,0
113.5,113.5,0.0,1700.0,0
60.5,60.5,0.0,2000.0,0
75.5,75.5,0.0,1800.0,0
61.5,61.5,0.0,2200.0,0
56.0,56.0,0.0,2300.0,0
61.5,61.5,0.0,2500.0,0
61.5,61.5,0.0,2400.0,0
67.0,67.0,0.0,2400.0,0
74.5,74.5,0.0,2400.0,0
46.5,46.5,0.0,2300.0,0
45.5,45.5,0.0,2600.0,0
50.5,50.5,0.0,2800.0,0
52.5,52.5,0.0,2900.0,0
49.0,49.0,0.0,2900.0,0
32.5,32.5,0.0,3100.0,0
89.5,89.5,0.0,3100.0,0
31.0,31.0,0.0,3000.0,0
57.5,57.5,0.0,3000.0,0
70.0,70.0,0.0,2900.0,0
30.5,30.5,0.0,2800.0,0
31.5,31.5,0.0,3200.0,0
53.0,53.0,0.0,3200.0,0
43.0,43.0,0.0,3200.0,0
0.0,0.0,0.0,0.0,0
25.0,0.0,25.0,370.0,0
25.0,0.0,25.0,400.0,0
25.0,0.0,25.0,400.0,0
25.0,0.0,25.0,400.0,0
25.0,0.0,25.0,320.0,0
25.0,0.0,25.0,390.0,0
25.0,0.0,25.0,440.0,0
25.0,0.0,25.0,320.0,0
25.0,0.0,25.0,360.0,0
25.0,0.0,25.0,440.0,0
25.0,0.0,25.0,450.0,0
25.0,0.0,25.0,360.0,0
25.0,0.0,25.0,330.0,0
25.0,0.0,25.0,300.0,0
25.0,0.0,25.0,510.0,0
25.0,0.0,25.0,430.0,0
25.0,0.0,25.0,410.0,0
25.0,0.0,25.0,350.0,0
25.0,0.0,25.0,380.0,0
25.0,0.0,25.0,330.0,0
25.0,0.0,25.0,380.0,0
25.0,0.0,25.0,300.0,0
25.0,0.0,25.0,350.0,0
25.0,0.0,25.0,440.0,0
25.0,0.0,25.0,440.0,0
25.0,0.0,25.0,290.0,0
25.0,0.0,25.0,430.0,0
25.0,0.0,25.0,310.0,0
25.0,0.0,25.0,360.0,0
25.0,0.0,25.0,400.0,0
25.0,0.0,25.0,250.0,0
25.0,0.0,25.0,390.0,0
25.0,0.0,25.0,510.0,0
25.0,0.0,25.0,450.0,0
25.0,0.0,25.0,330.0,0
25.0,0.0,25.0,300.0,0
25.0,0.0,25.0,450.0,0
