RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
3.0,0.0,3.0,270.0,0
38.0,0.0,38.0,270.0,0
53.5,0.0,53.5,390.0,0
77.0,0.0,77.0,320.0,0
71.5,0.0,71.5,320.0,0
70.0,0.0,70.0,260.0,0
101.0,0.0,101.0,330.0,0
76.5,0.0,76.5,320.0,0
51.0,0.0,51.0,310.0,0
90.0,0.0,90.0,410.0,0
97.5,0.0,97.5,300.0,0
80.5,0.0,80.5,360.0,0
79.5,0.0,79.5,360.0,0
57.0,0.0,57.0,320.0,0
83.5,0.0,83.5,260.0,0
59.0,0.0,59.0,340.0,0
76.0,0.0,76.0,290.0,0
76.5,0.0,76.5,350.0,0
95.0,0.0,95.0,340.0,0
82.5,0.0,82.5,340.0,0
93.5,0.0,93.5,400.0,0
92.0,0.0,92.0,410.0,0
109.0,0.0,109.0,340.0,0
97.5,0.0,97.5,590.0,0
99.0,0.0,99.0,490.0,0
109.5,0.0,109.5,610.0,0
90.0,0.0,90.0,530.0,0
92.0,0.0,92.0,650.0,0
88.0,0.0,88.0,710.0,0
95.0,1.0,94.0,730.0,0
90.0,0.0,90.0,680.0,0
93.5,0.0,93.5,500.0,0
106.5,0.0,106.5,710.0,0
111.0,0.0,111.0,710.0,0
83.0,3.0,80.0,740.0,0
94.5,0.0,94.5,630.0,0
93.0,0.0,93.0,710.0,0
93.5,0.0,93.5,620.0,0
83.0,0.0,83.0,740.0,0
96.0,0.0,96.0,600.0,0
97.0,0.0,97.0,610.0,0
93.0,0.0,93.0,620.0,0
88.0,0.0,88.0,530.0,0
81.0,0.0,81.0,710.0,0
79.5,2.0,77.5,600.0,0
94.5,2.0,92.5,670.0,0
87.0,0.0,87.0,610.0,0
78.5,0.0,78.5,680.0,0
86.0,0.0,86.0,880.0,0
103.0,0.0,103.0,720.0,0
82.5,0.0,82.5,800.0,0
104.0,0.0,104.0,720.0,0
93.0,1.0,92.0,720.0,0
109.5,0.0,109.5,740.0,0
100.0,0.5,99.5,770.0,0
100.0,0.0,100.0,740.0,0
95.0,0.0,95.0,640.0,0
83.5,1.0,82.5,700.0,0
100.0,0.0,100.0,650.0,0
94.0,0.0,94.0,850.0,0
108.0,0.0,108.0,680.0,0
90.5,0.0,90.5,640.0,0
86.5,0.5,86.0,670.0,0
82.5,0.5,82.0,770.0,0
96.0,0.5,95.5,710.0,0
100.0,0.5,99.5,510.0,0
104.0,0.0,104.0,720.0,0
100.0,0.0,100.0,700.0,0
82.0,0.0,82.0,600.0,0
95.5,0.0,95.5,690.0,0
87.5,0.0,87.5,750.0,0
78.5,0.0,78.5,720.0,0
100.0,0.0,100.0,730.0,0
92.5,0.0,92.5,620.0,0
97.5,0.0,97.5,740.0,0
81.0,0.0,81.0,650.0,0
93.0,0.0,93.0,710.0,0
95.5,0.0,95.5,610.0,0
76.0,0.0,76.0,730.0,0
100.0,0.0,100.0,350.0,0
103.0,0.0,103.0,300.0,0
90.0,0.0,90.0,340.0,0
85.5,0.0,85.5,340.0,0
90.5,0.0,90.5,340.0,0
97.0,0.0,97.0,340.0,0
93.5,0.0,93.5,370.0,0
73.0,0.0,73.0,370.0,0
76.5,0.0,76.5,370.0,0
98.0,0.0,98.0,330.0,0
92.0,0.0,92.0,340.0,0
86.5,0.0,86.5,380.0,0
94.0,0.0,94.0,390.0,0
91.5,0.0,91.5,400.0,0
85.0,0.0,85.0,370.0,0
89.5,0.0,89.5,370.0,0
104.0,0.0,104.0,330.0,0
89.0,0.0,89.0,350.0,0
89.0,0.0,89.0,380.0,0
98.0,0.0,98.0,380.0,0
90.0,0.0,90.0,380.0,0
86.5,0.0,86.5,380.0,0
105.0,0.0,105.0,350.0,0
95.0,0.0,95.0,380.0,0
98.5,0.0,98.5,350.0,0
110.5,0.0,110.5,400.0,0
110.0,0.0,110.0,400.0,0
93.5,0.0,93.5,380.0,0
89.0,0.0,89.0,380.0,0
97.5,0.0,97.5,310.0,0
93.5,0.0,93.5,340.0,0
88.0,0.0,88.0,340.0,0
88.0,0.0,88.0,350.0,0
91.0,0.0,91.0,420.0,0
83.0,0.0,83.0,380.0,0
92.5,0.0,92.5,350.0,0
94.5,0.0,94.5,350.0,0
96.0,0.0,96.0,390.0,0
96.5,0.0,96.5,400.0,0
96.5,0.0,96.5,400.0,0
90.0,0.0,90.0,380.0,0
94.0,0.0,94.0,380.0,0
102.5,0.0,102.5,350.0,0
98.5,0.0,98.5,340.0,0
95.5,0.0,95.5,350.0,0
97.5,0.0,97.5,410.0,0
87.5,0.0,87.5,410.0,0
86.0,0.0,86.0,470.0,0
92.5,0.0,92.5,470.0,0
86.5,0.0,86.5,370.0,0
100.5,0.0,100.5,390.0,0
94.5,0.0,94.5,390.0,0
88.5,0.0,88.5,410.0,0
97.5,0.0,97.5,360.0,0
94.5,0.0,94.5,340.0,0
90.5,0.0,90.5,420.0,0
91.0,0.0,91.0,420.0,0
101.0,0.0,101.0,350.0,0
97.5,0.0,97.5,380.0,0
88.5,0.0,88.5,370.0,0
97.5,0.0,97.5,400.0,0
99.5,0.0,99.5,380.0,0
96.0,0.0,96.0,380.0,0
101.0,0.0,101.0,350.0,0
100.5,0.0,100.5,350.0,0
111.0,0.0,111.0,360.0,0
95.0,0.0,95.0,380.0,0
85.0,0.0,85.0,400.0,0
91.5,0.0,91.5,400.0,0
106.0,0.0,106.0,350.0,0
88.5,0.0,88.5,380.0,0
91.0,0.0,91.0,370.0,0
93.5,0.0,93.5,380.0,0
87.5,0.0,87.5,450.0,0
87.5,0.0,87.5,420.0,0
96.0,0.0,96.0,360.0,0
106.0,0.0,106.0,360.0,0
98.5,0.0,98.5,390.0,0
101.0,0.0,101.0,370.0,0
99.5,0.0,99.5,360.0,0
96.0,0.0,96.0,370.0,0
85.0,0.0,85.0,350.0,0
82.5,0.0,82.5,410.0,0
80.0,0.0,80.0,410.0,0
109.5,0.0,109.5,350.0,0
100.5,0.0,100.5,360.0,0
89.5,0.0,89.5,340.0,0
88.0,0.0,88.0,430.0,0
81.0,0.0,81.0,380.0,0
94.5,0.0,94.5,370.0,0
93.5,0.0,93.5,420.0,0
101.0,0.0,101.0,420.0,0
96.0,0.0,96.0,380.0,0
105.0,0.0,105.0,390.0,0
89.5,0.0,89.5,360.0,0
85.5,0.0,85.5,410.0,0
93.5,0.0,93.5,370.0,0
103.5,0.0,103.5,380.0,0
102.5,0.0,102.5,380.0,0
89.5,0.0,89.5,390.0,0
104.0,0.0,104.0,390.0,0
95.0,0.0,95.0,360.0,0
83.0,0.0,83.0,410.0,0
84.0,0.0,84.0,410.0,0
90.0,0.0,90.0,440.0,0
92.5,0.0,92.5,380.0,0
92.0,0.0,92.0,370.0,0
92.0,0.0,92.0,350.0,0
81.0,0.0,81.0,320.0,0
90.5,0.0,90.5,340.0,0
88.5,0.0,88.5,400.0,0
88.5,0.0,88.5,400.0,0
99.5,0.0,99.5,380.0,0
89.0,0.0,89.0,380.0,0
100.0,0.0,100.0,370.0,0
106.0,0.0,106.0,400.0,0
94.5,0.0,94.5,380.0,0
94.0,0.0,94.0,380.0,0
94.5,0.0,94.5,430.0,0
86.5,0.0,86.5,390.0,0
86.5,0.0,86.5,380.0,0
92.0,0.0,92.0,380.0,0
80.5,0.0,80.5,420.0,0
88.0,0.0,88.0,440.0,0
99.0,0.0,99.0,390.0,0
111.5,0.0,111.5,360.0,0
96.0,0.0,96.0,430.0,0
89.5,0.0,89.5,390.0,0
93.5,0.0,93.5,380.0,0
94.0,0.0,94.0,390.0,0
101.0,0.0,101.0,390.0,0
92.5,0.0,92.5,350.0,0
81.0,0.0,81.0,340.0,0
90.5,0.0,90.5,320.0,0
96.0,0.0,96.0,400.0,0
87.0,0.0,87.0,360.0,0
98.5,0.0,98.5,430.0,0
99.0,0.0,99.0,430.0,0
101.0,0.0,101.0,370.0,0
100.0,0.0,100.0,330.0,0
84.0,0.0,84.0,380.0,0
97.0,0.0,97.0,410.0,0
100.5,0.0,100.5,380.0,0
100.5,0.0,100.5,360.0,0
108.0,0.0,108.0,570.0,0
99.0,0.0,99.0,590.0,0
79.0,2.5,76.5,470.0,0
78.0,1.0,77.0,560.0,0
75.0,0.5,74.5,560.0,0
80.5,1.5,79.0,540.0,0
93.5,1.5,92.0,540.0,0
93.5,0.0,93.5,530.0,0
85.0,0.0,85.0,530.0,0
75.0,1.0,74.0,560.0,0
61.5,2.0,59.5,460.0,0
66.5,1.5,65.0,570.0,0
65.5,7.0,58.5,750.0,0
75.5,6.5,69.0,730.0,0
85.5,2.5,83.0,640.0,0
87.0,2.0,85.0,640.0,0
81.5,6.5,75.0,560.0,0
85.0,0.0,85.0,500.0,0
73.5,1.5,72.0,430.0,0
59.5,4.5,55.0,710.0,0
72.5,6.0,66.5,710.0,0
65.0,11.0,54.0,900.0,0
59.5,12.0,47.5,700.0,0
80.0,6.0,74.0,760.0,0
74.5,5.5,69.0,770.0,0
71.0,5.0,66.0,730.0,0
50.5,8.0,42.5,850.0,0
59.0,5.5,53.5,850.0,0
61.0,10.5,50.5,850.0,0
60.5,13.0,47.5,850.0,0
60.0,17.0,43.0,990.0,0
68.5,18.5,50.0,770.0,0
72.0,10.5,61.5,810.0,0
57.5,10.5,47.0,700.0,0
47.5,9.5,38.0,730.0,0
53.5,11.0,42.5,830.0,0
67.0,12.0,55.0,740.0,0
55.5,13.0,42.5,780.0,0
38.0,17.0,21.0,790.0,0
51.5,14.5,37.0,940.0,0
0.0,0.0,0.0,120.0,0
15.0,0.0,15.0,170.0,0
16.0,0.0,16.0,160.0,0
16.0,0.0,16.0,120.0,0
17.0,0.0,17.0,150.0,0
17.0,0.0,17.0,150.0,0
16.0,0.0,16.0,120.0,0
16.0,0.0,16.0,170.0,0
17.0,0.0,17.0,140.0,0
19.0,0.0,19.0,140.0,0
16.0,0.0,16.0,150.0,0
18.5,0.0,18.5,200.0,0
12.0,0.0,12.0,140.0,0
20.0,0.0,20.0,100.0,0
15.0,0.0,15.0,120.0,0
23.0,0.0,23.0,130.0,0
20.0,0.0,20.0,150.0,0
21.0,0.0,21.0,130.0,0
21.5,0.0,21.5,110.0,0
22.0,0.0,22.0,160.0,0
17.0,0.0,17.0,160.0,0
18.0,0.0,18.0,120.0,0
16.0,0.0,16.0,130.0,0
22.0,0.0,22.0,96.0,0
21.5,0.0,21.5,150.0,0
21.5,0.0,21.5,150.0,0
20.5,0.0,20.5,120.0,0
17.0,0.0,17.0,95.0,0
17.0,0.0,17.0,140.0,0
24.0,0.0,24.0,160.0,0
21.0,0.0,21.0,120.0,0
15.5,0.0,15.5,120.0,0
16.5,0.0,16.5,130.0,0
21.0,0.0,21.0,140.0,0
20.0,0.0,20.0,170.0,0
23.0,0.0,23.0,110.0,0
17.0,0.0,17.0,100.0,0
21.0,0.0,21.0,170.0,0
27.0,0.0,27.0,190.0,0
18.0,0.0,18.0,180.0,0
19.5,0.0,19.5,150.0,0
16.5,0.0,16.5,250.0,0
22.0,0.0,22.0,110.0,0
21.0,0.0,21.0,200.0,0
14.0,0.0,14.0,110.0,0
21.0,0.0,21.0,120.0,0
19.0,0.0,19.0,140.0,0
17.0,0.0,17.0,140.0,0
18.0,0.0,18.0,180.0,0
27.0,0.0,27.0,130.0,0
20.0,0.0,20.0,160.0,0
15.0,0.0,15.0,210.0,0
