RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,450.0,0
45.0,0.0,45.0,680.0,0
95.0,0.5,94.5,1000.0,0
74.5,19.0,55.5,1200.0,0
109.0,1.0,108.0,1100.0,0
90.5,0.0,90.5,990.0,0
108.5,8.0,100.5,1100.0,0
124.0,8.5,115.5,990.0,0
117.5,0.0,117.5,990.0,0
109.5,1.5,108.0,1100.0,0
112.5,2.5,110.0,1100.0,0
122.0,1.5,120.5,1100.0,0
114.5,0.5,114.0,1000.0,0
91.5,0.0,91.5,1100.0,0
121.5,23.0,98.5,1100.0,0
133.5,9.5,124.0,1100.0,0
109.0,24.5,84.5,1200.0,0
124.0,45.0,79.0,1200.0,0
116.0,39.0,77.0,1200.0,0
98.0,47.0,51.0,1800.0,0
108.5,91.5,17.0,1800.0,0
113.0,76.5,36.5,1700.0,0
81.5,78.0,3.5,1700.0,0
78.5,58.5,20.0,2000.0,0
133.5,108.0,25.5,1900.0,0
77.0,63.0,14.0,2000.0,0
124.5,100.5,24.0,2000.0,0
102.5,78.0,24.5,2000.0,0
97.0,50.5,46.5,2000.0,0
84.5,64.0,20.5,2000.0,0
123.0,62.5,60.5,1400.0,0
116.5,59.0,57.5,1500.0,0
126.0,59.0,67.0,1300.0,0
94.5,61.5,33.0,2000.0,0
133.5,82.0,51.5,1900.0,0
99.0,73.5,25.5,1900.0,0
114.5,77.5,37.0,1800.0,0
98.5,66.0,32.5,1800.0,0
123.5,93.0,30.5,2000.0,0
102.0,84.0,18.0,2000.0,0
108.5,54.0,54.5,1900.0,0
107.5,82.5,25.0,1900.0,0
116.0,51.0,65.0,1900.0,0
115.0,62.5,52.5,1200.0,0
120.0,63.5,56.5,2000.0,0
132.5,67.5,65.0,1800.0,0
121.0,57.0,64.0,1200.0,0
134.0,49.5,84.5,1200.0,0
111.0,74.0,37.0,1800.0,0
135.5,101.0,34.5,1300.0,0
94.0,62.0,32.0,1700.0,0
136.5,83.0,53.5,1700.0,0
93.5,59.5,34.0,1700.0,0
125.5,69.5,56.0,1800.0,0
130.0,46.0,84.0,1800.0,0
99.0,64.0,35.0,2000.0,0
108.5,90.5,18.0,2000.0,0
124.0,77.0,47.0,1300.0,0
112.5,76.5,36.0,1300.0,0
113.0,91.0,22.0,1800.0,0
141.0,20.0,121.0,1100.0,0
95.0,26.0,69.0,1700.0,0
120.0,61.0,59.0,1700.0,0
104.0,52.0,52.0,1800.0,0
135.5,73.5,62.0,1800.0,0
117.0,58.0,59.0,1800.0,0
109.5,81.5,28.0,2000.0,0
114.5,81.5,33.0,2000.0,0
144.0,59.0,85.0,1700.0,0
101.5,45.5,56.0,1600.0,0
111.0,80.0,31.0,1600.0,0
142.0,100.0,42.0,1200.0,0
104.0,74.0,30.0,1200.0,0
120.5,105.0,15.5,1300.0,0
126.5,106.0,20.5,1300.0,0
118.5,92.0,26.5,1400.0,0
120.0,97.0,23.0,1300.0,0
128.5,112.5,16.0,1200.0,0
119.0,84.0,35.0,1200.0,0
118.0,76.5,41.5,1300.0,0
119.0,91.5,27.5,1300.0,0
109.5,88.0,21.5,1300.0,0
112.0,95.5,16.5,1300.0,0
112.0,91.5,20.5,1300.0,0
119.5,98.0,21.5,1300.0,0
128.5,96.5,32.0,1300.0,0
110.0,73.5,36.5,1300.0,0
113.5,86.5,27.0,1300.0,0
116.0,107.5,8.5,1400.0,0
131.0,110.5,20.5,1300.0,0
112.0,97.0,15.0,1500.0,0
102.5,95.0,7.5,1500.0,0
111.5,86.0,25.5,1300.0,0
130.5,108.0,22.5,1300.0,0
109.5,82.5,27.0,1200.0,0
106.5,82.0,24.5,1400.0,0
117.5,107.5,10.0,1500.0,0
130.0,105.0,25.0,1300.0,0
107.5,77.0,30.5,1400.0,0
97.0,87.0,10.0,1500.0,0
111.0,110.0,1.0,1500.0,0
99.0,95.0,4.0,1300.0,0
115.5,110.5,5.0,1300.0,0
