RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,300.0,0
26.5,0.0,26.5,540.0,0
59.0,5.5,53.5,1200.0,0
48.0,2.5,45.5,1000.0,0
64.5,0.0,64.5,770.0,0
76.5,0.0,76.5,480.0,0
76.0,0.0,76.0,740.0,0
65.0,0.0,65.0,470.0,0
78.5,0.0,78.5,300.0,0
64.5,0.0,64.5,690.0,0
82.0,0.0,82.0,620.0,0
80.5,0.0,80.5,750.0,0
86.0,0.0,86.0,530.0,0
79.0,0.0,79.0,650.0,0
71.0,0.0,71.0,600.0,0
82.5,0.0,82.5,790.0,0
74.5,0.0,74.5,400.0,0
78.0,0.0,78.0,590.0,0
74.0,0.0,74.0,730.0,0
105.5,0.0,105.5,800.0,0
86.5,0.0,86.5,600.0,0
74.5,0.0,74.5,590.0,0
99.0,0.0,99.0,600.0,0
105.0,0.0,105.0,600.0,0
84.5,0.0,84.5,410.0,0
77.5,0.0,77.5,510.0,0
95.5,0.0,95.5,660.0,0
84.0,0.0,84.0,550.0,0
81.0,0.0,81.0,550.0,0
79.0,0.0,79.0,580.0,0
95.0,0.0,95.0,460.0,0
74.0,0.0,74.0,590.0,0
94.5,0.0,94.5,450.0,0
78.0,0.0,78.0,750.0,0
80.5,0.0,80.5,590.0,0
88.5,0.0,88.5,670.0,0
95.0,0.0,95.0,500.0,0
89.5,0.0,89.5,480.0,0
85.0,0.0,85.0,490.0,0
78.0,0.0,78.0,440.0,0
88.5,0.0,88.5,710.0,0
89.0,0.0,89.0,480.0,0
88.5,0.0,88.5,470.0,0
80.5,0.0,80.5,510.0,0
103.0,0.0,103.0,520.0,0
93.5,0.0,93.5,490.0,0
79.5,0.0,79.5,550.0,0
101.5,0.0,101.5,560.0,0
80.0,0.0,80.0,630.0,0
88.5,0.0,88.5,540.0,0
88.5,0.0,88.5,540.0,0
98.5,0.0,98.5,520.0,0
96.5,0.0,96.5,580.0,0
101.0,0.0,101.0,510.0,0
104.0,0.0,104.0,480.0,0
90.0,0.0,90.0,480.0,0
82.5,0.0,82.5,490.0,0
81.0,0.0,81.0,540.0,0
64.5,0.0,64.5,430.0,0
96.5,0.0,96.5,460.0,0
90.0,0.0,90.0,440.0,0
98.0,0.0,98.0,530.0,0
103.5,0.0,103.5,590.0,0
83.5,0.0,83.5,510.0,0
80.5,0.0,80.5,470.0,0
89.5,0.0,89.5,430.0,0
95.5,0.0,95.5,460.0,0
91.5,0.0,91.5,330.0,0
89.5,0.0,89.5,360.0,0
90.0,0.0,90.0,330.0,0
98.0,0.0,98.0,340.0,0
96.5,0.0,96.5,350.0,0
91.5,0.0,91.5,350.0,0
91.0,0.0,91.0,310.0,0
91.5,0.0,91.5,310.0,0
83.5,0.0,83.5,390.0,0
90.0,0.0,90.0,390.0,0
97.0,0.0,97.0,350.0,0
101.0,0.0,101.0,350.0,0
90.0,0.0,90.0,320.0,0
84.0,0.0,84.0,370.0,0
90.5,0.0,90.5,330.0,0
94.0,0.0,94.0,330.0,0
83.5,0.0,83.5,330.0,0
90.0,0.0,90.0,330.0,0
98.5,0.0,98.5,310.0,0
98.0,0.0,98.0,310.0,0
108.5,0.0,108.5,270.0,0
95.0,0.0,95.0,290.0,0
102.5,0.0,102.5,390.0,0
93.5,0.0,93.5,310.0,0
100.5,0.0,100.5,320.0,0
113.5,0.0,113.5,320.0,0
90.5,0.0,90.5,310.0,0
80.5,0.0,80.5,340.0,0
82.5,0.0,82.5,310.0,0
71.5,0.0,71.5,360.0,0
77.5,0.0,77.5,400.0,0
84.5,0.0,84.5,350.0,0
79.0,0.0,79.0,330.0,0
82.5,0.0,82.5,330.0,0
94.5,0.0,94.5,320.0,0
99.0,0.0,99.0,320.0,0
103.5,0.0,103.5,370.0,0
103.5,0.0,103.5,370.0,0
96.5,0.0,96.5,380.0,0
89.0,0.0,89.0,330.0,0
98.5,0.0,98.5,340.0,0
91.0,0.0,91.0,300.0,0
82.5,0.0,82.5,310.0,0
73.5,0.0,73.5,310.0,0
88.0,0.0,88.0,320.0,0
82.5,0.0,82.5,320.0,0
99.0,0.0,99.0,320.0,0
108.0,0.0,108.0,280.0,0
97.0,0.0,97.0,360.0,0
94.5,0.0,94.5,360.0,0
82.0,0.0,82.0,290.0,0
85.0,0.0,85.0,310.0,0
95.5,0.0,95.5,320.0,0
85.5,0.0,85.5,340.0,0
83.0,0.0,83.0,340.0,0
87.0,0.0,87.0,360.0,0
88.5,0.0,88.5,330.0,0
108.5,0.0,108.5,310.0,0
104.5,0.0,104.5,330.0,0
103.0,0.0,103.0,330.0,0
90.0,0.0,90.0,330.0,0
79.0,0.0,79.0,380.0,0
84.5,0.0,84.5,380.0,0
85.5,0.0,85.5,370.0,0
95.0,0.0,95.0,340.0,0
95.0,0.0,95.0,390.0,0
90.5,0.0,90.5,310.0,0
89.5,0.0,89.5,310.0,0
82.0,0.0,82.0,360.0,0
77.0,0.0,77.0,360.0,0
86.5,0.0,86.5,340.0,0
95.0,0.0,95.0,330.0,0
87.5,0.0,87.5,460.0,0
74.0,0.0,74.0,460.0,0
81.5,0.0,81.5,330.0,0
73.0,0.0,73.0,310.0,0
69.5,0.0,69.5,310.0,0
77.0,0.0,77.0,360.0,0
93.0,0.0,93.0,360.0,0
109.5,0.0,109.5,320.0,0
98.0,0.0,98.0,310.0,0
86.0,0.0,86.0,390.0,0
100.5,0.0,100.5,300.0,0
91.0,0.0,91.0,370.0,0
83.5,0.0,83.5,330.0,0
86.0,0.0,86.0,330.0,0
89.5,0.0,89.5,340.0,0
92.5,0.0,92.5,340.0,0
96.5,0.0,96.5,300.0,0
88.5,0.0,88.5,300.0,0
80.0,0.0,80.0,340.0,0
87.5,0.0,87.5,320.0,0
90.5,0.0,90.5,290.0,0
108.5,0.0,108.5,300.0,0
85.5,0.0,85.5,330.0,0
84.0,0.0,84.0,400.0,0
78.5,0.0,78.5,400.0,0
99.5,0.0,99.5,350.0,0
96.5,0.0,96.5,310.0,0
87.0,0.0,87.0,370.0,0
110.5,0.0,110.5,330.0,0
87.5,0.0,87.5,310.0,0
73.5,0.0,73.5,300.0,0
89.0,0.0,89.0,320.0,0
97.0,0.0,97.0,380.0,0
87.0,0.0,87.0,380.0,0
82.5,0.0,82.5,340.0,0
87.5,0.0,87.5,340.0,0
87.0,0.0,87.0,330.0,0
98.5,0.0,98.5,310.0,0
98.5,0.0,98.5,310.0,0
83.0,0.0,83.0,280.0,0
81.5,0.0,81.5,320.0,0
87.0,0.0,87.0,320.0,0
78.0,0.0,78.0,330.0,0
91.5,0.0,91.5,300.0,0
95.5,0.0,95.5,340.0,0
84.5,0.0,84.5,350.0,0
92.5,0.0,92.5,340.0,0
100.0,0.0,100.0,310.0,0
112.0,0.0,112.0,280.0,0
103.0,0.0,103.0,300.0,0
97.0,0.0,97.0,330.0,0
87.0,0.0,87.0,330.0,0
77.5,0.0,77.5,410.0,0
95.5,0.0,95.5,410.0,0
