RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
43.0,0.0,43.0,250.0,0.0
190.0,0.0,190.0,320.0,0.0
199.5,0.0,199.5,326.0,0.0
208.0,0.0,208.0,340.0,0.0
207.5,0.0,207.5,334.0,0.0
215.0,0.0,215.0,342.0,0.0
218.5,0.0,218.5,344.0,0.0
221.0,0.0,221.0,386.0,0.0
242.5,0.0,242.5,380.0,0.0
240.0,0.0,240.0,334.0,0.0
238.0,0.0,238.0,400.0,0.0
252.5,0.0,252.5,382.0,0.0
237.5,0.0,237.5,380.0,0.0
299.0,0.0,299.0,374.0,0.0
260.0,0.0,260.0,396.0,0.0
266.0,0.0,266.0,404.0,0.0
266.0,0.0,266.0,434.0,0.0
289.0,0.0,289.0,456.0,0.0
316.5,0.0,316.5,422.0,0.0
301.0,0.0,301.0,412.0,0.0
302.5,0.0,302.5,456.0,0.0
292.5,0.0,292.5,410.0,0.0
287.0,0.0,287.0,444.0,0.0
285.0,0.0,285.0,436.0,0.0
346.5,0.0,346.5,436.0,0.0
361.0,0.0,361.0,426.0,0.0
337.5,0.0,337.5,434.0,0.0
294.0,0.0,294.0,568.0,0.0
334.0,1.0,333.0,434.0,0.0
357.0,0.0,357.0,534.0,0.0
359.5,0.0,359.5,490.0,0.0
353.5,0.0,353.5,490.0,0.0
365.0,0.0,365.0,482.0,0.0
368.5,0.0,368.5,480.0,0.0
366.0,0.0,366.0,486.0,0.0
404.0,0.0,404.0,466.0,0.0
388.5,0.0,388.5,522.0,0.0
430.5,0.0,430.5,542.0,0.0
413.5,0.0,413.5,532.0,0.0
436.5,0.0,436.5,496.0,0.0
424.0,0.0,424.0,472.0,0.0
419.0,0.0,419.0,468.0,0.0
352.5,0.0,352.5,510.0,0.0
343.0,0.0,343.0,488.0,0.0
436.0,0.0,436.0,474.0,0.0
418.0,0.0,418.0,524.0,0.0
376.0,0.0,376.0,490.0,0.0
385.0,0.0,385.0,482.0,0.0
389.5,0.0,389.5,496.0,0.0
384.0,0.0,384.0,480.0,0.0
428.5,0.0,428.5,468.0,0.0
411.0,0.0,411.0,464.0,0.0
399.0,0.0,399.0,452.0,0.0
428.5,0.0,428.5,492.0,0.0
433.0,0.0,433.0,472.0,0.0
389.0,0.0,389.0,514.0,0.0
389.0,0.0,389.0,478.0,0.0
459.5,0.0,459.5,454.0,0.0
390.5,0.0,390.5,504.0,0.0
