RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1600.0,0
115.5,45.0,70.5,1000.0,0
98.5,0.0,98.5,1100.0,0
95.5,2.0,93.5,1000.0,0
103.5,15.0,88.5,1100.0,0
115.0,16.0,99.0,990.0,0
111.5,0.0,111.5,1000.0,0
116.5,6.0,110.5,1000.0,0
110.5,11.5,99.0,1000.0,0
108.0,5.5,102.5,990.0,0
114.0,1.0,113.0,1000.0,0
106.5,3.5,103.0,1000.0,0
115.5,2.0,113.5,1000.0,0
110.5,0.0,110.5,1000.0,0
103.0,14.5,88.5,1200.0,0
143.0,16.0,127.0,1000.0,0
94.5,2.0,92.5,1100.0,0
98.0,20.5,77.5,1100.0,0
111.0,7.0,104.0,1200.0,0
106.0,31.5,74.5,1200.0,0
115.0,5.0,110.0,1000.0,0
107.0,6.5,100.5,1100.0,0
101.5,51.5,50.0,1800.0,0
132.0,125.5,6.5,1700.0,0
95.5,59.0,36.5,1300.0,0
138.0,60.5,77.5,1700.0,0
107.0,102.0,5.0,1600.0,0
115.0,83.5,31.5,1600.0,0
118.5,93.0,25.5,1600.0,0
131.0,87.0,44.0,1200.0,0
135.0,78.5,56.5,1300.0,0
97.0,55.5,41.5,1900.0,0
117.0,113.0,4.0,1900.0,0
113.0,63.0,50.0,1300.0,0
121.0,72.5,48.5,1200.0,0
104.5,66.5,38.0,2000.0,0
102.0,83.0,19.0,2000.0,0
125.0,80.5,44.5,1300.0,0
124.5,93.0,31.5,1700.0,0
129.0,104.5,24.5,1700.0,0
125.0,69.5,55.5,1500.0,0
103.0,62.0,41.0,1300.0,0
135.5,88.0,47.5,1500.0,0
118.5,101.5,17.0,1600.0,0
113.5,83.0,30.5,1600.0,0
99.0,65.0,34.0,1700.0,0
133.0,132.0,1.0,1700.0,0
102.0,70.5,31.5,1500.0,0
123.5,90.5,33.0,1700.0,0
127.5,94.0,33.5,1300.0,0
108.0,90.0,18.0,1500.0,0
123.5,102.0,21.5,1500.0,0
115.5,59.5,56.0,1200.0,0
123.5,62.0,61.5,1800.0,0
125.0,38.5,86.5,1800.0,0
133.5,85.0,48.5,1100.0,0
112.5,67.0,45.5,1700.0,0
110.5,83.5,27.0,1700.0,0
118.0,81.0,37.0,1300.0,0
123.5,87.0,36.5,1700.0,0
133.0,93.0,40.0,1500.0,0
124.0,82.0,42.0,1500.0,0
100.0,73.5,26.5,1500.0,0
133.5,95.5,38.0,1700.0,0
121.0,101.5,19.5,1500.0,0
119.5,102.5,17.0,1700.0,0
117.0,57.0,60.0,1700.0,0
130.5,77.0,53.5,1200.0,0
123.5,99.0,24.5,1700.0,0
116.0,50.0,66.0,1400.0,0
129.5,91.5,38.0,1800.0,0
108.5,59.5,49.0,1700.0,0
123.0,83.5,39.5,1600.0,0
131.5,111.5,20.0,1400.0,0
117.5,92.5,25.0,1300.0,0
109.5,84.5,25.0,1400.0,0
117.0,110.5,6.5,1300.0,0
127.0,112.5,14.5,1300.0,0
116.0,83.0,33.0,1400.0,0
102.0,67.0,35.0,1400.0,0
130.0,114.0,16.0,1300.0,0
116.0,106.0,10.0,1300.0,0
119.5,110.5,9.0,1300.0,0
118.5,102.0,16.5,1200.0,0
128.0,99.5,28.5,1300.0,0
90.5,74.5,16.0,1500.0,0
137.0,127.0,10.0,1400.0,0
134.5,120.0,14.5,1400.0,0
107.5,79.5,28.0,1400.0,0
103.5,77.5,26.0,1400.0,0
126.5,114.5,12.0,1400.0,0
135.5,115.5,20.0,1300.0,0
121.0,94.5,26.5,1600.0,0
111.5,107.5,4.0,1300.0,0
82.5,69.5,13.0,1300.0,0
107.5,92.5,15.0,1400.0,0
137.5,127.0,10.5,1300.0,0
120.0,93.0,27.0,1400.0,0
123.0,93.0,30.0,1400.0,0
116.5,91.5,25.0,1300.0,0
123.0,85.0,38.0,1400.0,0
104.0,74.0,30.0,1400.0,0
120.0,97.0,23.0,1300.0,0
135.5,101.0,34.5,1300.0,0
108.5,75.5,33.0,1400.0,0
140.5,95.0,45.5,1400.0,0
120.5,99.5,21.0,1300.0,0
135.5,122.0,13.5,1300.0,0
120.5,101.5,19.0,1300.0,0
103.5,77.0,26.5,1400.0,0
118.0,86.5,31.5,1400.0,0
129.5,104.0,25.5,1300.0,0
133.0,93.0,40.0,1300.0,0
114.5,87.0,27.5,1300.0,0
110.0,82.5,27.5,1300.0,0
112.5,89.0,23.5,1400.0,0
115.0,92.5,22.5,1400.0,0
136.5,131.0,5.5,1400.0,0
110.0,92.5,17.5,1300.0,0
130.5,74.5,56.0,1300.0,0
130.5,102.5,28.0,1400.0,0
109.0,70.0,39.0,1300.0,0
113.0,84.0,29.0,1400.0,0
124.5,111.5,13.0,1300.0,0
113.5,96.0,17.5,1300.0,0
121.5,112.5,9.0,1300.0,0
121.0,103.0,18.0,1300.0,0
112.0,97.0,15.0,1500.0,0
127.5,99.5,28.0,1200.0,0
100.5,96.5,4.0,1500.0,0
108.0,106.0,2.0,1400.0,0
125.5,115.0,10.5,1300.0,0
129.0,109.0,20.0,1300.0,0
111.5,97.0,14.5,1400.0,0
117.0,110.5,6.5,1400.0,0
136.0,117.0,19.0,1100.0,0
122.0,79.5,42.5,1200.0,0
119.5,73.0,46.5,1200.0,0
123.5,100.5,23.0,1200.0,0
112.0,105.0,7.0,1400.0,0
122.5,95.0,27.5,1400.0,0
125.0,84.0,41.0,1300.0,0
121.0,109.5,11.5,1500.0,0
111.0,100.0,11.0,1400.0,0
106.0,94.0,12.0,1400.0,0
118.5,113.0,5.5,1400.0,0
114.0,108.0,6.0,1400.0,0
113.5,105.5,8.0,1300.0,0
118.0,105.5,12.5,1200.0,0
126.5,102.0,24.5,1400.0,0
135.0,107.5,27.5,1300.0,0
112.5,102.5,10.0,1600.0,0
99.0,94.5,4.5,1700.0,0
124.5,97.5,27.0,1300.0,0
119.5,89.5,30.0,1200.0,0
115.5,100.0,15.5,1400.0,0
100.5,86.0,14.5,1600.0,0
102.0,92.0,10.0,1600.0,0
129.0,120.5,8.5,1300.0,0
133.0,109.5,23.5,1300.0,0
122.5,90.0,32.5,1400.0,0
133.5,87.5,46.0,1500.0,0
130.0,113.5,16.5,1300.0,0
111.0,80.5,30.5,1300.0,0
115.5,97.0,18.5,1300.0,0
129.0,107.0,22.0,1300.0,0
115.0,90.5,24.5,1400.0,0
117.0,115.0,2.0,1300.0,0
116.5,101.5,15.0,1300.0,0
122.0,96.0,26.0,1300.0,0
123.5,116.5,7.0,1500.0,0
109.5,102.0,7.5,1500.0,0
88.5,80.0,8.5,1500.0,0
109.0,109.0,0.0,1400.0,0
126.5,118.0,8.5,1400.0,0
95.0,94.0,1.0,1400.0,0
136.0,116.5,19.5,1300.0,0
129.5,86.0,43.5,1300.0,0
125.5,78.0,47.5,1300.0,0
125.0,87.5,37.5,1300.0,0
121.5,89.0,32.5,1200.0,0
96.5,72.5,24.0,1400.0,0
133.0,132.5,0.5,1400.0,0
127.5,121.0,6.5,1300.0,0
114.0,92.0,22.0,1300.0,0
119.0,101.0,18.0,1300.0,0
118.0,113.5,4.5,1300.0,0
109.5,105.0,4.5,1300.0,0
109.5,103.0,6.5,1400.0,0
100.5,80.0,20.5,1500.0,0
134.0,101.5,32.5,1300.0,0
116.5,103.0,13.5,1300.0,0
116.5,96.5,20.0,1300.0,0
103.5,97.0,6.5,1600.0,0
115.0,95.5,19.5,1600.0,0
126.0,108.5,17.5,1300.0,0
117.5,103.0,14.5,1300.0,0
119.0,114.5,4.5,1300.0,0
101.5,98.5,3.0,1500.0,0
107.5,107.0,0.5,1500.0,0
116.0,115.5,0.5,1500.0,0
106.0,106.0,0.0,1500.0,0
110.5,109.0,1.5,1300.0,0
102.0,101.5,0.5,1400.0,0
123.5,109.0,14.5,1300.0,0
117.5,99.5,18.0,1400.0,0
85.5,83.0,2.5,1600.0,0
99.0,98.0,1.0,1600.0,0
133.0,132.5,0.5,1300.0,0
124.5,114.0,10.5,1300.0,0
106.5,81.0,25.5,1300.0,0
92.0,69.0,23.0,1500.0,0
101.5,99.0,2.5,1500.0,0
135.5,116.0,19.5,1400.0,0
123.0,101.0,22.0,1300.0,0
104.5,80.0,24.5,1500.0,0
129.0,112.0,17.0,1300.0,0
119.5,112.0,7.5,1400.0,0
97.0,92.5,4.5,1500.0,0
95.5,93.0,2.5,1500.0,0
129.5,122.5,7.0,1300.0,0
123.5,111.5,12.0,1300.0,0
119.5,103.0,16.5,1300.0,0
119.0,106.5,12.5,1500.0,0
126.5,98.5,28.0,1300.0,0
113.5,107.0,6.5,1300.0,0
110.0,97.0,13.0,1400.0,0
104.0,84.5,19.5,1500.0,0
116.0,110.0,6.0,1500.0,0
133.5,131.5,2.0,1300.0,0
93.0,85.5,7.5,1400.0,0
108.5,102.5,6.0,1300.0,0
121.0,112.0,9.0,1400.0,0
131.0,114.5,16.5,1300.0,0
120.0,101.5,18.5,1500.0,0
113.5,101.5,12.0,1500.0,0
122.5,90.5,32.0,1300.0,0
116.5,107.0,9.5,1400.0,0
113.0,106.5,6.5,1400.0,0
129.5,108.0,21.5,1400.0,0
111.5,92.0,19.5,1300.0,0
98.5,86.5,12.0,1300.0,0
128.5,109.5,19.0,1300.0,0
130.5,108.0,22.5,1300.0,0
121.5,119.0,2.5,1300.0,0
128.0,104.0,24.0,1400.0,0
114.0,107.0,7.0,1400.0,0
122.0,113.5,8.5,1300.0,0
120.0,103.0,17.0,1300.0,0
123.5,113.5,10.0,1300.0,0
116.0,96.0,20.0,1400.0,0
118.0,111.5,6.5,1400.0,0
115.5,106.0,9.5,1400.0,0
116.5,112.5,4.0,1300.0,0
116.0,109.0,7.0,1300.0,0
107.0,93.0,14.0,1500.0,0
116.0,97.0,19.0,1500.0,0
136.0,113.5,22.5,1300.0,0
122.5,106.0,16.5,1400.0,0
125.5,116.0,9.5,1300.0,0
112.0,95.0,17.0,1300.0,0
115.0,104.0,11.0,1300.0,0
129.5,119.5,10.0,1300.0,0
117.0,103.0,14.0,1400.0,0
102.0,93.0,9.0,1400.0,0
126.5,116.0,10.5,1300.0,0
122.0,117.0,5.0,1400.0,0
109.5,95.5,14.0,1300.0,0
117.5,92.5,25.0,1300.0,0
137.0,121.5,15.5,1300.0,0
116.0,104.5,11.5,1400.0,0
75.5,68.5,7.0,1400.0,0
133.0,115.5,17.5,1400.0,0
112.0,92.0,20.0,1400.0,0
118.5,106.0,12.5,1500.0,0
136.0,109.0,27.0,1200.0,0
116.0,76.0,40.0,1200.0,0
115.5,79.5,36.0,1200.0,0
124.5,98.5,26.0,1300.0,0
128.0,96.0,32.0,1300.0,0
129.5,95.5,34.0,1400.0,0
107.5,95.5,12.0,1400.0,0
114.0,99.5,14.5,1400.0,0
137.0,105.5,31.5,1200.0,0
114.0,85.5,28.5,1400.0,0
113.5,104.0,9.5,1400.0,0
124.5,119.0,5.5,1500.0,0
124.0,116.0,8.0,1400.0,0
100.5,93.0,7.5,1300.0,0
110.5,105.0,5.5,1400.0,0
128.5,119.0,9.5,1400.0,0
127.0,104.5,22.5,1300.0,0
128.0,80.5,47.5,1200.0,0
119.0,67.5,51.5,1200.0,0
126.5,82.5,44.0,1300.0,0
113.5,97.0,16.5,1300.0,0
130.5,114.5,16.0,1300.0,0
121.0,108.5,12.5,1400.0,0
98.0,93.0,5.0,1500.0,0
