RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
1.5,0.0,1.5,140.0,0
4.5,0.0,4.5,160.0,0
7.5,0.0,7.5,470.0,0
13.5,0.0,13.5,350.0,0
16.5,0.0,16.5,500.0,0
19.0,0.0,19.0,500.0,0
20.0,0.0,20.0,470.0,0
20.0,0.0,20.0,620.0,0
20.0,0.0,20.0,680.0,0
20.0,0.0,20.0,670.0,0
20.0,0.0,20.0,630.0,0
20.0,0.0,20.0,840.0,0
20.0,0.0,20.0,810.0,0
20.0,0.0,20.0,660.0,0
14.5,0.0,14.5,980.0,0
9.0,0.0,9.0,980.0,0
31.0,0.0,31.0,900.0,0
10.5,0.0,10.5,970.0,0
21.0,0.0,21.0,1000.0,0
23.5,1.5,22.0,1000.0,0
25.5,7.5,18.0,1100.0,0
19.5,7.5,12.0,990.0,0
22.5,0.0,22.5,910.0,0
16.5,0.0,16.5,1400.0,0
18.0,10.0,8.0,1400.0,0
17.5,1.5,16.0,1000.0,0
19.5,1.5,18.0,1100.0,0
20.0,16.5,3.5,1000.0,0
20.5,7.0,13.5,970.0,0
20.0,0.0,20.0,1300.0,0
15.0,13.0,2.0,1500.0,0
18.0,9.5,8.5,1200.0,0
19.5,10.0,9.5,1200.0,0
16.5,14.0,2.5,1200.0,0
16.5,13.0,3.5,1200.0,0
18.5,5.0,13.5,1200.0,0
17.5,11.0,6.5,1200.0,0
20.0,13.0,7.0,1200.0,0
23.5,4.0,19.5,1100.0,0
20.0,8.0,12.0,1200.0,0
16.5,9.0,7.5,1100.0,0
19.0,4.0,15.0,1100.0,0
20.0,5.5,14.5,1100.0,0
20.0,6.0,14.0,1100.0,0
19.0,5.5,13.5,1200.0,0
20.0,8.5,11.5,1100.0,0
19.0,1.0,18.0,1000.0,0
18.5,3.5,15.0,1100.0,0
19.0,6.5,12.5,1100.0,0
18.0,9.0,9.0,1200.0,0
19.5,16.5,3.0,1200.0,0
