RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
1.5,0.0,1.5,376.0,0.0
179.0,0.0,179.0,636.0,0.0
255.5,3.5,252.0,730.0,0.0
423.5,33.5,390.0,640.0,0.0
402.5,8.0,394.5,646.0,0.0
428.0,18.0,410.0,680.0,0.0
453.0,0.5,452.5,616.0,0.0
416.0,13.0,403.0,676.0,0.0
433.0,27.5,405.5,680.0,0.0
454.0,32.5,421.5,752.0,0.0
466.5,29.5,437.0,758.0,0.0
463.0,17.0,446.0,752.0,0.0
418.5,34.5,384.0,764.0,0.0
498.5,31.0,467.5,690.0,0.0
418.5,36.5,382.0,810.0,0.0
422.5,95.5,327.0,856.0,0.0
500.0,103.0,397.0,850.0,0.0
457.0,122.5,334.5,904.0,0.0
463.0,139.5,323.5,908.0,0.0
483.5,146.5,337.0,932.0,0.0
487.5,164.0,323.5,1018.0,0.0
512.0,126.0,386.0,962.0,0.0
487.0,155.5,331.5,998.0,0.0
495.5,121.0,374.5,1240.0,0.0
459.0,195.5,263.5,1214.0,0.0
498.0,219.0,279.0,990.0,0.0
511.0,229.5,281.5,1012.0,0.0
482.5,219.0,263.5,1094.0,0.0
522.0,215.0,307.0,1086.0,0.0
464.0,188.5,275.5,1154.0,0.0
511.0,282.0,229.0,1148.0,0.0
544.5,254.5,290.0,1032.0,0.0
462.5,205.0,257.5,1164.0,0.0
492.5,275.5,217.0,1144.0,0.0
497.0,261.5,235.5,1118.0,0.0
503.5,209.0,294.5,1060.0,0.0
471.0,254.5,216.5,1178.0,0.0
485.0,281.0,204.0,1172.0,0.0
498.5,225.5,273.0,1112.0,0.0
519.0,260.5,258.5,1120.0,0.0
487.5,250.0,237.5,1178.0,0.0
465.5,224.5,241.0,1122.0,0.0
503.0,227.5,275.5,1116.0,0.0
526.0,269.5,256.5,1092.0,0.0
502.0,232.5,269.5,1162.0,0.0
531.5,238.5,293.0,1032.0,0.0
512.5,207.5,305.0,944.0,0.0
483.0,204.5,278.5,1150.0,0.0
493.0,254.5,238.5,1158.0,0.0
497.5,201.5,296.0,1182.0,0.0
505.5,285.0,220.5,1182.0,0.0
454.0,247.0,207.0,1192.0,0.0
474.0,292.0,182.0,1192.0,0.0
534.5,307.0,227.5,1126.0,0.0
456.0,190.0,266.0,1298.0,0.0
465.0,286.0,179.0,1304.0,0.0
513.0,265.5,247.5,1132.0,0.0
500.5,249.5,251.0,1164.0,0.0
553.5,295.5,258.0,1132.0,0.0
470.0,237.0,233.0,1214.0,0.0
463.0,249.0,214.0,1132.0,0.0
477.0,254.0,223.0,1158.0,0.0
500.5,281.0,219.5,1194.0,0.0
514.5,272.0,242.5,1184.0,0.0
545.5,195.5,350.0,1008.0,0.0
446.0,165.0,281.0,1126.0,0.0
499.5,258.5,241.0,1242.0,0.0
488.5,242.5,246.0,1058.0,0.0
484.5,238.0,246.5,1190.0,0.0
483.0,220.0,263.0,1172.0,0.0
486.0,235.5,250.5,1226.0,0.0
489.5,200.0,289.5,1144.0,0.0
536.0,297.0,239.0,1152.0,0.0
522.0,204.5,317.5,1012.0,0.0
480.0,169.5,310.5,922.0,0.0
464.0,236.5,227.5,1042.0,0.0
494.0,285.5,208.5,1082.0,0.0
474.5,292.5,182.0,1054.0,0.0
498.5,283.0,215.5,1054.0,0.0
512.5,257.0,255.5,1022.0,0.0
482.5,280.5,202.0,1000.0,0.0
487.0,323.0,164.0,1028.0,0.0
501.0,293.5,207.5,1000.0,0.0
487.5,255.5,232.0,974.0,0.0
481.0,280.0,201.0,974.0,0.0
495.5,307.0,188.5,1012.0,0.0
508.5,280.5,228.0,1002.0,0.0
489.5,239.0,250.5,996.0,0.0
488.0,271.0,217.0,1014.0,0.0
518.0,286.5,231.5,996.0,0.0
529.5,249.0,280.5,928.0,0.0
518.5,213.5,305.0,1002.0,0.0
442.5,236.0,206.5,1074.0,0.0
500.0,271.0,229.0,1014.0,0.0
497.0,273.0,224.0,956.0,0.0
494.0,243.0,251.0,986.0,0.0
440.0,246.0,194.0,1094.0,0.0
