RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,210.0,0
17.0,0.0,17.0,300.0,0
48.0,0.0,48.0,760.0,0
85.5,0.0,85.5,500.0,0
61.0,0.0,61.0,550.0,0
109.5,0.0,109.5,270.0,0
78.5,0.0,78.5,360.0,0
79.0,0.0,79.0,280.0,0
81.0,0.0,81.0,320.0,0
69.5,0.0,69.5,210.0,0
75.0,0.0,75.0,270.0,0
90.5,0.0,90.5,250.0,0
77.5,0.0,77.5,310.0,0
87.5,0.0,87.5,300.0,0
82.5,0.0,82.5,280.0,0
85.5,0.0,85.5,230.0,0
82.5,0.0,82.5,280.0,0
89.5,0.0,89.5,280.0,0
86.5,0.0,86.5,340.0,0
88.5,0.0,88.5,310.0,0
91.0,0.0,91.0,320.0,0
80.5,0.0,80.5,350.0,0
78.0,0.0,78.0,450.0,0
76.5,0.0,76.5,470.0,0
90.5,0.0,90.5,550.0,0
90.0,0.0,90.0,550.0,0
91.0,0.0,91.0,430.0,0
75.5,1.0,74.5,440.0,0
85.0,6.5,78.5,440.0,0
92.5,3.5,89.0,520.0,0
74.0,3.0,71.0,710.0,0
98.0,2.0,96.0,440.0,0
84.0,0.0,84.0,440.0,0
95.5,0.0,95.5,380.0,0
84.0,0.0,84.0,400.0,0
73.5,0.0,73.5,410.0,0
111.0,0.0,111.0,390.0,0
91.5,1.5,90.0,400.0,0
92.0,1.5,90.5,430.0,0
86.5,1.5,85.0,380.0,0
91.5,0.0,91.5,370.0,0
94.0,1.0,93.0,480.0,0
84.5,1.0,83.5,470.0,0
94.5,0.0,94.5,390.0,0
114.0,0.0,114.0,370.0,0
113.5,1.0,112.5,360.0,0
103.5,1.0,102.5,370.0,0
97.0,0.5,96.5,440.0,0
94.0,0.0,94.0,430.0,0
85.5,0.0,85.5,390.0,0
81.0,0.0,81.0,420.0,0
94.5,0.5,94.0,410.0,0
103.5,0.0,103.5,530.0,0
86.5,2.5,84.0,510.0,0
90.0,3.0,87.0,500.0,0
104.5,0.0,104.5,410.0,0
99.0,0.0,99.0,430.0,0
88.5,0.0,88.5,470.0,0
87.5,0.0,87.5,420.0,0
88.0,0.0,88.0,420.0,0
75.0,0.0,75.0,460.0,0
83.0,0.0,83.0,390.0,0
103.0,0.0,103.0,460.0,0
88.5,0.0,88.5,430.0,0
96.0,0.0,96.0,460.0,0
83.0,1.0,82.0,460.0,0
92.0,0.0,92.0,510.0,0
102.0,0.0,102.0,470.0,0
86.0,0.0,86.0,500.0,0
96.0,2.5,93.5,480.0,0
83.5,2.5,81.0,500.0,0
97.5,0.0,97.5,440.0,0
90.5,0.0,90.5,440.0,0
97.0,0.0,97.0,390.0,0
76.5,0.0,76.5,190.0,0
79.5,0.0,79.5,130.0,0
90.5,0.0,90.5,190.0,0
101.0,0.0,101.0,190.0,0
106.5,0.0,106.5,150.0,0
98.0,0.0,98.0,170.0,0
90.5,0.0,90.5,230.0,0
100.0,0.0,100.0,260.0,0
110.5,0.0,110.5,180.0,0
99.0,0.0,99.0,160.0,0
85.0,0.0,85.0,210.0,0
93.5,0.0,93.5,200.0,0
95.0,0.0,95.0,180.0,0
101.0,0.0,101.0,210.0,0
100.5,0.0,100.5,170.0,0
102.0,0.0,102.0,170.0,0
106.5,0.0,106.5,230.0,0
95.5,0.0,95.5,200.0,0
87.5,0.0,87.5,180.0,0
98.5,0.0,98.5,190.0,0
100.0,0.0,100.0,190.0,0
85.0,0.0,85.0,160.0,0
93.5,0.0,93.5,260.0,0
93.0,0.0,93.0,210.0,0
98.0,0.0,98.0,180.0,0
90.5,0.0,90.5,150.0,0
87.5,0.0,87.5,180.0,0
92.5,0.0,92.5,180.0,0
103.0,0.0,103.0,150.0,0
78.5,0.0,78.5,210.0,0
83.5,0.0,83.5,220.0,0
77.5,0.0,77.5,170.0,0
89.5,0.0,89.5,180.0,0
103.5,0.0,103.5,190.0,0
95.5,0.0,95.5,190.0,0
100.5,0.0,100.5,240.0,0
97.5,0.0,97.5,240.0,0
103.0,0.0,103.0,190.0,0
103.5,0.0,103.5,170.0,0
105.5,0.0,105.5,200.0,0
94.5,0.0,94.5,200.0,0
84.0,0.0,84.0,200.0,0
89.5,0.0,89.5,200.0,0
99.5,0.0,99.5,170.0,0
90.5,0.0,90.5,140.0,0
94.0,0.0,94.0,170.0,0
89.0,0.0,89.0,150.0,0
86.0,0.0,86.0,140.0,0
90.0,0.0,90.0,210.0,0
90.0,0.0,90.0,200.0,0
93.5,0.0,93.5,170.0,0
81.5,0.0,81.5,170.0,0
87.0,0.0,87.0,190.0,0
90.0,0.0,90.0,230.0,0
85.0,0.0,85.0,230.0,0
94.5,0.0,94.5,200.0,0
88.0,0.0,88.0,200.0,0
82.0,0.0,82.0,140.0,0
79.0,0.0,79.0,180.0,0
81.5,0.0,81.5,180.0,0
86.5,0.0,86.5,200.0,0
97.0,0.0,97.0,200.0,0
103.5,0.0,103.5,190.0,0
107.0,0.0,107.0,260.0,0
96.5,0.0,96.5,190.0,0
109.0,0.0,109.0,180.0,0
95.5,0.0,95.5,190.0,0
95.5,0.0,95.5,150.0,0
90.5,0.0,90.5,190.0,0
92.0,0.0,92.0,210.0,0
92.0,0.0,92.0,210.0,0
85.0,0.0,85.0,160.0,0
73.5,0.0,73.5,170.0,0
88.0,0.0,88.0,190.0,0
95.0,0.0,95.0,160.0,0
89.0,1.5,87.5,200.0,0
77.5,1.5,76.0,200.0,0
82.0,0.0,82.0,190.0,0
77.5,0.0,77.5,180.0,0
74.5,0.0,74.5,150.0,0
81.0,0.0,81.0,200.0,0
90.5,0.0,90.5,170.0,0
87.0,0.0,87.0,190.0,0
88.0,0.0,88.0,190.0,0
92.0,0.0,92.0,200.0,0
86.5,0.0,86.5,160.0,0
88.5,0.0,88.5,180.0,0
86.5,0.0,86.5,190.0,0
87.0,0.0,87.0,290.0,0
89.5,0.0,89.5,290.0,0
87.5,0.0,87.5,210.0,0
94.0,0.0,94.0,210.0,0
89.5,0.0,89.5,210.0,0
82.5,0.0,82.5,160.0,0
98.0,0.0,98.0,180.0,0
103.0,0.0,103.0,180.0,0
96.5,0.0,96.5,190.0,0
89.5,0.0,89.5,190.0,0
99.5,0.0,99.5,180.0,0
96.0,0.0,96.0,190.0,0
97.0,0.0,97.0,210.0,0
94.0,0.0,94.0,150.0,0
90.0,0.0,90.0,200.0,0
86.5,0.0,86.5,200.0,0
93.5,0.0,93.5,160.0,0
109.5,0.0,109.5,180.0,0
89.5,0.0,89.5,190.0,0
99.5,0.0,99.5,200.0,0
95.5,0.0,95.5,140.0,0
87.5,0.0,87.5,180.0,0
93.5,0.0,93.5,190.0,0
92.5,0.0,92.5,190.0,0
100.0,0.0,100.0,180.0,0
81.0,0.0,81.0,200.0,0
93.5,0.0,93.5,190.0,0
86.0,0.0,86.0,180.0,0
98.5,0.0,98.5,240.0,0
114.5,0.0,114.5,240.0,0
105.5,0.0,105.5,170.0,0
91.0,0.0,91.0,160.0,0
101.0,0.0,101.0,190.0,0
94.5,0.0,94.5,170.0,0
95.5,0.0,95.5,190.0,0
92.5,0.0,92.5,190.0,0
98.0,0.0,98.0,180.0,0
108.5,0.0,108.5,170.0,0
103.5,0.0,103.5,200.0,0
103.0,0.0,103.0,200.0,0
99.0,0.0,99.0,210.0,0
77.5,0.0,77.5,150.0,0
93.0,0.0,93.0,170.0,0
116.5,0.0,116.5,210.0,0
98.0,0.0,98.0,200.0,0
85.0,0.0,85.0,170.0,0
92.5,0.0,92.5,180.0,0
85.5,0.0,85.5,150.0,0
91.0,0.0,91.0,200.0,0
106.5,0.0,106.5,170.0,0
89.0,0.0,89.0,150.0,0
88.5,0.0,88.5,170.0,0
101.0,0.0,101.0,200.0,0
93.5,0.0,93.5,200.0,0
104.0,0.0,104.0,210.0,0
102.0,0.0,102.0,180.0,0
103.0,0.0,103.0,140.0,0
94.0,0.0,94.0,210.0,0
87.0,0.0,87.0,180.0,0
88.5,0.0,88.5,180.0,0
102.0,0.0,102.0,210.0,0
110.0,0.0,110.0,210.0,0
94.5,0.0,94.5,190.0,0
97.0,0.0,97.0,170.0,0
109.5,0.0,109.5,170.0,0
105.5,0.0,105.5,180.0,0
96.0,0.0,96.0,180.0,0
90.5,0.0,90.5,180.0,0
100.5,0.0,100.5,170.0,0
92.0,0.0,92.0,200.0,0
108.5,0.0,108.5,240.0,0
102.5,0.0,102.5,170.0,0
91.5,0.0,91.5,190.0,0
93.0,0.0,93.0,230.0,0
86.0,0.0,86.0,230.0,0
86.0,0.0,86.0,230.0,0
99.0,0.0,99.0,210.0,0
94.5,0.0,94.5,200.0,0
91.5,0.0,91.5,220.0,0
88.5,0.0,88.5,180.0,0
93.0,0.0,93.0,190.0,0
93.5,0.0,93.5,180.0,0
84.0,0.0,84.0,180.0,0
84.0,0.0,84.0,230.0,0
95.0,0.0,95.0,170.0,0
93.0,0.0,93.0,190.0,0
88.5,0.0,88.5,190.0,0
79.0,0.0,79.0,180.0,0
80.5,0.5,80.0,230.0,0
97.5,0.5,97.0,210.0,0
78.5,0.0,78.5,240.0,0
94.5,0.0,94.5,160.0,0
93.0,0.0,93.0,220.0,0
84.0,0.0,84.0,200.0,0
97.5,1.0,96.5,220.0,0
93.5,1.0,92.5,200.0,0
86.5,0.0,86.5,180.0,0
86.0,0.0,86.0,250.0,0
84.0,0.0,84.0,190.0,0
95.5,0.0,95.5,200.0,0
89.0,0.0,89.0,200.0,0
83.5,0.0,83.5,200.0,0
86.5,0.0,86.5,210.0,0
83.0,0.0,83.0,180.0,0
82.0,0.0,82.0,170.0,0
80.5,0.0,80.5,190.0,0
99.5,0.0,99.5,230.0,0
96.0,0.0,96.0,230.0,0
95.0,0.0,95.0,190.0,0
104.0,0.0,104.0,190.0,0
120.0,0.0,120.0,200.0,0
103.5,0.0,103.5,200.0,0
91.0,0.0,91.0,200.0,0
86.5,0.0,86.5,200.0,0
98.0,0.0,98.0,200.0,0
107.5,0.0,107.5,190.0,0
94.0,0.0,94.0,190.0,0
86.5,0.0,86.5,180.0,0
102.5,0.0,102.5,180.0,0
91.0,0.0,91.0,190.0,0
101.5,0.0,101.5,130.0,0
109.0,0.0,109.0,210.0,0
106.0,0.0,106.0,330.0,0
86.5,0.0,86.5,330.0,0
89.5,0.0,89.5,220.0,0
91.0,0.0,91.0,220.0,0
99.5,0.0,99.5,190.0,0
89.5,0.0,89.5,190.0,0
90.5,0.0,90.5,150.0,0
88.5,0.0,88.5,190.0,0
89.0,0.0,89.0,190.0,0
84.5,0.0,84.5,220.0,0
84.0,0.0,84.0,220.0,0
94.0,0.0,94.0,210.0,0
96.0,0.0,96.0,200.0,0
89.0,0.0,89.0,220.0,0
100.0,0.0,100.0,220.0,0
94.5,0.0,94.5,220.0,0
91.5,0.0,91.5,180.0,0
92.0,0.0,92.0,170.0,0
94.5,0.0,94.5,190.0,0
93.5,0.0,93.5,220.0,0
95.0,0.0,95.0,220.0,0
99.0,0.0,99.0,180.0,0
91.5,0.0,91.5,180.0,0
91.0,0.0,91.0,180.0,0
87.5,0.0,87.5,150.0,0
88.5,0.0,88.5,150.0,0
88.5,0.0,88.5,210.0,0
85.0,0.0,85.0,200.0,0
