RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,350.0,0
27.0,0.0,27.0,550.0,0
47.5,0.0,47.5,590.0,0
35.5,0.0,35.5,360.0,0
37.0,0.0,37.0,420.0,0
41.5,0.0,41.5,420.0,0
44.5,0.0,44.5,290.0,0
50.0,0.0,50.0,320.0,0
34.0,0.0,34.0,350.0,0
39.0,0.0,39.0,590.0,0
35.0,0.0,35.0,590.0,0
35.5,0.0,35.5,430.0,0
42.0,0.0,42.0,740.0,0
31.0,0.0,31.0,740.0,0
37.5,0.0,37.5,740.0,0
60.0,0.0,60.0,580.0,0
85.5,0.0,85.5,540.0,0
79.5,0.0,79.5,670.0,0
82.0,0.0,82.0,510.0,0
82.0,0.0,82.0,500.0,0
61.5,0.0,61.5,440.0,0
41.5,0.0,41.5,440.0,0
32.0,0.0,32.0,290.0,0
51.0,0.5,50.5,450.0,0
40.0,1.0,39.0,610.0,0
43.5,1.5,42.0,610.0,0
32.5,1.5,31.0,610.0,0
33.5,3.0,30.5,610.0,0
34.0,2.0,32.0,460.0,0
49.5,0.0,49.5,400.0,0
65.5,0.0,65.5,560.0,0
76.0,0.0,76.0,560.0,0
88.5,0.0,88.5,640.0,0
85.0,0.0,85.0,670.0,0
103.5,0.0,103.5,590.0,0
97.5,0.0,97.5,560.0,0
92.5,0.0,92.5,580.0,0
108.0,0.0,108.0,600.0,0
109.5,0.0,109.5,610.0,0
115.5,0.0,115.5,660.0,0
106.5,0.0,106.5,640.0,0
102.5,0.0,102.5,590.0,0
97.0,0.0,97.0,620.0,0
106.5,0.0,106.5,650.0,0
113.5,0.0,113.5,640.0,0
102.0,0.0,102.0,570.0,0
92.0,0.0,92.0,560.0,0
100.0,0.0,100.0,590.0,0
102.0,0.0,102.0,500.0,0
106.0,0.0,106.0,590.0,0
109.0,0.0,109.0,560.0,0
96.0,0.0,96.0,530.0,0
111.0,0.0,111.0,500.0,0
100.0,0.0,100.0,640.0,0
89.0,0.0,89.0,660.0,0
110.5,0.0,110.5,750.0,0
89.0,0.0,89.0,500.0,0
97.5,0.0,97.5,600.0,0
93.5,0.0,93.5,680.0,0
102.0,0.0,102.0,600.0,0
103.0,0.0,103.0,600.0,0
95.0,0.0,95.0,590.0,0
95.0,0.0,95.0,640.0,0
100.5,0.0,100.5,540.0,0
91.5,0.0,91.5,490.0,0
100.5,0.0,100.5,550.0,0
92.5,0.0,92.5,600.0,0
95.0,0.0,95.0,510.0,0
95.5,0.0,95.5,380.0,0
110.5,0.0,110.5,650.0,0
107.5,0.0,107.5,610.0,0
109.0,0.0,109.0,490.0,0
98.5,0.0,98.5,190.0,0
108.5,0.0,108.5,130.0,0
107.0,0.0,107.0,82.0,0
91.0,0.0,91.0,110.0,0
92.0,0.0,92.0,87.0,0
96.5,0.0,96.5,100.0,0
91.0,0.0,91.0,110.0,0
103.5,0.0,103.5,160.0,0
87.0,0.0,87.0,160.0,0
83.0,0.0,83.0,110.0,0
92.0,0.0,92.0,110.0,0
98.0,0.0,98.0,110.0,0
98.5,0.0,98.5,110.0,0
93.0,0.0,93.0,100.0,0
101.5,0.0,101.5,180.0,0
114.0,0.0,114.0,80.0,0
109.0,0.0,109.0,100.0,0
101.0,0.0,101.0,130.0,0
92.5,0.0,92.5,170.0,0
95.0,0.0,95.0,170.0,0
101.0,0.0,101.0,100.0,0
86.5,0.0,86.5,89.0,0
92.0,0.0,92.0,93.0,0
102.5,0.0,102.5,100.0,0
99.5,0.0,99.5,140.0,0
105.5,0.0,105.5,130.0,0
99.0,0.0,99.0,94.0,0
96.5,0.0,96.5,110.0,0
101.5,0.0,101.5,100.0,0
91.0,0.0,91.0,140.0,0
95.0,0.0,95.0,97.0,0
98.5,0.0,98.5,83.0,0
101.0,0.0,101.0,120.0,0
103.0,0.0,103.0,120.0,0
93.5,0.0,93.5,89.0,0
95.5,0.0,95.5,180.0,0
98.0,0.0,98.0,170.0,0
108.5,0.0,108.5,100.0,0
96.5,0.0,96.5,84.0,0
95.0,0.0,95.0,130.0,0
103.5,0.0,103.5,110.0,0
106.0,0.0,106.0,140.0,0
98.0,0.0,98.0,99.0,0
93.5,0.0,93.5,120.0,0
87.5,0.0,87.5,270.0,0
87.0,0.0,87.0,270.0,0
99.0,0.0,99.0,92.0,0
95.5,0.0,95.5,96.0,0
94.0,0.0,94.0,97.0,0
92.0,0.0,92.0,110.0,0
88.0,0.0,88.0,120.0,0
98.0,0.0,98.0,110.0,0
104.0,0.0,104.0,110.0,0
98.0,0.0,98.0,120.0,0
100.0,0.0,100.0,92.0,0
98.0,0.0,98.0,100.0,0
94.5,0.0,94.5,89.0,0
97.5,0.0,97.5,96.0,0
105.5,0.0,105.5,93.0,0
98.5,0.0,98.5,120.0,0
92.0,0.0,92.0,110.0,0
101.0,0.0,101.0,170.0,0
96.0,0.0,96.0,100.0,0
101.5,0.0,101.5,140.0,0
108.5,0.0,108.5,95.0,0
100.5,0.0,100.5,95.0,0
97.0,0.0,97.0,150.0,0
96.0,0.0,96.0,98.0,0
95.5,0.0,95.5,110.0,0
99.5,0.0,99.5,120.0,0
100.5,0.0,100.5,140.0,0
87.0,0.0,87.0,130.0,0
96.5,0.0,96.5,100.0,0
111.5,0.0,111.5,100.0,0
75.0,0.0,75.0,86.0,0
109.0,0.0,109.0,100.0,0
112.0,0.0,112.0,99.0,0
91.0,0.0,91.0,96.0,0
86.5,0.0,86.5,110.0,0
96.0,0.0,96.0,220.0,0
99.5,0.0,99.5,120.0,0
92.5,0.0,92.5,93.0,0
83.0,0.0,83.0,120.0,0
82.5,0.0,82.5,88.0,0
98.0,0.0,98.0,92.0,0
98.0,0.0,98.0,85.0,0
94.5,0.0,94.5,92.0,0
95.0,0.0,95.0,120.0,0
99.0,0.0,99.0,170.0,0
93.0,0.0,93.0,120.0,0
85.0,0.0,85.0,160.0,0
94.0,0.0,94.0,130.0,0
97.0,0.0,97.0,77.0,0
96.5,0.0,96.5,120.0,0
104.0,0.0,104.0,170.0,0
94.0,0.0,94.0,110.0,0
93.0,0.0,93.0,180.0,0
95.0,0.0,95.0,130.0,0
104.5,0.0,104.5,110.0,0
99.5,0.0,99.5,99.0,0
107.0,0.0,107.0,140.0,0
88.5,0.0,88.5,97.0,0
101.0,0.0,101.0,170.0,0
107.0,0.0,107.0,150.0,0
99.0,0.0,99.0,130.0,0
98.5,0.0,98.5,150.0,0
101.5,0.0,101.5,110.0,0
97.0,0.0,97.0,150.0,0
100.0,0.0,100.0,83.0,0
91.0,0.0,91.0,85.0,0
99.0,0.0,99.0,81.0,0
96.5,0.0,96.5,110.0,0
102.5,0.0,102.5,130.0,0
97.5,0.0,97.5,100.0,0
97.5,0.0,97.5,100.0,0
106.5,0.0,106.5,85.0,0
105.0,0.0,105.0,89.0,0
91.5,0.0,91.5,100.0,0
90.0,0.0,90.0,91.0,0
100.0,0.0,100.0,110.0,0
100.0,0.0,100.0,110.0,0
87.5,0.0,87.5,120.0,0
85.0,0.0,85.0,170.0,0
87.0,0.0,87.0,170.0,0
98.0,0.0,98.0,82.0,0
102.0,0.0,102.0,130.0,0
110.0,0.0,110.0,110.0,0
108.0,0.0,108.0,110.0,0
106.5,0.0,106.5,89.0,0
102.5,0.0,102.5,90.0,0
101.5,0.0,101.5,92.0,0
95.0,0.0,95.0,160.0,0
94.5,0.0,94.5,160.0,0
105.0,0.0,105.0,130.0,0
92.0,0.0,92.0,88.0,0
99.0,0.0,99.0,92.0,0
97.5,0.0,97.5,120.0,0
103.5,0.0,103.5,89.0,0
100.0,0.0,100.0,140.0,0
85.5,0.0,85.5,110.0,0
86.0,0.0,86.0,180.0,0
109.5,0.0,109.5,160.0,0
101.5,0.0,101.5,95.0,0
87.0,0.0,87.0,97.0,0
88.5,0.0,88.5,84.0,0
103.5,0.0,103.5,76.0,0
105.0,0.0,105.0,110.0,0
99.5,0.0,99.5,100.0,0
104.0,0.0,104.0,140.0,0
100.0,0.0,100.0,130.0,0
96.5,0.0,96.5,100.0,0
101.5,0.0,101.5,94.0,0
100.5,0.0,100.5,130.0,0
98.5,0.0,98.5,99.0,0
97.5,0.0,97.5,100.0,0
98.5,0.0,98.5,93.0,0
108.5,0.0,108.5,110.0,0
95.5,0.0,95.5,170.0,0
98.0,0.0,98.0,170.0,0
106.0,0.0,106.0,98.0,0
97.0,0.0,97.0,99.0,0
104.0,0.0,104.0,99.0,0
93.5,0.0,93.5,88.0,0
98.0,0.0,98.0,97.0,0
93.5,0.0,93.5,100.0,0
96.5,0.0,96.5,92.0,0
96.0,0.0,96.0,290.0,0
104.5,0.0,104.5,110.0,0
98.5,0.0,98.5,100.0,0
88.0,0.0,88.0,79.0,0
91.5,0.0,91.5,150.0,0
93.0,0.0,93.0,120.0,0
100.0,0.0,100.0,150.0,0
99.0,0.0,99.0,94.0,0
96.0,0.0,96.0,180.0,0
99.5,0.0,99.5,150.0,0
110.0,0.0,110.0,77.0,0
104.0,0.0,104.0,130.0,0
92.0,0.0,92.0,90.0,0
101.0,0.0,101.0,130.0,0
87.0,0.0,87.0,100.0,0
85.5,0.0,85.5,130.0,0
92.5,0.0,92.5,91.0,0
91.5,0.0,91.5,160.0,0
87.5,0.0,87.5,160.0,0
92.5,0.0,92.5,100.0,0
101.5,0.0,101.5,110.0,0
92.0,0.0,92.0,77.0,0
99.0,0.0,99.0,95.0,0
98.0,0.0,98.0,95.0,0
93.0,0.0,93.0,81.0,0
97.5,0.0,97.5,160.0,0
98.0,0.0,98.0,160.0,0
101.0,0.0,101.0,120.0,0
98.5,0.0,98.5,89.0,0
91.0,0.0,91.0,180.0,0
94.5,0.0,94.5,74.0,0
94.0,0.0,94.0,96.0,0
101.5,0.0,101.5,89.0,0
93.0,0.0,93.0,160.0,0
89.5,0.0,89.5,180.0,0
89.5,0.0,89.5,110.0,0
98.0,0.0,98.0,130.0,0
93.5,0.0,93.5,90.0,0
93.5,0.0,93.5,120.0,0
102.0,0.0,102.0,98.0,0
90.0,0.0,90.0,98.0,0
100.0,0.0,100.0,140.0,0
94.5,0.0,94.5,88.0,0
92.0,0.0,92.0,130.0,0
91.0,0.0,91.0,120.0,0
94.0,0.0,94.0,96.0,0
97.0,0.0,97.0,140.0,0
87.5,0.0,87.5,270.0,0
64.5,0.0,64.5,220.0,0
48.5,0.0,48.5,200.0,0
40.0,0.0,40.0,310.0,0
42.0,0.0,42.0,310.0,0
37.5,0.0,37.5,380.0,0
39.5,1.0,38.5,380.0,0
37.0,0.0,37.0,270.0,0
40.0,2.0,38.0,200.0,0
48.0,0.0,48.0,190.0,0
49.0,0.0,49.0,210.0,0
47.0,0.0,47.0,230.0,0
40.0,0.0,40.0,200.0,0
36.0,0.0,36.0,200.0,0
25.0,0.0,25.0,280.0,0
50.0,0.0,50.0,250.0,0
61.5,0.0,61.5,270.0,0
92.0,0.0,92.0,270.0,0
99.0,0.0,99.0,220.0,0
95.0,0.0,95.0,210.0,0
126.0,0.0,126.0,340.0,0
85.0,0.0,85.0,340.0,0
54.5,0.0,54.5,450.0,0
41.5,1.0,40.5,450.0,0
50.0,1.5,48.5,310.0,0
53.5,0.5,53.0,210.0,0
43.0,0.0,43.0,210.0,0
41.5,0.5,41.0,210.0,0
50.0,2.0,48.0,220.0,0
31.5,0.5,31.0,310.0,0
