RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,250.0,0
27.0,0.0,27.0,630.0,0
54.5,0.0,54.5,870.0,0
56.0,0.0,56.0,630.0,0
71.0,0.0,71.0,640.0,0
70.0,0.0,70.0,650.0,0
62.0,0.0,62.0,650.0,0
73.5,0.0,73.5,570.0,0
78.0,0.0,78.0,560.0,0
81.0,0.0,81.0,450.0,0
56.5,0.0,56.5,560.0,0
78.0,0.0,78.0,500.0,0
67.0,0.0,67.0,500.0,0
99.0,0.0,99.0,550.0,0
72.0,0.0,72.0,670.0,0
68.0,0.0,68.0,420.0,0
90.0,0.0,90.0,660.0,0
79.0,0.0,79.0,640.0,0
61.5,0.0,61.5,630.0,0
101.5,0.0,101.5,610.0,0
87.5,0.0,87.5,610.0,0
84.0,0.0,84.0,770.0,0
84.5,0.0,84.5,750.0,0
76.5,2.5,74.0,770.0,0
81.5,2.5,79.0,700.0,0
91.5,0.0,91.5,670.0,0
85.5,0.0,85.5,680.0,0
103.5,0.5,103.0,580.0,0
88.0,0.0,88.0,590.0,0
76.5,1.0,75.5,700.0,0
92.0,0.0,92.0,660.0,0
59.5,2.0,57.5,880.0,0
94.5,0.0,94.5,710.0,0
87.5,0.0,87.5,710.0,0
73.5,3.5,70.0,790.0,0
76.5,2.0,74.5,680.0,0
88.5,1.5,87.0,680.0,0
88.0,0.0,88.0,630.0,0
70.0,0.0,70.0,620.0,0
90.0,1.5,88.5,590.0,0
85.5,2.0,83.5,730.0,0
89.0,0.0,89.0,600.0,0
88.5,0.0,88.5,610.0,0
69.0,0.0,69.0,590.0,0
93.0,0.0,93.0,670.0,0
60.5,0.0,60.5,760.0,0
92.5,2.5,90.0,710.0,0
91.0,1.5,89.5,650.0,0
87.0,1.0,86.0,720.0,0
76.0,0.0,76.0,840.0,0
102.0,2.0,100.0,830.0,0
88.5,0.0,88.5,630.0,0
95.5,0.0,95.5,780.0,0
80.5,0.0,80.5,780.0,0
84.0,1.0,83.0,800.0,0
97.5,0.0,97.5,730.0,0
62.0,0.0,62.0,800.0,0
91.0,0.0,91.0,780.0,0
93.0,0.0,93.0,660.0,0
82.0,0.5,81.5,660.0,0
83.0,1.5,81.5,690.0,0
86.5,0.0,86.5,790.0,0
106.5,0.0,106.5,670.0,0
69.5,0.0,69.5,670.0,0
97.0,0.0,97.0,610.0,0
97.0,0.0,97.0,700.0,0
96.0,1.5,94.5,800.0,0
90.5,2.5,88.0,710.0,0
90.5,0.0,90.5,710.0,0
91.5,0.0,91.5,590.0,0
105.0,0.0,105.0,690.0,0
94.5,0.0,94.5,360.0,0
84.0,0.0,84.0,350.0,0
76.0,0.0,76.0,310.0,0
84.0,0.0,84.0,330.0,0
85.5,0.0,85.5,360.0,0
88.5,0.0,88.5,390.0,0
93.5,0.0,93.5,340.0,0
93.0,0.0,93.0,360.0,0
81.5,0.0,81.5,380.0,0
85.0,0.0,85.0,290.0,0
85.0,0.0,85.0,360.0,0
79.0,0.0,79.0,320.0,0
81.0,0.0,81.0,360.0,0
97.5,0.0,97.5,340.0,0
110.0,0.0,110.0,320.0,0
95.5,0.0,95.5,300.0,0
92.0,0.0,92.0,330.0,0
81.5,0.0,81.5,310.0,0
95.0,0.0,95.0,310.0,0
111.5,0.0,111.5,320.0,0
98.5,0.0,98.5,320.0,0
92.0,0.0,92.0,340.0,0
83.5,0.0,83.5,360.0,0
89.5,0.0,89.5,340.0,0
84.5,0.0,84.5,330.0,0
83.5,0.0,83.5,360.0,0
88.0,0.0,88.0,340.0,0
96.5,0.0,96.5,330.0,0
94.0,0.0,94.0,350.0,0
101.5,0.0,101.5,390.0,0
85.0,0.0,85.0,420.0,0
82.5,0.0,82.5,390.0,0
80.0,0.0,80.0,350.0,0
81.5,0.0,81.5,360.0,0
79.5,0.0,79.5,360.0,0
91.0,0.0,91.0,350.0,0
98.5,0.0,98.5,320.0,0
87.5,0.0,87.5,380.0,0
85.5,0.0,85.5,380.0,0
95.0,0.0,95.0,360.0,0
94.0,0.0,94.0,320.0,0
106.5,0.0,106.5,320.0,0
75.0,0.0,75.0,340.0,0
92.0,0.0,92.0,320.0,0
101.0,0.0,101.0,310.0,0
92.5,0.0,92.5,340.0,0
87.5,0.0,87.5,340.0,0
86.0,0.0,86.0,330.0,0
89.5,0.0,89.5,320.0,0
80.0,0.0,80.0,350.0,0
85.0,0.0,85.0,320.0,0
76.0,0.0,76.0,330.0,0
86.5,0.0,86.5,350.0,0
95.0,0.0,95.0,350.0,0
94.0,0.0,94.0,350.0,0
91.5,0.0,91.5,300.0,0
89.5,0.0,89.5,370.0,0
80.0,0.0,80.0,370.0,0
81.5,0.0,81.5,320.0,0
82.5,0.0,82.5,320.0,0
90.0,0.0,90.0,360.0,0
88.0,0.0,88.0,360.0,0
99.5,0.0,99.5,360.0,0
87.5,0.0,87.5,360.0,0
78.0,0.0,78.0,410.0,0
83.0,0.0,83.0,410.0,0
90.5,0.0,90.5,380.0,0
82.0,0.0,82.0,420.0,0
83.0,0.0,83.0,420.0,0
89.5,0.0,89.5,330.0,0
98.5,0.0,98.5,310.0,0
91.0,0.0,91.0,300.0,0
89.0,0.0,89.0,380.0,0
97.5,0.0,97.5,350.0,0
92.0,0.0,92.0,350.0,0
96.0,0.0,96.0,310.0,0
86.5,0.0,86.5,310.0,0
85.5,0.0,85.5,360.0,0
92.5,0.0,92.5,320.0,0
87.0,0.0,87.0,320.0,0
85.5,0.0,85.5,320.0,0
95.5,0.0,95.5,370.0,0
97.5,0.0,97.5,380.0,0
90.0,0.0,90.0,350.0,0
98.0,0.0,98.0,300.0,0
96.0,0.0,96.0,350.0,0
90.0,0.0,90.0,370.0,0
89.5,0.0,89.5,310.0,0
93.0,0.0,93.0,320.0,0
71.5,0.0,71.5,400.0,0
83.5,0.0,83.5,400.0,0
93.0,0.0,93.0,320.0,0
97.5,0.0,97.5,300.0,0
92.0,0.0,92.0,330.0,0
89.0,0.0,89.0,350.0,0
88.0,0.0,88.0,350.0,0
92.0,0.0,92.0,360.0,0
89.0,0.0,89.0,350.0,0
92.0,0.0,92.0,350.0,0
85.5,0.0,85.5,350.0,0
83.5,0.0,83.5,340.0,0
95.5,0.0,95.5,300.0,0
82.0,0.0,82.0,320.0,0
87.0,0.0,87.0,400.0,0
89.0,0.0,89.0,390.0,0
91.0,0.0,91.0,350.0,0
85.5,0.0,85.5,380.0,0
74.5,0.0,74.5,330.0,0
83.5,0.0,83.5,390.0,0
90.0,0.0,90.0,330.0,0
106.5,0.0,106.5,310.0,0
91.5,0.0,91.5,320.0,0
100.0,0.0,100.0,330.0,0
87.5,0.0,87.5,300.0,0
76.0,0.0,76.0,330.0,0
79.0,0.0,79.0,330.0,0
88.0,0.0,88.0,350.0,0
92.0,0.0,92.0,370.0,0
83.0,0.0,83.0,350.0,0
78.5,0.0,78.5,320.0,0
86.5,0.0,86.5,340.0,0
83.0,0.0,83.0,380.0,0
90.5,0.0,90.5,380.0,0
79.0,0.0,79.0,300.0,0
80.5,0.0,80.5,390.0,0
84.0,0.0,84.0,410.0,0
90.5,0.0,90.5,350.0,0
94.0,0.0,94.0,340.0,0
88.0,0.0,88.0,340.0,0
85.5,0.0,85.5,340.0,0
88.0,0.0,88.0,300.0,0
86.0,0.0,86.0,330.0,0
90.5,0.0,90.5,300.0,0
96.5,0.0,96.5,300.0,0
87.5,0.0,87.5,360.0,0
79.0,0.0,79.0,410.0,0
97.0,0.0,97.0,340.0,0
90.5,0.0,90.5,340.0,0
94.0,0.0,94.0,360.0,0
99.0,0.0,99.0,290.0,0
93.5,0.0,93.5,290.0,0
101.5,0.0,101.5,330.0,0
98.5,0.0,98.5,340.0,0
98.0,0.0,98.0,340.0,0
81.0,0.0,81.0,290.0,0
88.5,0.0,88.5,330.0,0
89.5,0.0,89.5,320.0,0
101.0,0.0,101.0,330.0,0
88.0,0.0,88.0,340.0,0
78.5,0.0,78.5,340.0,0
88.5,0.0,88.5,360.0,0
96.5,0.0,96.5,320.0,0
99.5,0.0,99.5,360.0,0
94.0,0.0,94.0,360.0,0
89.0,0.0,89.0,360.0,0
82.0,0.0,82.0,370.0,0
91.5,0.0,91.5,370.0,0
95.5,0.0,95.5,420.0,0
79.0,0.0,79.0,340.0,0
84.5,0.0,84.5,460.0,0
88.5,0.0,88.5,460.0,0
88.5,0.0,88.5,320.0,0
78.0,0.0,78.0,310.0,0
79.0,0.0,79.0,320.0,0
89.0,0.0,89.0,270.0,0
85.5,0.0,85.5,270.0,0
88.5,0.0,88.5,370.0,0
77.0,0.0,77.0,350.0,0
86.5,0.0,86.5,340.0,0
88.0,0.0,88.0,340.0,0
82.0,0.0,82.0,360.0,0
93.5,0.0,93.5,340.0,0
99.5,0.0,99.5,340.0,0
92.0,0.0,92.0,360.0,0
79.5,0.0,79.5,340.0,0
77.0,0.0,77.0,350.0,0
81.0,0.0,81.0,340.0,0
82.5,0.0,82.5,310.0,0
90.0,0.0,90.0,330.0,0
94.5,0.0,94.5,310.0,0
81.5,0.0,81.5,290.0,0
97.0,0.0,97.0,310.0,0
98.5,0.0,98.5,330.0,0
84.0,0.0,84.0,330.0,0
95.5,0.0,95.5,310.0,0
98.0,0.0,98.0,300.0,0
86.0,0.0,86.0,350.0,0
85.5,0.0,85.5,420.0,0
90.5,0.0,90.5,380.0,0
91.5,0.0,91.5,380.0,0
95.5,0.0,95.5,380.0,0
98.0,0.0,98.0,310.0,0
88.5,0.0,88.5,280.0,0
77.0,0.0,77.0,380.0,0
84.5,0.0,84.5,380.0,0
84.0,0.0,84.0,380.0,0
87.0,0.0,87.0,380.0,0
85.0,0.0,85.0,290.0,0
91.5,0.0,91.5,300.0,0
85.0,0.0,85.0,350.0,0
81.0,0.0,81.0,370.0,0
89.0,0.0,89.0,350.0,0
100.0,0.0,100.0,360.0,0
88.5,0.0,88.5,360.0,0
92.0,0.0,92.0,360.0,0
86.5,0.0,86.5,320.0,0
82.5,0.0,82.5,320.0,0
99.5,0.0,99.5,310.0,0
100.5,0.0,100.5,340.0,0
98.0,0.0,98.0,340.0,0
88.0,0.0,88.0,330.0,0
91.0,0.0,91.0,400.0,0
83.0,0.0,83.0,370.0,0
80.5,0.0,80.5,370.0,0
78.0,0.0,78.0,390.0,0
84.0,0.0,84.0,390.0,0
87.0,0.0,87.0,350.0,0
84.0,0.0,84.0,360.0,0
80.5,0.0,80.5,340.0,0
77.5,0.0,77.5,330.0,0
76.5,0.0,76.5,340.0,0
93.0,0.0,93.0,340.0,0
87.0,0.0,87.0,330.0,0
86.0,0.0,86.0,340.0,0
94.5,0.0,94.5,350.0,0
80.5,0.0,80.5,340.0,0
80.5,0.0,80.5,340.0,0
97.5,0.0,97.5,340.0,0
105.0,0.0,105.0,330.0,0
92.0,0.0,92.0,360.0,0
98.5,0.0,98.5,330.0,0
98.0,0.0,98.0,320.0,0
98.5,0.0,98.5,340.0,0
91.5,0.0,91.5,310.0,0
99.5,0.0,99.5,280.0,0
99.5,0.0,99.5,350.0,0
84.0,0.0,84.0,340.0,0
81.5,0.0,81.5,370.0,0
78.0,0.0,78.0,430.0,0
70.5,0.0,70.5,430.0,0
76.5,0.0,76.5,320.0,0
83.5,0.0,83.5,350.0,0
90.0,0.0,90.0,370.0,0
91.5,0.0,91.5,310.0,0
79.5,0.0,79.5,360.0,0
83.5,0.0,83.5,370.0,0
93.0,0.0,93.0,350.0,0
96.0,0.0,96.0,350.0,0
104.5,0.0,104.5,360.0,0
93.0,0.0,93.0,370.0,0
93.5,0.0,93.5,340.0,0
80.5,0.0,80.5,290.0,0
79.5,0.0,79.5,310.0,0
83.0,0.0,83.0,330.0,0
85.5,0.0,85.5,340.0,0
91.0,0.0,91.0,350.0,0
96.0,0.0,96.0,350.0,0
89.5,0.0,89.5,290.0,0
96.5,0.0,96.5,400.0,0
94.5,0.0,94.5,330.0,0
100.0,0.0,100.0,390.0,0
85.5,0.0,85.5,400.0,0
88.0,0.0,88.0,400.0,0
88.0,0.0,88.0,330.0,0
104.5,0.0,104.5,310.0,0
84.0,0.0,84.0,350.0,0
