RPS,Fail,Goodput,Latency95,Latency99
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,434.0,0.0
156.0,0.0,156.0,784.0,0.0
260.5,44.5,216.0,1042.0,0.0
389.0,48.0,341.0,1080.0,0.0
418.5,23.5,395.0,1136.0,0.0
371.0,62.5,308.5,1404.0,0.0
401.0,95.5,305.5,1370.0,0.0
425.0,30.0,395.0,1200.0,0.0
424.0,26.5,397.5,1176.0,0.0
471.0,72.0,399.0,1064.0,0.0
444.5,41.0,403.5,1206.0,0.0
454.0,123.5,330.5,1312.0,0.0
436.5,101.0,335.5,1334.0,0.0
504.5,108.5,396.0,1242.0,0.0
382.0,116.5,265.5,1396.0,0.0
498.0,159.5,338.5,1312.0,0.0
435.5,153.0,282.5,1236.0,0.0
471.0,172.0,299.0,1378.0,0.0
363.0,148.0,215.0,1552.0,0.0
491.5,193.5,298.0,1566.0,0.0
446.0,206.0,240.0,1334.0,0.0
461.5,156.0,305.5,1528.0,0.0
457.5,193.5,264.0,1456.0,0.0
436.5,210.0,226.5,1434.0,0.0
465.0,227.0,238.0,1540.0,0.0
489.0,179.5,309.5,1498.0,0.0
474.0,171.5,302.5,1490.0,0.0
490.5,173.5,317.0,1454.0,0.0
473.5,178.5,295.0,1596.0,0.0
389.0,204.5,184.5,1758.0,0.0
426.0,219.5,206.5,1428.0,0.0
424.0,285.0,139.0,1690.0,0.0
443.5,227.0,216.5,1760.0,0.0
463.0,215.5,247.5,1542.0,0.0
458.5,236.0,222.5,1760.0,0.0
443.0,195.0,248.0,1460.0,0.0
455.0,227.0,228.0,1454.0,0.0
491.5,217.5,274.0,1554.0,0.0
426.5,187.5,239.0,1440.0,0.0
447.5,224.0,223.5,1748.0,0.0
412.5,230.5,182.0,1710.0,0.0
466.5,188.0,278.5,1540.0,0.0
420.0,193.0,227.0,1622.0,0.0
475.5,287.0,188.5,1558.0,0.0
437.0,229.0,208.0,1496.0,0.0
453.0,251.5,201.5,1514.0,0.0
